GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "31000","Nebraska",4,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1955026,1771625,2100729,2193494,2355762,2246963,2403009,2326158,2399513,2782563,2914825,2950020,3140277,3214347,3493486,3591044,3691394,4060927,4360278,4512740,4815330,5379281,5798379,6368793,7052470,8225746,8565102,9766447,10217431,11073092,12810851,13834996,14766423,17139112,18416033,19059909,21198999,22345017,22995304,23979655,25708448,27277131,29237911,30344047,32191221,33258813,35389620,37383281,40706786,41958216,44746986,46824406,49570265,51911791,52804271,56102181,58597206,60598110,63317163,68098639,72377339,71459691,75194060,84096145,86235852,86022151,91084468,94681723,93559697,95823701,100067751,104489901,111347511,123080460,126473544
 "31000","Nebraska",4,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",145296,119890,134349,190741,201093,211653,192448,190864,207966,208459,247419,258298,298723,328745,323277,342974,310078,328958,386217,419448,484265,632666,637662,602831,779754,892207,1020907,990510,1076718,1293431,1436341,1709913,1804214,1963327,2345934,2000357,2009298,2130129,2192953,2371493,2543081,2850247,3100861,3139761,3268511,3417804,3680191,4070109,4464373,4969669,5369673,5630989,6065998,6066184,5258209,4991052,5194338,5842485,6610954,7390705,7536121,5979654,6525467,7586932,8240819,8867240,9527968,9842057,9892490,9886802,9800715,10567313,11031356,13233560,14989035
 "31000","Nebraska",4,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",1809730,1651735,1966380,2002753,2154669,2035310,2210561,2135294,2191547,2574104,2667406,2691722,2841554,2885602,3170209,3248070,3381316,3731969,3974061,4093292,4331065,4746615,5160717,5765962,6272716,7333539,7544195,8775937,9140713,9779661,11374510,12125083,12962209,15175785,16070099,17059552,19189701,20214888,20802351,21608162,23165367,24426884,26137050,27204286,28922710,29841009,31709429,33313172,36242413,36988547,39377313,41193417,43504267,45845607,47546062,51111129,53402868,54755625,56706209,60707934,64841218,65480037,68668593,76509213,77995033,77154911,81556500,84839666,83667207,85936899,90267036,93922588,100316155,109846900,111484509
 "31000","Nebraska",4,SAINC50,20,"...","Population (persons) 1/","Number of persons",1265000,1302000,1327000,1316000,1311000,1318000,1340000,1374000,1397000,1394000,1383000,1397000,1417000,1446000,1464000,1476000,1482000,1471000,1456000,1457000,1467000,1474000,1487963,1504208,1518293,1528517,1537809,1541440,1548901,1554466,1560826,1564356,1572296,1578517,1581776,1584293,1588638,1584661,1574328,1566544,1571477,1574858,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1830158,1843774,1858886,1873369,1889916,1904449,1921360,1934360,1945367,1954927,1962642,1963554,1967923
 "31000","Nebraska",4,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1545,1361,1583,1667,1797,1705,1793,1693,1718,1996,2108,2112,2216,2223,2386,2433,2491,2761,2995,3097,3282,3649,3897,4234,4645,5382,5570,6336,6597,7123,8208,8844,9392,10858,11643,12031,13344,14101,14606,15307,16359,17320,18486,19014,19974,20460,21592,22561,24321,24880,26387,27467,28924,30184,30553,32268,33496,34401,35718,38184,40291,39422,41086,45611,46391,45918,48195,49716,48695,49538,51439,53450,56733,62682,64268
 "31000","Nebraska",4,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1431,1269,1482,1522,1644,1544,1650,1554,1569,1847,1929,1927,2005,1996,2165,2201,2282,2537,2729,2809,2952,3220,3468,3833,4131,4798,4906,5693,5901,6291,7287,7751,8244,9614,10160,10768,12079,12757,13213,13794,14741,15511,16525,17046,17946,18357,19346,20105,21654,21933,23220,24164,25384,26657,27510,29397,30527,31085,31989,34040,36096,36123,37521,41496,41958,41185,43154,44548,43546,44427,46401,48044,51113,55943,56651
 "31000","Nebraska",4,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",145296,119890,134349,190741,201093,211653,192448,190864,207966,208459,247419,258298,298723,328745,323277,342974,310078,328958,386217,419448,484265,632666,637662,602831,779754,892207,1020907,990510,1076718,1293431,1436341,1709913,1804214,1963327,2345934,2000357,2009298,2130129,2192953,2371493,2543081,2850247,3100861,3139761,3268511,3417804,3680191,4070109,4464373,4969669,5369673,5630989,6065998,6066184,5258209,4991052,5194338,5842485,6610954,7390705,7536121,5979654,6525467,7586932,8240819,8867240,9527968,9842057,9892490,9886802,9800715,10567313,11031356,13233560,14989035
 "31000","Nebraska",4,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",139020,113055,125874,182261,192049,202142,181583,179390,196314,196596,234125,240529,279427,307724,300671,318632,285701,305223,362556,388783,424958,564481,544372,514019,666448,759333,900798,865750,905268,1064128,1205759,1417108,1496664,1703559,2037639,1636120,1633258,1731192,1748617,1919580,2015435,2279616,2444560,2413675,2493056,2619241,2821162,3170804,3459619,3845345,4243288,4377018,4693650,4649038,3908048,3665229,3710242,4185465,4839544,5463723,5602594,4192588,4696278,5575041,6089585,6485556,7119114,7305211,7377273,7329491,7110916,7580319,8012935,9828559,11449105
 "31000","Nebraska",4,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",139020,113055,125874,182261,192049,202142,181583,179390,196314,196596,234125,240529,279427,307724,300671,318632,285701,305223,362556,388783,424958,564481,544372,514019,666448,759333,900798,865750,905268,1064128,1205759,1417108,1496664,1703559,2037639,1636120,1633258,1731192,1748617,1919580,2015435,2279616,2444560,2413675,2493056,2619241,2821162,3170804,3459619,3845345,4243288,4377018,4693650,4649038,3908048,3665229,3710242,4185465,4839544,5463723,5602594,4192588,4696278,5575041,6089585,6485556,7119114,7305211,7377273,7329491,7110916,7580319,8012935,9828559,11449105
 "31000","Nebraska",4,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",154195,131348,138412,195115,207299,218876,200223,199362,215554,216882,255507,267041,306014,338731,335668,353211,321919,333582,395438,433772,476542,615617,617134,593087,742794,886185,1045898,1080548,1074672,1230705,1393111,1586595,1761927,1984137,2328188,1951696,1992094,2104317,2131667,2287851,2416510,2620580,2795699,2783946,2871491,2966718,3180946,3593268,3897814,4306612,4739959,5011904,5373064,5394319,4830606,4584656,4658726,5117917,5833059,6495282,7002427,5558094,5985945,6743004,7305575,7687701,8330121,8544399,8721204,8719650,8576341,8935485,9358164,11348207,12882574
