GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",12137494,11610462,12855091,14837928,15911731,17449959,17513200,18913681,20191153,21231922,21062982,22540160,23455388,23909913,25206783,26265375,28027860,30301754,33056886,34629868,38206825,41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98139943,107224402,116584437,122010409,129165178,142495944,151344813,158418410,165483900,178136781,191537126,202968115,207868447,221074852,230183648,243075206,254778303,266670184,282198968,298491358,307407038,323812505,333209250,338462533,348428738,361752998,371633835,390090034,406786493,422085747,410350426,422204427,449923823,466162071,473218777,492475624,511339811,521622549,541289443,562522960,582400407,623835973,670872723,679232967
 "39000","Ohio",3,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",1136992,950203,1055639,1650532,1960248,2190591,1780649,2097929,2286952,2393254,2175738,2391307,2631110,2554728,2784855,2934658,2774495,3179676,3611852,3816936,4615404,5552779,5304524,4992645,6117424,6742209,7544425,7532392,8670737,10055930,11342825,13138904,13802413,15620621,15031984,15742059,16628175,18069759,18633243,20715917,21488679,23918886,25028020,24992183,26039169,27666488,29596661,31751254,35082286,37943877,41043056,42040877,44879196,45221591,40594897,38368322,39247895,42509003,45876343,48959336,48634349,38180921,40837906,47668779,49051511,52566092,54111058,57487813,58359803,59055933,58514268,61549393,61792380,74027309,83966334
 "39000","Ohio",3,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",11000502,10660259,11799452,13187396,13951483,15259368,15732551,16815752,17904201,18838668,18887244,20148853,20824278,21355185,22421928,23330717,25253365,27122078,29445034,30812932,33591421,36248264,38837410,41987723,44850482,49810181,54380781,58629790,63926768,70341278,77511886,85001039,93421989,100963816,106978425,113423119,125867769,133275054,139785167,144767983,156648102,167618240,177940095,182876264,195035683,202517160,213478545,223027049,231587898,244255091,257448302,265366161,278933309,287987659,297867636,310060416,322505103,329124832,344213691,357827157,373451398,372169505,381366521,402255044,417110560,420652685,438364566,453851998,463262746,482233510,504008692,520851014,562043593,596845414,595266633
 "39000","Ohio",3,SAINC50,20,"...","Population (persons) 1/","Number of persons",7876000,7973000,7980000,8061000,8275000,8591000,8873000,9017000,9207000,9410000,9599000,9671000,9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11541886,11557958,11573024,11611630,11648446,11674128,11701886,11737605,11762842,11788547,11797517,11764342,11756058
 "39000","Ohio",3,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1541,1456,1611,1841,1923,2031,1974,2098,2193,2256,2194,2331,2410,2426,2539,2630,2781,2970,3200,3325,3633,3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9928,10807,11342,12029,13271,14098,14764,15379,16496,17687,18682,18991,20044,20735,21796,22742,23719,25024,26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38928,40280,40754,42278,43801,44576,46116,47822,49404,52879,57026,57777
 "39000","Ohio",3,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1397,1337,1479,1636,1686,1776,1773,1865,1945,2002,1968,2083,2139,2167,2258,2336,2505,2659,2850,2959,3194,3432,3640,3911,4173,4626,5051,5444,5945,6530,7180,7872,8650,9359,9945,10563,11722,12415,13027,13454,14506,15478,16379,16707,17683,18243,19142,19908,20599,21659,22760,23410,24546,25290,26111,27116,28161,28711,29981,31114,32431,32281,33042,34803,36042,36227,37633,38877,39589,41084,42848,44183,47641,50733,50635
 "39000","Ohio",3,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",1136992,950203,1055639,1650532,1960248,2190591,1780649,2097929,2286952,2393254,2175738,2391307,2631110,2554728,2784855,2934658,2774495,3179676,3611852,3816936,4615404,5552779,5304524,4992645,6117424,6742209,7544425,7532392,8670737,10055930,11342825,13138904,13802413,15620621,15031984,15742059,16628175,18069759,18633243,20715917,21488679,23918886,25028020,24992183,26039169,27666488,29596661,31751254,35082286,37943877,41043056,42040877,44879196,45221591,40594897,38368322,39247895,42509003,45876343,48959336,48634349,38180921,40837906,47668779,49051511,52566092,54111058,57487813,58359803,59055933,58514268,61549393,61792380,74027309,83966334
 "39000","Ohio",3,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",1107182,918691,1020101,1610120,1914073,2139237,1717882,2023437,2204588,2303394,2071415,2269232,2500615,2415124,2619375,2766279,2575084,2963087,3372106,3566258,4305279,5243920,4959962,4609625,5380647,5865732,6494945,6357515,7389428,8635930,9682422,11304254,11837352,13343173,12371975,12151555,12627193,13886719,14149221,15886070,15976916,17842355,18524053,18406364,18841116,20165865,21671201,23261847,25653220,28096429,30235303,30873006,32348290,32859437,28120406,25744305,25834427,28325633,31344281,34161748,34295468,25311104,27589912,33732071,34518499,37587396,39948120,43153352,44220337,43875054,43197897,45437534,45923131,56147956,64915336
 "39000","Ohio",3,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",1107182,918691,1020101,1610120,1914073,2139237,1717882,2023437,2204588,2303394,2071415,2269232,2500615,2415124,2619375,2766279,2575084,2963087,3372106,3566258,4305279,5243920,4959962,4609625,5380647,5865732,6494945,6357515,7389428,8635930,9682422,11304254,11837352,13343173,12371975,12151555,12627193,13886719,14149221,15886070,15976916,17842355,18524053,18406364,18841116,20165865,21671201,23261847,25653220,28096429,30235303,30873006,32348290,32859437,28120406,25744305,25834427,28325633,31344281,34161748,34295468,25311104,27589912,33732071,34518499,37587396,39948120,43153352,44220337,43875054,43197897,45437534,45923131,56147956,64915336
 "39000","Ohio",3,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",1212967,1062723,1121620,1714217,2048039,2304541,1914207,2214463,2418379,2531048,2321176,2510540,2753104,2699282,2905578,3075691,2904032,3232522,3707190,4012718,4813721,5799973,5693064,5391669,6125727,6990486,7727474,8068714,8719601,10064970,11321371,13041879,14061797,15572933,14906486,14826280,15588548,16831475,17257269,18957919,19097717,20804056,21580694,21663668,22058957,23248838,24871817,26873573,29413780,32045218,34408559,36167428,37983456,39001661,35340128,32823826,33226256,35342742,38836289,41748809,44512328,34767291,36364166,41701026,42730157,45672013,47857972,51056752,52635022,52515281,52385594,53865487,54286995,65798769,74018852
