GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",14779816,14575474,16307280,17977785,18876124,20291842,19846019,21033285,22725571,23920369,24046816,25239849,26118680,26685455,27845424,28908305,30915245,33158485,35757196,38299233,41637881,45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108710086,119133879,131383551,140328325,147211666,158758804,168297891,177003246,186827586,203001535,219826972,232899904,242842842,255911487,265557213,274855910,287343845,301835572,317130456,334421754,348489158,372690713,388186257,395633311,409185840,432634650,450359695,472940608,502658788,522993816,512318194,535335505,563528870,584880333,589720173,611421707,635818019,653328866,671702754,707043419,729142341,783825569,833321971,836778334
 "42000","Pennsylvania",2,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",1390950,1187251,1342058,1944529,2293810,2399947,2046471,2244506,2580416,2724732,2572000,2758938,2909502,2820235,3092049,3249255,3134533,3454308,3957973,4208512,4869313,5852523,5969494,5820664,7389200,7772998,8855757,8616707,9707916,11094194,12563469,14402460,15636962,18044648,18202232,17480422,18829611,20123956,20858872,23113526,24417055,26987691,27950200,27840133,29477080,30414696,32189673,34553191,37890234,41520853,45016602,47194028,50642488,51207968,44645725,42773326,43911823,49885988,55011859,61366460,62520591,49805932,53190389,61146123,62050232,67758393,71360765,77205504,77892755,79019936,78803455,83132291,83558900,100892456,115217191
 "42000","Pennsylvania",2,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",13388866,13388223,14965222,16033256,16582314,17891895,17799548,18788779,20145155,21195637,21474816,22480911,23209178,23865220,24753375,25659050,27780712,29704177,31799223,34090721,36768568,39493583,42874217,46014797,49190589,54259950,59277407,65856024,71575300,78079897,85708530,94307626,103496917,113338903,122126093,129731244,139929193,148173935,156144374,163714060,178584480,192839281,204949704,215002709,226434407,235142517,242666237,252790654,263945338,275609603,289405152,301295130,322048225,336978289,350987586,366412514,388722827,400473707,417928749,441292328,460473225,462512262,482145116,502382747,522830101,521961780,540060942,558612515,575436111,592682818,628239964,646010050,700266669,732429515,721561143
 "42000","Pennsylvania",2,SAINC50,20,"...","Population (persons) 1/","Number of persons",10287000,10390000,10507000,10461000,10503000,10662000,10817000,10939000,10972000,10954000,11058000,11234000,11329000,11392000,11355000,11424000,11519000,11620000,11664000,11681000,11741000,11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12994440,13012059,12972008
 "42000","Pennsylvania",2,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1437,1403,1552,1719,1797,1903,1835,1923,2071,2184,2175,2247,2305,2342,2452,2530,2684,2854,3066,3279,3546,3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9156,10038,11079,11847,12436,13437,14298,15022,15818,17137,18526,19566,20267,21238,21911,22592,23556,24699,25935,27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42098,44120,45638,45904,47469,49293,50574,51888,54468,56125,60320,64042,64506
 "42000","Pennsylvania",2,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1302,1289,1424,1533,1579,1678,1646,1718,1836,1935,1942,2001,2049,2095,2180,2246,2412,2556,2726,2918,3132,3364,3630,3872,4132,4565,4996,5535,6021,6571,7224,7943,8720,9558,10310,10959,11843,12588,13252,13861,15076,16251,17218,17944,18792,19402,19946,20723,21599,22540,23633,24568,26217,27399,28464,29610,31322,32167,33405,35124,36510,36514,37915,39332,40796,40630,41929,43308,44545,45783,48397,49726,53890,56289,55624
 "42000","Pennsylvania",2,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",1390950,1187251,1342058,1944529,2293810,2399947,2046471,2244506,2580416,2724732,2572000,2758938,2909502,2820235,3092049,3249255,3134533,3454308,3957973,4208512,4869313,5852523,5969494,5820664,7389200,7772998,8855757,8616707,9707916,11094194,12563469,14402460,15636962,18044648,18202232,17480422,18829611,20123956,20858872,23113526,24417055,26987691,27950200,27840133,29477080,30414696,32189673,34553191,37890234,41520853,45016602,47194028,50642488,51207968,44645725,42773326,43911823,49885988,55011859,61366460,62520591,49805932,53190389,61146123,62050232,67758393,71360765,77205504,77892755,79019936,78803455,83132291,83558900,100892456,115217191
 "42000","Pennsylvania",2,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",1335813,1127697,1271049,1865771,2200908,2300198,1934586,2121470,2450811,2577771,2414719,2576348,2704428,2624202,2847519,3003651,2848083,3165091,3589437,3857191,4510591,5434440,5428070,4933934,5752798,5962138,7103491,6876936,7788728,8727187,9935663,11554357,12643432,14643583,14608190,13584885,14550002,15767917,16300672,18525639,19188841,21497058,22184606,21672623,22178086,23185585,24673620,26587427,29667828,32712849,35642680,37209338,40207891,40414383,34337941,32213777,32159840,37010072,41370898,46375370,47336384,35756577,38817744,46206897,46610944,51201768,54335377,59532261,60054910,60424902,59519796,62606033,62749765,77031796,89631591
 "42000","Pennsylvania",2,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",1335813,1127697,1271049,1865771,2200908,2300198,1934586,2121470,2450811,2577771,2414719,2576348,2704428,2624202,2847519,3003651,2848083,3165091,3589437,3857191,4510591,5434440,5428070,4933934,5752798,5962138,7103491,6876936,7788728,8727187,9935663,11554357,12643432,14643583,14608190,13584885,14550002,15767917,16300672,18525639,19188841,21497058,22184606,21672623,22178086,23185585,24673620,26587427,29667828,32712849,35642680,37209338,40207891,40414383,34337941,32213777,32159840,37010072,41370898,46375370,47336384,35756577,38817744,46206897,46610944,51201768,54335377,59532261,60054910,60424902,59519796,62606033,62749765,77031796,89631591
 "42000","Pennsylvania",2,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",1467259,1301266,1394849,1994544,2356253,2489837,2145974,2334406,2675467,2829380,2693263,2854963,2989530,2930289,3156010,3337933,3201546,3457755,3942773,4324488,5048890,6005781,6174968,5767635,6536106,7140772,8338933,8687612,9175934,10187938,11525815,13195841,14748753,16925503,17179369,16304562,17512892,18742286,19509598,21764951,22546697,24827599,25457582,25264807,25788799,26673303,28215515,30527228,33712914,36779532,39958533,42640003,46025899,46739216,41970778,39710242,40118984,44628757,49464456,54795602,58808009,46596340,48957881,55667328,56695599,60451688,63588302,68836008,70037724,70803781,70200875,72329517,72344367,88326709,100285970
