GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1848697,1794996,1992390,2509060,2696199,2778185,2633567,2798057,2910670,3041067,3150806,3400139,3570117,3748416,4018368,4251998,4567277,5047671,5672030,6120558,6796258,7604376,8380439,9180919,10308853,11692290,13234649,14394289,16096281,17592494,19879133,22283228,24971758,28101834,29878270,32452170,36148865,38691618,41354869,44239758,48206088,52466539,56391004,58930883,62654657,65852021,69837510,73997450,78651981,83696770,89751886,94148461,100705331,104242061,107305288,111196686,117451820,124416985,134174152,143055124,149954405,146753696,151745851,160391125,168271228,170204761,180837663,192054676,200027426,210387551,219942068,234324036,250288341,274347818,283245781
 "45000","South Carolina",5,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",107357,104101,121082,171594,223905,200056,179442,197065,216413,224246,223397,274931,290852,309976,354769,371931,366376,426243,524859,566336,677783,815849,815406,877307,1152890,1262002,1453752,1260416,1607104,1810425,2094749,2568690,2825791,3304731,3247264,3535295,3791878,4166809,4425920,4913408,5087290,5880914,6336707,6179547,6437617,6817263,7385841,8117082,8955822,9810709,10751165,11351070,11803205,12010383,10510230,10097053,10520644,12235396,13807820,15042412,14639490,11533983,12125749,14198727,14735219,16468794,17192072,19419162,20783074,21387522,21622303,24185206,24533451,29588875,34653601
 "45000","South Carolina",5,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",1741340,1690895,1871308,2337466,2472294,2578129,2454125,2600992,2694257,2816821,2927409,3125208,3279265,3438440,3663599,3880067,4200901,4621428,5147171,5554222,6118475,6788527,7565033,8303612,9155963,10430288,11780897,13133873,14489177,15782069,17784384,19714538,22145967,24797103,26631006,28916875,32356987,34524809,36928949,39326350,43118798,46585625,50054297,52751336,56217040,59034758,62451669,65880368,69696159,73886061,79000721,82797391,88902126,92231678,96795058,101099633,106931176,112181589,120366332,128012712,135314915,135219713,139620102,146192398,153536009,153735967,163645591,172635514,179244352,189000029,198319765,210138830,225754890,244758943,248592180
 "45000","South Carolina",5,SAINC50,20,"...","Population (persons) 1/","Number of persons",1996000,2029000,2113000,2167000,2178000,2181000,2176000,2200000,2229000,2274000,2304000,2348000,2392000,2409000,2423000,2460000,2475000,2494000,2520000,2533000,2559000,2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4633890,4662785,4701074,4740306,4792246,4852678,4910768,4965753,5021059,5077543,5131848,5193266,5282634
 "45000","South Carolina",5,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",926,885,943,1158,1238,1274,1210,1272,1306,1337,1368,1448,1493,1556,1658,1728,1845,2024,2251,2416,2656,2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7967,8839,9315,10034,11048,11713,12371,13087,14128,15178,16106,16505,17306,17976,18848,19740,20719,21685,22900,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32747,34398,35794,35906,37735,39577,40732,42368,43804,46149,48772,52828,53618
 "45000","South Carolina",5,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",872,833,886,1079,1135,1182,1128,1182,1209,1239,1271,1331,1371,1427,1512,1577,1697,1853,2043,2193,2391,2641,2912,3120,3368,3758,4144,4529,4926,5280,5848,6387,7065,7800,8302,8941,9889,10452,11047,11633,12637,13477,14297,14775,15528,16115,16854,17575,18359,19143,20157,20831,22092,22689,23564,24360,25394,26271,27621,28805,29877,29460,30130,31353,32660,32432,34148,35575,36500,38061,39498,41386,43991,47130,47058
 "45000","South Carolina",5,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",107357,104101,121082,171594,223905,200056,179442,197065,216413,224246,223397,274931,290852,309976,354769,371931,366376,426243,524859,566336,677783,815849,815406,877307,1152890,1262002,1453752,1260416,1607104,1810425,2094749,2568690,2825791,3304731,3247264,3535295,3791878,4166809,4425920,4913408,5087290,5880914,6336707,6179547,6437617,6817263,7385841,8117082,8955822,9810709,10751165,11351070,11803205,12010383,10510230,10097053,10520644,12235396,13807820,15042412,14639490,11533983,12125749,14198727,14735219,16468794,17192072,19419162,20783074,21387522,21622303,24185206,24533451,29588875,34653601
 "45000","South Carolina",5,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",87666,82353,98387,146998,197740,172684,151437,166743,184009,191316,192095,232209,243652,264948,308892,320253,310431,358841,443936,478457,574449,695253,684197,730756,951412,1048410,1203796,999419,1271903,1437130,1651016,2056198,2218059,2600913,2505829,2697637,2853510,3190038,3354724,3723807,3772232,4417675,4653089,4595368,4741538,5070131,5544931,6113854,6787650,7498928,8264236,8621405,9016374,9247930,7815491,7335982,7557263,9040868,10324868,11260967,10912984,8282136,8939157,10728739,11031667,12522868,13078524,14975532,16165212,16498103,16441776,18240791,18757031,22962081,27186925
 "45000","South Carolina",5,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",87666,82353,98387,146998,197740,172684,151437,166743,184009,191316,192095,232209,243652,264948,308892,320253,310431,358841,443936,478457,574449,695253,684197,730756,951412,1048410,1203796,999419,1271903,1437130,1651016,2056198,2218059,2600913,2505829,2697637,2853510,3190038,3354724,3723807,3772232,4417675,4653089,4595368,4741538,5070131,5544931,6113854,6787650,7498928,8264236,8621405,9016374,9247930,7815491,7335982,7557263,9040868,10324868,11260967,10912984,8282136,8939157,10728739,11031667,12522868,13078524,14975532,16165212,16498103,16441776,18240791,18757031,22962081,27186925
 "45000","South Carolina",5,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",96539,93858,107366,156962,210008,189632,167569,183423,201691,210278,212809,254273,269423,293249,340818,357925,350532,393184,487900,542575,650343,778896,794789,853006,1083375,1270938,1454173,1358585,1569162,1752905,1987480,2412045,2717517,3182029,3158450,3340365,3561580,3943717,4222898,4646836,4730191,5358846,5745152,5737771,5884324,6131417,6617073,7293568,8041625,8844659,9698788,10387072,10903953,11299473,10220883,9724433,10015332,11477938,12932831,13994736,14722314,11926927,12383257,13892074,14248505,15605368,16056411,17952324,19378580,19851823,20054591,21610555,22130683,27034046,31027969
 "45000","South Carolina",5,SAINC50,82,"...","   Less: Refunds ","Thousands of dollars",8873,11505,8979,9964,12268,16948,16132,16680,17682,18962,20714,22064,25771,28301,31926,37672,40101,34343,43964,64118,75894,83643,110592,122250,131963,222528,250377,359166,297259,315775,336464,355847,499458,581116,652621,642728,708070,753679,868174,923029,957959,941171,1092063,1142403,1142786,1061286,1072142,1179714,1253975,1345731,1434552,1765667,1887579,2051543,2405392,2388451,2458069,2437070,2607963,2733769,3809330,3644791,3444100,3163335,3216838,3082500,2977887,2976792,3213368,3353720,3612815,3369764,3373652,4071965,3841044
 "45000","South Carolina",5,SAINC50,120,"..."," State governments ","Thousands of dollars",12181,13376,13699,14931,15713,16138,16065,17845,20440,21613,22140,30383,35924,34887,37079,42311,46712,58292,71948,79037,94330,110255,119435,133185,186799,198623,233851,243539,314248,351875,416969,482720,573286,663800,709521,806641,903906,941975,1033736,1141736,1253146,1396196,1578097,1474420,1575524,1633520,1695753,1847881,1984101,2135740,2305014,2513377,2575537,2532149,2432409,2475576,2658906,2834085,3137274,3477597,3416213,2921242,2869582,3129437,3337646,3587146,3704185,4019239,4160402,4401373,4644292,5452516,5262386,6093920,6906218
 "45000","South Carolina",5,SAINC50,130,"...","  Income taxes ","Thousands of dollars",9885,10666,10862,12029,12321,12356,12286,13794,15813,16715,17321,24889,29665,28169,29876,34501,37751,47934,59939,67567,80119,94601,103543,117515,169100,179392,214254,223494,291076,324825,387737,452603,541012,625493,666470,762876,854006,876222,955818,1062311,1181386,1316026,1492907,1382888,1467921,1516534,1581223,1733960,1874089,2009882,2185259,2403151,2464982,2431012,2326379,2349833,2516130,2674751,2957989,3305183,3256200,2754429,2706028,2967513,3169291,3416995,3530108,3835006,3976924,4213572,4424779,5219005,5037492,5860914,6675588
 "45000","South Carolina",5,SAINC50,150,"...","  Motor vehicle licenses ","Thousands of dollars",1538,1861,2066,2427,2881,3072,2949,3187,3720,3971,3878,4368,5043,5531,5882,6430,7550,8786,10269,8717,11116,12078,11799,12390,14112,16427,16635,16962,19838,22362,24146,24250,25444,30302,34550,36355,39287,48467,58116,58804,55760,58120,60325,61312,72395,69988,72290,79013,76982,81245,81442,80797,85525,82355,88521,109031,122338,137686,159239,154262,142311,148886,141745,139841,143585,146452,150076,158458,159595,165712,194702,209253,196357,196394,198142
 "45000","South Carolina",5,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",758,849,771,475,511,710,830,864,907,927,941,1126,1216,1187,1321,1380,1411,1572,1740,2753,3095,3576,4093,3280,3587,2804,2962,3083,3334,4688,5086,5867,6830,8005,8501,7410,10613,17286,19802,20621,16000,22050,24865,30220,35208,46998,42240,34908,33030,44613,38313,29429,25030,18782,17509,16712,20438,21648,20046,18152,17702,17927,21809,22083,24770,23699,24001,25775,23883,22089,24811,24258,28537,36612,32488
 "45000","South Carolina",5,SAINC50,180,"..."," Local governments ","Thousands of dollars",278,298,310,290,274,252,231,385,408,565,397,835,842,665,781,1316,1415,1283,1454,1285,1367,1645,1851,2039,2005,2114,3553,4056,5630,5023,5921,5816,7473,9936,10229,10886,10921,10526,7947,7806,9901,11066,11072,11659,13541,16156,19569,19514,23718,25535,30914,35915,37337,42081,46789,53962,74072,92810,83440,35602,40601,51168,63474,71436,85179,96546,98550,107363,126992,143351,174431,112536,120070,123373,126398
 "45000","South Carolina",5,SAINC50,190,"...","  Income taxes ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "45000","South Carolina",5,SAINC50,200,"...","  Motor vehicle licenses ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,0,0,0,0,92,342,0,0,0,0,0,0,0,0,0,894,2212,1648,1691,2113,2205,4928,6840,7884,8723,9946,11702,12551,15092,11174,7323,9677,30403,30193,32420,32918,32859,36948,39434,40561,46721,67692,70568,71299,72558,74036
 "45000","South Carolina",5,SAINC50,210,"...","  Other taxes ","Thousands of dollars",278,298,310,290,274,252,231,385,408,565,397,835,842,665,781,1316,1415,1283,1454,1285,1367,1645,1851,2039,2005,2114,3553,4056,5630,5023,5921,5816,7473,9844,9887,10886,10921,10526,7947,7806,9901,11066,11072,11659,12647,13944,17921,17823,21605,23330,25986,29075,29453,33358,36843,42260,61521,77718,72266,28279,30924,20765,33281,39016,52261,63687,61602,67929,86431,96630,106739,41968,48771,50815,52362
 "45000","South Carolina",5,SAINC50,230,"..."," State and local personal property taxes ","Thousands of dollars",7232,8074,8686,9375,10178,10982,11709,12092,11556,10752,8765,11504,10434,9476,8017,8051,7818,7827,7521,7557,7637,8696,9923,11327,12674,12855,12552,13402,15323,16397,20843,23956,26973,30082,21685,20131,23541,24270,29513,40059,52011,55977,94449,98100,107014,97456,125588,135833,160353,150506,151001,180373,173957,188223,215541,231533,230403,267633,262238,268246,269692,279437,253536,269115,280727,262234,310813,317028,330468,344695,361804,379363,393964,409501,434060
"Note: See the included footnote file."
"SAINC50: Personal current taxes "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
