GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "96000","Southwest",6,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",13335648,14263185,15353987,17601106,19152740,19742489,20244371,21777492,23385569,25052310,26205951,27798653,28816834,30430352,31996225,33362105,35740613,38345927,41705895,45389776,50517520,56500512,62538485,68407820,76144819,86581962,97435217,110068133,123376837,137741135,158696714,183163014,210281053,245411576,269758825,287732718,314958023,339385401,349918465,357892172,380625726,406689829,435866440,456555294,490772292,519975064,551909258,590534448,633710674,687536117,745894258,784591397,852566456,906746360,924431680,965519150,1021841231,1110529140,1219452541,1290719441,1403111651,1335984424,1407471280,1525380945,1613805076,1656654447,1766252947,1800501270,1801518676,1919437059,2046252237,2154931947,2283556459,2528029851,2646114183
 "96000","Southwest",6,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",1163513,1027959,1219149,1665734,1964567,1932161,1890111,1975780,2201595,2452610,2439541,2645636,2826474,2990665,3217969,3367596,3142907,3445942,4032231,4487427,5454375,6666466,6752173,6673001,8169627,8983022,10946538,10943844,13091689,15558446,18245695,22654216,26742101,33588855,35156123,32360972,34032397,36736927,34522917,37079803,37779586,42430226,46137788,46246902,47779346,51136293,55011818,59677502,68007569,77552283,86683046,91296869,102127001,104266220,87035414,82689130,85629182,105147884,122310346,132576527,146605538,102293625,111455585,138192358,145048247,161629609,175848788,182873854,173359043,191909996,186256829,202433027,201114714,245351261,290569148
 "96000","Southwest",6,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",12172135,13235226,14134838,15935372,17188173,17810328,18354260,19801712,21183974,22599700,23766410,25153017,25990360,27439687,28778256,29994509,32597706,34899985,37673664,40902349,45063145,49834046,55786312,61734819,67975192,77598940,86488679,99124289,110285148,122182689,140451019,160508798,183538952,211822721,234602702,255371746,280925626,302648474,315395548,320812369,342846140,364259603,389728652,410308392,442992946,468838771,496897440,530856946,565703105,609983834,659211212,693294528,750439455,802480140,837396266,882830020,936212049,1005381256,1097142195,1158142914,1256506113,1233690799,1296015695,1387188587,1468756829,1495024838,1590404159,1617627416,1628159633,1727527063,1859995408,1952498920,2082441745,2282678590,2355545035
 "96000","Southwest",6,SAINC50,20,"...","Population (persons) 1/","Number of persons",11009000,11086000,11450000,11823000,12110000,12168000,12287000,12682000,12962000,13324000,13598000,13874000,14235000,14572000,14930000,15108000,15278000,15414000,15567000,15734000,15998000,16328000,16621375,17076950,17502870,17942658,18354229,18789070,19269802,19710280,20180482,20776513,21426140,21985332,22791219,23405364,23776476,24165954,24584827,24747513,24859623,25083118,25411251,25917326,26491437,27115790,27772489,28419852,29019737,29625063,30239551,30827272,31380654,31891889,32430969,32923761,33475468,34098071,34944948,35624083,36269039,36899289,37465360,37945350,38468774,38946001,39512694,40110452,40648062,41093589,41512417,41982207,42495719,42931643,43521913
 "96000","Southwest",6,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1211,1287,1341,1489,1582,1622,1648,1717,1804,1880,1927,2004,2024,2088,2143,2208,2339,2488,2679,2885,3158,3460,3763,4006,4350,4825,5309,5858,6403,6988,7864,8816,9814,11163,11836,12293,13247,14044,14233,14462,15311,16214,17152,17616,18526,19176,19873,20779,21837,23208,24666,25451,27169,28432,28505,29326,30525,32569,34896,36232,38686,36206,37567,40199,41951,42537,44701,44889,44320,46709,49293,51330,53736,58885,60800
 "96000","Southwest",6,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1106,1194,1234,1348,1419,1464,1494,1561,1634,1696,1748,1813,1826,1883,1928,1985,2134,2264,2420,2600,2817,3052,3356,3615,3884,4325,4712,5276,5723,6199,6960,7725,8566,9635,10294,10911,11815,12524,12829,12963,13791,14522,15337,15831,16722,17290,17892,18679,19494,20590,21800,22490,23914,25163,25821,26814,27967,29485,31396,32510,34644,33434,34592,36558,38180,38387,40250,40329,40055,42039,44806,46508,49004,53170,54123
 "96000","Southwest",6,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",1163513,1027959,1219149,1665734,1964567,1932161,1890111,1975780,2201595,2452610,2439541,2645636,2826474,2990665,3217969,3367596,3142907,3445942,4032231,4487427,5454375,6666466,6752173,6673001,8169627,8983022,10946538,10943844,13091689,15558446,18245695,22654216,26742101,33588855,35156123,32360972,34032397,36736927,34522917,37079803,37779586,42430226,46137788,46246902,47779346,51136293,55011818,59677502,68007569,77552283,86683046,91296869,102127001,104266220,87035414,82689130,85629182,105147884,122310346,132576527,146605538,102293625,111455585,138192358,145048247,161629609,175848788,182873854,173359043,191909996,186256829,202433027,201114714,245351261,290569148
 "96000","Southwest",6,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",1104764,962301,1144456,1578834,1869519,1831371,1783402,1855618,2071114,2312104,2288885,2454509,2621386,2765508,2979183,3141802,2899481,3185033,3747374,4199979,5116763,6265176,6310824,6204908,7600632,8377150,10221354,10149898,12210951,14589542,17142971,21393726,25424030,31881851,33385683,30444273,31825868,34256997,31814600,34132269,34400330,38825079,42229286,41871767,43200829,46423832,50013327,54394455,62310720,71423959,80123044,84257710,94668761,96779147,79683847,75160517,77234282,95989727,112114940,121958865,136667406,93886219,102758763,128542005,134739597,150505325,164295472,170617391,161333209,179459445,172506020,187746711,186975867,228958228,273035518
 "96000","Southwest",6,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",1104764,962301,1144456,1578834,1869519,1831371,1783402,1855618,2071114,2312104,2288885,2454509,2621386,2765508,2979183,3141802,2899481,3185033,3747374,4199979,5116763,6265176,6310824,6204908,7600632,8377150,10221354,10149898,12210951,14589542,17142971,21393726,25424030,31881851,33385683,30444273,31825868,34256997,31814600,34132269,34400330,38825079,42229286,41871767,43200829,46423832,50013327,54394455,62310720,71423959,80123044,84257710,94668761,96779147,79683847,75160517,77234282,95989727,112114940,121958865,136667406,93886219,102758763,128542005,134739597,150505325,164295472,170617391,161333209,179459445,172506020,187746711,186975867,228958228,273035518
 "96000","Southwest",6,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",1200597,1106717,1251368,1695873,2003011,1994235,1954499,2051939,2270141,2526337,2538687,2718715,2893875,3061993,3300674,3489924,3267510,3482081,4100805,4681512,5694013,6901313,7166846,7174166,8578341,9929089,11943452,12730265,14602447,17185328,20050962,24572308,29661062,36845737,39527146,37635301,39157673,42016065,40060250,42315532,42219438,46448538,49342337,49425171,51010608,53807571,57515227,63082387,71546554,81324686,90699954,97525566,108874163,112467712,99001851,94588879,97580793,116284933,134408079,145669063,169943402,126565785,133605758,156578499,164357712,179905993,194274065,201049840,194364586,212424209,208317647,220910884,220879067,267933125,309800150
