GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",437906,423106,450582,515573,528676,554297,562077,584920,639661,663135,676296,727094,768301,800756,840471,871256,933673,1022246,1159800,1256075,1382449,1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4014867,4506540,5061344,5491146,5906012,6480322,7031154,7564819,8173313,8965124,9903085,10293914,10507320,11227015,11661131,12223050,12862199,13545648,14358996,15458643,16326189,17680211,18797433,19198107,19945829,21049089,21477398,22803466,24062984,25449395,25216382,25988718,27547769,28291866,28665970,29724479,30597984,31073264,31960192,33117074,34824056,37273845,39603541,40790337
 "50000","Vermont",1,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",31388,27656,30619,43627,49496,49509,44475,52169,62726,61230,62718,70398,75345,77473,80779,91791,91711,94181,122005,133545,159652,196180,206584,180336,230026,230979,249800,260737,277692,324798,375689,446574,516765,599069,597600,626540,674992,764224,853618,985473,1037576,1173678,1200181,1161850,1208524,1261638,1306486,1368444,1522688,1710052,1882007,2007783,2241119,2265412,2016027,1857627,1921977,2191397,2449108,2694254,2708870,2072775,2160244,2596972,2591941,2881402,3040325,3214993,3318349,3370194,3346235,3673120,3769726,4617826,5252464
 "50000","Vermont",1,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",406518,395450,419963,471946,479180,504788,517602,532751,576935,601905,613578,656696,692956,723283,759692,779465,841962,928065,1037795,1122530,1222797,1319255,1457347,1621955,1759041,1952903,2114227,2331048,2598324,2795298,3197723,3568293,3989775,4462275,4893546,5279472,5805330,6266930,6711201,7187840,7927548,8729407,9093733,9345470,10018491,10399493,10916564,11493755,12022960,12648944,13576636,14318406,15439092,16532021,17182080,18088202,19127112,19286001,20354358,21368730,22740525,23143607,23828474,24950797,25699925,25784568,26684154,27382991,27754915,28589998,29770839,31150936,33504119,34985715,35537873
 "50000","Vermont",1,SAINC50,20,"...","Population (persons) 1/","Number of persons",359000,369000,379000,378000,375000,379000,377000,375000,377000,376000,380000,387000,389000,390000,393000,397000,399000,404000,413000,423000,430000,437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,626360,629582,630661,632824,633827,635874,636342,639061,640667,641838,642893,646972,647064
 "50000","Vermont",1,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1220,1147,1189,1364,1410,1463,1491,1560,1697,1764,1780,1879,1975,2053,2139,2195,2340,2530,2808,2969,3215,3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7939,8793,9817,10578,11286,12305,13265,14165,15128,16307,17757,18226,18479,19602,20184,20936,21837,22816,24042,25747,27000,29002,30704,31194,32282,33955,34573,36609,38595,40774,40358,41492,43756,44861,45298,46897,48120,48831,50011,51692,54257,57978,61214,63039
 "50000","Vermont",1,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1132,1072,1108,1249,1278,1332,1373,1421,1530,1601,1615,1697,1781,1855,1933,1963,2110,2297,2513,2654,2844,3019,3265,3570,3797,4168,4469,4857,5356,5679,6417,7056,7785,8655,9427,10089,11023,11824,12566,13304,14420,15652,16101,16436,17492,18000,18698,19514,20251,21179,22612,23679,25326,27003,27918,29276,30854,31046,32677,34273,36434,37041,38043,39631,40751,40745,42100,43064,43616,44738,46469,48534,52115,54076,54922
 "50000","Vermont",1,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",31388,27656,30619,43627,49496,49509,44475,52169,62726,61230,62718,70398,75345,77473,80779,91791,91711,94181,122005,133545,159652,196180,206584,180336,230026,230979,249800,260737,277692,324798,375689,446574,516765,599069,597600,626540,674992,764224,853618,985473,1037576,1173678,1200181,1161850,1208524,1261638,1306486,1368444,1522688,1710052,1882007,2007783,2241119,2265412,2016027,1857627,1921977,2191397,2449108,2694254,2708870,2072775,2160244,2596972,2591941,2881402,3040325,3214993,3318349,3370194,3346235,3673120,3769726,4617826,5252464
 "50000","Vermont",1,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",26806,22315,24520,34941,38943,39682,34874,40977,49584,47180,47858,53696,57557,59180,61934,70515,68763,70481,90733,99384,126175,151365,153027,129422,172930,168993,186275,196693,204993,238057,297478,343693,408994,478174,470617,486999,514983,588435,657940,758847,829551,919594,902582,867648,883998,933967,993820,1057395,1197875,1340888,1482454,1570243,1757854,1787385,1516741,1389169,1427368,1632098,1842925,2033473,2021930,1509583,1590492,1965181,1919955,2142508,2293226,2422054,2517281,2532646,2464712,2736844,2736581,3337732,3931050
 "50000","Vermont",1,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",26806,22315,24520,34941,38943,39682,34874,40977,49584,47180,47858,53696,57557,59180,61934,70515,68763,70481,90733,99384,126175,151365,153027,129422,172930,168993,186275,196693,204993,238057,297478,343693,408994,478174,470617,486999,514983,588435,657940,758847,829551,919594,902582,867648,883998,933967,993820,1057395,1197875,1340888,1482454,1570243,1757854,1787385,1516741,1389169,1427368,1632098,1842925,2033473,2021930,1509583,1590492,1965181,1919955,2142508,2293226,2422054,2517281,2532646,2464712,2736844,2736581,3337732,3931050
 "50000","Vermont",1,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",29594,25805,26970,37434,41855,43044,38525,44794,53895,52250,53002,59181,63555,65864,69154,78250,77603,78130,99514,112528,142002,169742,177326,156914,197426,209859,227944,253415,251942,283611,344298,397443,478778,553189,553585,566039,609481,688593,775452,886496,972697,1059582,1047892,1035403,1044292,1079825,1141294,1220008,1368006,1518327,1669707,1807160,2010306,2062282,1863290,1725557,1781245,1967013,2198520,2403832,2521316,2001557,2039459,2370820,2343868,2546997,2690083,2821088,2950100,2988977,2943038,3176266,3169048,3865893,4429259
 "50000","Vermont",1,SAINC50,82,"...","   Less: Refunds ","Thousands of dollars",2788,3490,2450,2493,2912,3362,3651,3817,4311,5070,5144,5485,5998,6684,7220,7735,8840,7649,8781,13144,15827,18377,24299,27492,24496,40866,41669,56722,46949,45554,46820,53750,69784,75015,82968,79040,94498,100158,117512,127649,143146,139988,145310,167755,160294,145858,147474,162613,170131,177439,187253,236917,252452,274897,346549,336388,353877,334915,355595,370359,499386,491974,448967,405639,423913,404489,396857,399034,432819,456331,478326,439422,432467,528161,498209
 "50000","Vermont",1,SAINC50,120,"..."," State governments ","Thousands of dollars",4373,5109,5852,8431,10287,9547,9308,10860,12815,13684,14496,16075,17144,17638,18734,21104,22670,23369,30947,33818,33135,44424,53224,50604,56752,61604,63163,63656,72274,86339,77837,102674,107489,120570,126617,138964,159649,175416,195327,226213,207542,253717,297268,293795,324165,327264,312017,310414,324132,368430,398465,435612,481559,476496,497956,466929,492383,556482,603535,658215,684389,561425,567412,629206,669941,737739,745958,791244,799695,836244,880082,934936,1031436,1278313,1319578
 "50000","Vermont",1,SAINC50,130,"...","  Income taxes ","Thousands of dollars",1977,2671,3213,5282,6531,5639,5348,6877,8730,9242,9247,10414,11585,12126,13056,15577,17193,17741,24762,27928,26673,37741,45775,42805,49358,53161,54662,54101,62601,76083,66989,87949,88867,107343,111449,121323,139741,151630,172580,202963,182967,227719,269105,263059,281517,286652,270692,269060,286805,329823,361184,400101,443223,438803,454580,416672,440265,505328,547137,595303,625482,503067,506766,570546,607969,674457,682215,725214,731495,768061,808760,859687,952798,1190853,1235134
 "50000","Vermont",1,SAINC50,150,"...","  Motor vehicle licenses ","Thousands of dollars",1964,1996,2049,2264,2768,2864,2956,2947,2870,3088,3895,4270,4105,3942,4075,3930,3796,3821,4098,4004,4328,4236,4804,5093,5418,6241,6135,6472,6950,7911,8483,11743,15243,9614,12014,14938,16581,17305,17953,18864,19735,21104,22980,24621,32262,30353,30131,32292,29698,27531,26219,25962,27670,28213,35960,43599,44787,43777,49621,55942,51129,50397,51994,50133,52278,53620,54249,55517,57929,58789,60612,63312,62433,63117,63666
 "50000","Vermont",1,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",432,442,590,885,988,1044,1004,1036,1215,1354,1354,1391,1454,1570,1603,1597,1681,1807,2087,1886,2134,2447,2645,2706,1976,2202,2366,3083,2723,2345,2365,2982,3379,3613,3154,2703,3327,6481,4794,4386,4840,4894,5183,6115,10386,10259,11194,9062,7629,11076,11062,9549,10666,9480,7416,6658,7331,7377,6777,6970,7778,7961,8652,8527,9694,9662,9494,10513,10271,9394,10710,11937,16205,24343,20778
 "50000","Vermont",1,SAINC50,180,"..."," Local governments ","Thousands of dollars",56,61,63,56,50,47,44,76,82,138,108,188,147,105,111,172,278,331,325,343,342,391,333,310,344,382,362,388,425,402,374,207,282,325,366,577,360,373,351,413,483,367,331,407,361,407,649,635,681,734,1088,1928,1706,1531,1330,1529,2226,2817,2648,2566,2551,1767,2340,2585,2045,1155,1141,1695,1373,1304,1441,1340,1709,1781,1836
 "50000","Vermont",1,SAINC50,190,"...","  Income taxes ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "50000","Vermont",1,SAINC50,200,"...","  Motor vehicle licenses ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,39,18,41,16,22,22,16,15,18,15,17,9,6,9,8,8,9
 "50000","Vermont",1,SAINC50,210,"...","  Other taxes ","Thousands of dollars",56,61,63,56,50,47,44,76,82,138,108,188,147,105,111,172,278,331,325,343,342,391,333,310,344,382,362,388,425,402,374,207,282,325,366,577,360,373,351,413,483,367,331,407,361,407,649,635,681,734,1088,1928,1706,1531,1330,1525,2220,2805,2609,2548,2510,1751,2318,2563,2029,1140,1123,1680,1356,1295,1435,1331,1701,1773,1827
 "50000","Vermont",1,SAINC50,230,"..."," State and local personal property taxes ","Thousands of dollars",153,171,184,199,216,233,249,256,245,228,256,439,497,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Note: See the included footnote file."
"SAINC50: Personal current taxes "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
