GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",18155936,18706617,20092171,21287123,22331474,23372138,24429161,26019615,27696199,29761264,32860667,32995420,35374322,37870572,38997090,38565077,40642115,41918639,41285498,41919375,43522749,44507583,45366320,48207950,50349667
 "02000","Alaska",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732923,734182,733583
 "02000","Alaska",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55535,56499,58997,60569,61898,65662,68635
 "02000","Alaska",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",14527361,14882097,15867110,17029542,18028572,18955972,19934489,21169408,22333919,23393313,24425916,25422826,26937853,28437092,29480679,29693231,30367977,31209356,30384981,30445976,31385975,32049395,31624353,32986297,34526018
 "02000","Alaska",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1548437,1569942,1644198,1737867,1843725,1903804,2028514,2178900,2378231,2476718,2557019,2599514,2676088,2544967,2697423,3122775,3115890,3164286,3054823,3082385,3152849,3274560,3259162,3456389,3723794
 "02000","Alaska",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",732080,745525,783746,840321,893623,925646,982952,1050506,1154177,1222260,1270295,1291084,1338171,1100821,1146258,1516350,1548140,1587241,1545269,1572863,1626099,1711092,1699983,1785241,1926119
 "02000","Alaska",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",816357,824417,860452,897546,950102,978158,1045562,1128394,1224054,1254458,1286724,1308430,1337917,1444146,1551165,1606425,1567750,1577045,1509554,1509522,1526750,1563468,1559179,1671148,1797675
 "02000","Alaska",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-822099,-826793,-877709,-862962,-791015,-699597,-607355,-512150,-419566,-307736,-173233,-178639,-179839,-194369,-205444,-206378,-219950,-223543,-194639,-181568,-191483,-197068,-189735,-188459,-202629
 "02000","Alaska",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",12156825,12485362,13345203,14428713,15393832,16352571,17298620,18478358,19536122,20608859,21695664,22644673,24081926,25697756,26577812,26364078,27032137,27821527,27135519,27182023,28041643,28577767,28175456,29341449,30599595
 "02000","Alaska",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3528388,3505797,3669564,3638877,3630246,3773706,3922133,4136805,4544611,5068587,5703654,5603073,5956426,6634321,7016981,6783998,7129596,7458993,7557601,7726501,7875421,7918520,7806368,8445051,9031018
 "02000","Alaska",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",2470723,2715458,3077404,3219533,3307396,3245861,3208408,3404452,3615466,4083818,5461349,4747674,5335970,5538495,5402297,5417001,6480382,6638119,6592378,7010851,7605685,8011296,9384496,10421450,10719054
