GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",117834952,124922252,135573750,142097788,147455199,156408807,170442982,187724914,207762641,219579070,223495122,212283565,216223640,227203294,236431415,242030312,253711620,267474059,279696749,297261506,315458961,337214074,374311796,409885700,430083534
 "04000","Arizona",6,SAINC5N,20,"...","Population (persons) 2/","Number of persons",4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6402024,6446537,6507351,6563216,6638196,6714328,6801591,6879830,6969944,7070511,7179943,7264877,7359197
 "04000","Arizona",6,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",24130,24866,26271,26946,27325,28384,30154,32150,34460,35602,35586,33467,33774,35244,36333,36877,38220,39836,41122,43208,45260,47693,52133,56420,58442
 "04000","Arizona",6,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",86135847,92221671,100790169,104944956,108540472,114300933,124983064,137535301,152572030,159194049,156736446,145488662,146215495,152286648,158834881,166218681,172711475,181293611,189664064,200981833,214266729,228025203,240381510,261631291,285840783
 "04000","Arizona",6,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9786016,10487608,11419040,11946096,12362001,12835458,13905850,15259155,16715428,17691723,17899039,17059639,17240064,15971910,16516057,19347885,19979893,21008249,21883175,23184421,24907047,26545870,28140750,30509494,33561652
 "04000","Arizona",6,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",5029953,5431735,5906779,6151764,6367813,6645727,7224691,7990905,8781087,9233456,9324697,8994874,9147304,7575468,7817224,10335016,10812249,11383330,11902068,12642055,13695552,14739285,15691232,17042988,19020608
 "04000","Arizona",6,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",4756063,5055873,5512261,5794332,5994188,6189731,6681159,7268250,7934341,8458267,8574342,8064765,8092760,8396442,8698833,9012869,9167644,9624919,9981107,10542366,11211495,11806585,12449518,13466506,14541044
 "04000","Arizona",6,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",405885,466286,524999,637767,697960,798514,948601,1060169,1093715,1177024,1215677,1225599,1250365,1249490,1349709,1345566,1454761,1513278,1593893,1667110,1719996,1920612,1895573,2023285,2393507
 "04000","Arizona",6,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",76755716,82200349,89896128,93636627,96876431,102263989,112025815,123336315,136950317,142679350,140053084,129654622,130225796,137564228,143668533,148216362,154186343,161798640,169374782,179464522,191079678,203399945,214136333,233145082,254672638
 "04000","Arizona",6,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",25949201,26606294,28649734,29148489,29065190,30669747,32642033,35901405,39680192,43115721,44081851,38618468,38112102,41816154,44910741,44288846,47336029,50985882,52957286,56528841,60060777,65008108,67132251,74172284,83131353
 "04000","Arizona",6,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",15130035,16115609,17027888,19312672,21513578,23475071,25775134,28487194,31132132,33783999,39360187,44010475,47885742,47822912,47852141,49525104,52189248,54689537,57364681,61268143,64318506,68806021,93043212,102568334,92279543
 "04000","Arizona",6,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",64289238,69372454,76583262,79484246,81176503,84999480,92155482,101118705,111468721,117288565,117222286,109643699,109156749,113495712,118946570,122596891,127740598,134093382,139368770,147731283,157183301,167959440,176694560,193941158,211131613
 "04000","Arizona",6,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",12947557,13661010,14739183,15988220,16870754,17681764,18972386,20647953,23072017,25288590,26642489,25468172,25433283,26158244,26307179,27848031,28844277,29913511,31482338,33489285,36112621,36549545,37596241,39574316,41274140
