GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",268711943,282128877,301060433,306670387,306427101,313961005,322698379,329235279,336842607,346731862,356356155,339099994,352074311,372954243,387339206,390857856,407267049,429284900,441557210,454894818,474208013,489493146,531530232,568132011,572325054
 "26000","Michigan",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9880076,9895488,9920751,9947308,9974630,9987137,10016980,10049868,10070610,10078236,10069577,10037504,10034113
 "26000","Michigan",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39043,39293,40830,42984,44081,45264,47088,48569,52786,56601,57038
 "26000","Michigan",3,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",207438191,220800626,235948679,237795063,238158348,242084240,248046013,251126209,253364049,254886680,251958061,232668356,240545864,252855942,263096110,270267697,279281366,293230685,301868841,315061119,327196444,336115311,335469252,361633316,386966216
 "26000","Michigan",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",24260305,25630699,26849398,26634050,26847650,27221277,28187070,29074535,29870046,30243631,30261259,28284465,28655509,26610266,27743777,32227767,33295683,34694561,35680226,37091301,39018763,39913789,39484745,42184976,46547354
 "26000","Michigan",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",11989518,12752311,13336593,13380836,13627307,13775872,14249893,14763171,15265538,15547048,15672492,14782733,14995272,12366018,12815491,16883072,17621962,18442571,19152170,20034738,21272238,21813175,21739078,23293962,25889487
 "26000","Michigan",3,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",12270787,12878388,13512805,13253214,13220343,13445405,13937177,14311364,14604508,14696583,14588767,13501732,13660237,14244248,14928286,15344695,15673721,16251990,16528056,17056563,17746525,18100614,17745667,18891014,20657867
 "26000","Michigan",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",992850,1080484,1098060,1188640,1215483,1270562,1366786,1442775,1629923,1676067,1681499,1516368,1578562,1724055,1908240,1912729,2067989,2124340,2264542,2319933,2531327,2648799,2587587,3241504,3409365
 "26000","Michigan",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",184170736,196250411,210197341,212349653,212526181,216133525,221225729,223494449,225123926,226319116,223378301,205900259,213468917,227969731,237260573,239952659,248053672,260660464,268453157,280289751,290709008,298850321,298572094,322689844,343828227
 "26000","Michigan",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",49294591,48106923,51819879,50845824,48838134,50526776,52155708,53291912,55725721,59171034,63265808,55778246,55920531,62442997,67949945,67514914,72755549,77348029,79867828,81384641,86249407,88059350,88654212,97306671,105142914
