GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "29000","Missouri",4,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",140839690,146172453,156202129,161531191,165389801,171593178,180453767,186770922,197834125,207411340,219921999,216424450,221760207,230858278,240967754,242493009,250783748,259349984,267048570,273774195,286084305,297349071,320592856,345961209,357194742
 "29000","Missouri",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996166,6011569,6026727,6044003,6060459,6077057,6093349,6113669,6128594,6143406,6153998,6169823,6177957
 "29000","Missouri",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25506,26281,27857,28634,29144,30054,31396,32256,33860,35228,37124,36306,36984,38402,39983,40121,41380,42677,43826,44781,46680,48401,52095,56073,57818
 "29000","Missouri",4,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",107230395,113362627,120835206,124339711,128041834,132224139,139548680,144007814,151048802,155885733,162250615,159063031,161525984,165299065,170361061,176764776,180544872,185534418,189949747,196554981,202955725,211403177,216559580,229984582,246009141
 "29000","Missouri",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12009879,12636662,13300786,13688520,14054014,14485832,15021627,15774621,16688926,17396124,18248432,17715539,17696563,16296936,16733268,19427320,20009832,21073394,21470242,22209966,23159435,24154038,24949686,25929665,28229873
 "29000","Missouri",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6237838,6579087,6906493,7120400,7343536,7540456,7860667,8239876,8768885,9185334,9613497,9370227,9402207,7711663,7879502,10357355,10700594,11248039,11512338,12076998,12737606,13260187,13766898,14356543,15729067
 "29000","Missouri",4,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",5772041,6057575,6394293,6568120,6710478,6945376,7160960,7534745,7920041,8210790,8634935,8345312,8294356,8585273,8853766,9069965,9309238,9825355,9957904,10132968,10421829,10893851,11182788,11573122,12500806
 "29000","Missouri",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-3550710,-3679974,-3963766,-4019437,-4132039,-4182675,-4282438,-4572755,-4975859,-4843232,-5426497,-5120059,-4928415,-4338228,-4879543,-4730051,-4788655,-4946776,-5111048,-5469554,-5794503,-6208919,-5955021,-6404690,-7161031
 "29000","Missouri",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",91669806,97045991,103570654,106631754,109855781,113555632,120244615,123660438,129384017,133646377,138575686,136227433,138901006,144663901,148748250,152607405,155746385,159514248,163368457,168875461,174001787,181040220,185654873,197650227,210618237
 "29000","Missouri",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",29232647,28251769,30333806,30301442,29277325,30622061,31284758,32184570,35577577,38639629,41867172,37384851,37287451,39792018,45298545,42042420,45683836,48014193,50455966,50259103,55385613,57023122,60622823,65440884,72802593
 "29000","Missouri",4,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",19937237,20874693,22297669,24597995,26256695,27415485,28924394,30925914,32872531,35125334,39479141,42812166,45571750,46402359,46920959,47843184,49353527,51821543,53224147,54639631,56696905,59285729,74315160,82870098,73773912
 "29000","Missouri",4,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",80026069,84349291,89504202,91859770,93522466,95758914,99433479,103891683,108836035,113861934,118980823,113694070,113885619,116480197,121318863,123769520,128563166,134635817,137936240,143162780,148835374,154659826,157214006,168185170,180642598
 "29000","Missouri",4,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",16861280,18172620,19410266,19890513,21290293,22462855,23756814,25032205,26431412,27142506,27973122,28285030,28739411,28162356,28928723,31079280,30901758,32514034,32218131,33708890,36005174,37387009,36968393,37830708,39570485
 "29000","Missouri",4,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",11089239,12115045,13015973,13322393,14579815,15517479,16595854,17497460,18511371,18931716,19338187,19939718,20445055,19577083,20074957,22009315,21592520,22688679,22260227,23575922,25583345,26493158,25785605,26257586,27069679
 "29000","Missouri",4,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",5772041,6057575,6394293,6568120,6710478,6945376,7160960,7534745,7920041,8210790,8634935,8345312,8294356,8585273,8853766,9069965,9309238,9825355,9957904,10132968,10421829,10893851,11182788,11573122,12500806
 "29000","Missouri",4,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",10343046,10840716,11920738,12589428,13229075,14002370,16358387,15083926,15781355,14881293,15296670,17083931,18900954,20656512,20113475,21915976,21079948,18384567,19795376,19683311,18115177,19356342,22377181,23968704,25796058
 "29000","Missouri",4,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",266301,-19433,532787,560676,143715,763649,2043357,1172097,1038286,1071780,1758241,1332644,1191664,1894414,964463,2590962,2884177,449318,723660,721117,293792,766437,1291928,1967456,2363987
 "29000","Missouri",4,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",10076745,10860149,11387951,12028752,13085360,13238721,14315030,13911829,14743069,13809513,13538429,15751287,17709290,18762098,19149012,19325014,18195771,17935249,19071716,18962194,17821385,18589905,21085253,22001248,23432071
