GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "37000","North Carolina",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",198232018,207943047,221516240,228090893,231930885,241805079,261603424,280391837,304872655,327886485,351637519,339441454,343104305,355001632,377867242,373140586,393886051,414760405,429054929,449817671,473093266,501587171,541077960,599133510,621705594
 "37000","North Carolina",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9571353,9642580,9722105,9803434,9880220,9966060,10076064,10175266,10275806,10370550,10449445,10565885,10698973
 "37000","North Carolina",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35847,36816,38867,38062,39866,41617,42582,44207,46040,48366,51781,56705,58109
 "37000","North Carolina",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",150625445,159949078,170461725,174113335,176240116,183406760,198015770,211554771,229557496,244915288,258157497,243357904,244526728,247490495,266033349,265416924,279153775,292329706,302983253,317386050,333004293,353022987,365699714,399280680,434666848
 "37000","North Carolina",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",17206594,18335210,19427808,20100040,20457290,21458666,22559707,24118880,25770788,27508429,28284451,27492980,27829198,25943678,26975741,31279253,32936506,34559663,35544018,36884967,38384939,40569835,42200651,45600087,50416829
 "37000","North Carolina",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",8928190,9531203,10088939,10403048,10717861,10986425,11641229,12432299,13386463,14337628,14733408,14362796,14588208,11970529,12406017,16303622,17141108,18006834,18890275,19921205,21167760,22382726,23359474,25111533,27886975
 "37000","North Carolina",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",8278404,8804007,9338869,9696992,9739429,10472241,10918478,11686581,12384325,13170801,13551043,13130184,13240990,13973149,14569724,14975631,15795398,16552829,16653743,16963762,17217179,18187109,18841177,20488554,22529854
 "37000","North Carolina",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-737812,-806853,-920846,-930337,-898686,-755131,-756441,-826139,-1011755,-1242889,-1274185,-1048759,-963090,-890875,-938824,-848545,-920641,-1162504,-1294745,-1359450,-1558971,-1616734,-1827200,-2008395,-2559706
 "37000","North Carolina",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",132681039,140807015,150113071,153082958,154884140,161192963,174699622,186609752,202774953,216163970,228598861,214816165,215734440,220655942,238118784,233289126,245296628,256607539,266144490,279141633,293060383,310836418,321671863,351672198,381690313
 "37000","North Carolina",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",39126225,39074248,41376934,41504199,40783203,42473564,45786677,49151630,53439091,59378991,63588490,58127168,56725686,61967922,65771520,64472701,70230138,75408318,77792397,82233661,86987806,92289188,94054631,103109417,112100841
