GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "38000","North Dakota",4,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",15078708,15257879,16591077,16930740,17356115,18949490,19330915,20501369,21508536,23828798,26942586,26722103,29758809,33587983,39538595,39538731,42181264,40408157,39232018,39743692,42565900,43968202,47621422,51261703,54828494
 "38000","North Dakota",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,675054,687065,705071,727382,744395,762693,764650,766673,771407,776516,779518,777934,779261
 "38000","North Dakota",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44084,48886,56077,54358,56665,52981,51307,51839,55180,56622,61091,65895,70360
 "38000","North Dakota",4,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",11295046,11554251,12600120,12856596,13207378,14736799,15091828,16029789,16675653,18468147,20476941,20545958,23004671,25915118,31300083,31731678,33780051,32357195,30852577,31307802,33029524,34257893,34840100,36752082,41039957
 "38000","North Dakota",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1438540,1478456,1549851,1591339,1642748,1731169,1833341,1912143,2009821,2112500,2261295,2419127,2502789,2623594,2842432,3477044,3866060,3848752,3693886,3856531,3895556,3965229,4021166,4201665,4581134
 "38000","North Dakota",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",675752,704608,733229,782989,801491,846436,899797,949663,1020365,1109432,1200625,1226561,1290445,1158971,1281783,1740632,1887045,1881193,1842560,1899037,2001969,2058481,2119887,2293481,2509708
 "38000","North Dakota",4,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",762788,773848,816622,808350,841257,884733,933544,962480,989456,1003068,1060670,1192566,1212344,1464623,1560649,1736412,1979015,1967559,1851326,1957494,1893587,1906748,1901279,1908184,2071426
 "38000","North Dakota",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-343995,-370431,-403890,-432205,-447090,-469483,-521756,-570108,-634508,-703474,-761701,-802793,-966729,-1321363,-1901175,-2291242,-2634889,-2384435,-1969030,-2082581,-2280904,-2371713,-2013645,-1958468,-2260483
 "38000","North Dakota",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",9512511,9705364,10646379,10833052,11117540,12536147,12736731,13547538,14031324,15652173,17453945,17324038,19535153,21970161,26556476,25963392,27279102,26124008,25189661,25368690,26853064,27920951,28805289,30591949,34198340
 "38000","North Dakota",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3356906,3248277,3472487,3560774,3550082,3625696,3646698,3846846,4163268,4624442,5470928,5198205,5680368,6968238,8290234,8715157,9730758,8919801,8504180,8713864,9644119,9677870,10272827,11484410,12499589
