GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "34000","New Jersey",2,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",286580221,299723847,329591759,341308913,345988725,354097719,369770927,382749265,410264863,435048745,449545421,436271441,448931100,469252907,484600001,488591296,509357588,530303097,545301738,566237088,591910410,624819804,657894366,705095171,714990176
 "34000","New Jersey",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8809058,8876959,8933292,8984801,9033845,9076577,9119862,9174898,9218858,9258804,9271689,9267961,9261699
 "34000","New Jersey",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",34580,35854,39095,40189,40454,41167,42825,44238,47366,50133,51606,49828,50962,52862,54247,54380,56383,58425,59793,61716,64206,67484,70957,76079,77199
 "34000","New Jersey",2,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",201798426,213357244,234153627,242111326,249745024,257189167,268252234,277258204,290105609,300456537,305474324,300798411,306832261,313036717,323407833,333216505,343914556,356643697,363904475,376496539,392158162,408762905,410231771,436501326,460796732
 "34000","New Jersey",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",22685478,23765518,25554912,26592891,27220995,27670370,28996056,30462423,31856300,33670418,34558808,33745113,34238941,31429119,32105606,37403460,38482415,39789491,40434617,42191025,43440258,45013734,45141449,49067172,53664883
 "34000","New Jersey",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",11448130,12065743,12938158,13490987,13970307,14353051,15067765,15955797,16950980,17739283,18193663,17775253,17927521,14533034,14658994,19425419,20159162,20906655,21488426,22695174,23604812,24632507,24677477,26739611,29160205
 "34000","New Jersey",2,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",11237348,11699775,12616754,13101904,13250688,13317319,13928291,14506626,14905320,15931135,16365145,15969860,16311420,16896085,17446612,17978041,18323253,18882836,18946191,19495851,19835446,20381227,20463972,22327561,24504678
 "34000","New Jersey",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",19596251,21496265,24547035,25181393,22830802,23084554,26154089,28605494,33892179,40310546,39569106,31131331,35060114,39121114,39765214,40789147,43677386,45673022,47414857,50577635,55140525,61755978,65316413,68871865,77217163
 "34000","New Jersey",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",198709199,211087991,233145750,240699828,245354831,252603351,265410267,275401275,292141488,307096665,310484622,298184629,307653434,320728712,331067441,336602192,349109527,362527228,370884715,384883149,403858429,425505149,430406735,456306019,484349012
 "34000","New Jersey",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",56156144,55596581,61184388,61411330,58231737,58616179,60906036,61588376,68435940,75897253,80332974,72822423,70559415,77070430,83209535,80999179,86272902,91344875,95135009,100807928,104305159,111903516,108509815,118070974,123643614
 "34000","New Jersey",2,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",31714878,33039275,35261621,39197755,42402157,42878189,43454624,45759614,49687435,52054827,58727825,65264389,70718251,71453765,70323025,70989925,73975159,76430994,79282014,80546011,83746822,87411139,118977816,130718178,106997550
 "34000","New Jersey",2,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",150785679,159052400,174304126,177042075,179854366,184597115,192501789,199920190,210434921,219860802,224223889,214772202,217106568,221459158,228018027,233956364,240545121,251004722,257010669,265813312,275554887,285430294,287631783,310701091,336486562
 "34000","New Jersey",2,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",31287921,32412167,35128320,37151266,39925567,41988469,44603740,47621768,47521544,49050660,49618707,50640618,50764734,51421842,53031617,55182194,57039177,57558670,57105141,57928719,61301525,64926971,64356421,67527453,69577757
 "34000","New Jersey",2,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",20050573,20712392,22511566,24049362,26674879,28671150,30675449,33115142,32616224,33119525,33253562,34670758,34453314,34525757,35585005,37204153,38715924,38675834,38158950,38432868,41466079,44545744,43892449,45199892,45073079
 "34000","New Jersey",2,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",11237348,11699775,12616754,13101904,13250688,13317319,13928291,14506626,14905320,15931135,16365145,15969860,16311420,16896085,17446612,17978041,18323253,18882836,18946191,19495851,19835446,20381227,20463972,22327561,24504678
 "34000","New Jersey",2,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",19724826,21892677,24721181,27917985,29965091,30603583,31146705,29716246,32149144,31545075,31631728,35385591,38960959,40155717,42358189,44077947,46330258,48080305,49788665,52754508,55301750,58405640,58243567,58272782,54732413
 "34000","New Jersey",2,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",88170,65867,127646,62303,29953,71786,94752,142955,158334,125456,91362,109696,99022,149894,156709,155598,91165,213412,138438,138176,78721,317054,257855,254995,167466
 "34000","New Jersey",2,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",19636656,21826810,24593535,27855682,29935138,30531797,31051953,29573291,31990810,31419619,31540366,35275895,38861937,40005823,42201480,43922349,46239093,47866893,49650227,52616332,55223029,58088586,57985712,58017787,54564947
 "34000","New Jersey",2,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",264045,230461,322224,269060,288687,306607,329556,337453,382786,397189,350739,358358,336877,358483,433033,437544,390804,464311,423205,427024,335571,529662,480823,470820,490376
 "34000","New Jersey",2,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",201534381,213126783,233831403,241842266,249456337,256882560,267922678,276920751,289722823,300059348,305123585,300440053,306495384,312678234,322974800,332778961,343523752,356179386,363481270,376069515,391822591,408233243,409750948,436030506,460306356
 "34000","New Jersey",2,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",171536675,181788044,200861393,206331168,211672296,216680988,225195356,232292831,243917898,252152419,255388720,248998476,254829373,262500518,273302397,280687840,290389061,302715183,310130773,321871272,335780963,350467916,351049117,376774166,399475089
 "34000","New Jersey",2,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",115341,120422,148979,137783,137187,134798,133197,119916,130347,97841,77415,86902,149483,151982,179301,168219,186566,229773,279944,299125,312980,306534,336867,314139,324773
 "34000","New Jersey",2,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),4080,3944,3976,2986,3036,2656,3906,5716,8074,12270,15392,20236,21865,21106,31324,41463,55210,64333,54355,45518,22718,20455
 "34000","New Jersey",2,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",54198,58107,72177,62022,58675,57514,54003,54831,52654,32953,28795,33258,53393,61144,66984,66310,58545,77207,84748,89251,81493,80945,100338,85493,87415
 "34000","New Jersey",2,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",55557,56750,70515,71681,74568,73308,76208,62049,75037,60982,42904,45570,83820,75446,92081,80044,106915,121242,153733,154664,167154,171234,191011,205928,216903
 "34000","New Jersey",2,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",247319,240089,243488,230453,209902,214723,191005,182592,174815,150683,322174,287735,686832,2627905,3209519,1218217,655572,49720,458106,721768,1176482,1909627,1210451,1090797,1069123
 "34000","New Jersey",2,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",15180,14053,22711,(D),39123,33203,20818,12079,7141,(D),(D),169219,586358,2536151,3056173,984104,343006,-283457,91400,160436,(D),(D),(D),462971,485926
 "34000","New Jersey",2,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",227787,222057,216846,187463,164370,176071,164027,162104,159810,139163,135023,102117,90122,71722,133062,213393,287663,293129,328663,491157,603446,557224,655690,610875,563578
 "34000","New Jersey",2,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),6409,5449,6160,8409,7864,(D),(D),16399,10352,20032,20284,20720,24903,40048,38043,70175,(D),(D),(D),16951,19619
 "34000","New Jersey",2,SAINC5N,300,"22","   Utilities ","Thousands of dollars",1350743,1393202,1604910,1704610,1721153,1818138,2337337,2093110,2121446,2067977,2503764,2396381,2123614,2138245,2051719,2487812,3139296,3495154,2750824,2740553,3243613,3018574,3904056,3561227,3564652
