GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",169365441,179870334,192317794,197445687,201073137,209167846,224342927,232783787,253199891,274770444,289381122,277889805,285436747,302460806,324882731,330952568,355276626,376360823,397270635,423017231,451609165,484334162,522713789,574266835,586520188
 "53000","Washington",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743597,6830460,6904030,6974173,7068026,7180454,7315935,7446807,7548537,7638689,7724031,7740745,7785786
 "53000","Washington",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29355,30786,32538,32986,33222,34267,36309,37202,39744,42524,44098,41679,42327,44281,47057,47454,50265,52415,54302,56805,59827,63405,67674,74188,75332
 "53000","Washington",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",128638260,139694124,148773616,151171177,154039284,159146056,167535702,176977926,190023285,202974159,207957318,199248966,204545368,214437561,228960750,239837489,252297236,266493949,280695222,300620454,324710826,345166959,359586450,394134795,420116387
 "53000","Washington",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16245428,17001737,18407022,18148607,18483528,19253578,20481121,21791759,23178067,24441601,25040874,24811271,25461558,23936138,24695508,28921229,30389717,32083359,33515914,36103457,38229697,39722271,41652395,44622372,49098627
 "53000","Washington",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",7368796,7847343,8400551,8318550,8551540,8799174,9261550,9916933,10816230,11593598,12064657,11878891,11981171,9813580,10237600,13820756,14529901,15399813,16299597,17670702,18959300,20157859,20968834,22492916,24780064
 "53000","Washington",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",8876632,9154394,10006471,9830057,9931988,10454404,11219571,11874826,12361837,12848003,12976217,12932380,13480387,14122558,14457908,15100473,15859816,16683546,17216317,18432755,19270397,19564412,20683561,22129456,24318563
 "53000","Washington",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1891989,1958446,2281047,2375974,2431286,2566356,2765347,3032615,3441948,3665278,3681878,3394292,3240847,3524772,3608898,3580267,3533058,3825231,4108413,4261585,4603091,4749664,5196431,5531019,6188557
 "53000","Washington",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",114284821,124650833,132647641,135398544,137987042,142458834,149819928,158218782,170287166,182197836,186598322,177831987,182324657,194026195,207874140,214496527,225440577,238235821,251287721,268778582,291084220,310194352,323130486,355043442,377206317
 "53000","Washington",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",35286877,34233762,37255253,36930190,36374419,38741164,46116414,44467981,50609938,57578629,62491784,54613247,52933367,58486853,66962766,65492932,74134732,81360172,86003882,92498552,95952066,105449315,106820365,116207367,122407089
 "53000","Washington",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",19793743,20985739,22414900,25116953,26711676,27967848,28406585,30097024,32302787,34993979,40291016,45444571,50178723,49947758,50045825,50963109,55701317,56764830,59979032,61740097,64572879,68690495,92762938,103016026,86906782
 "53000","Washington",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",93722306,103080733,109279037,109689454,110402709,113055761,118019089,124544925,134854756,145288825,150203015,146266908,147840747,154768432,164073906,170535291,181584284,191714808,203646473,218430347,237183103,253892354,264863851,291843317,313713767
 "53000","Washington",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",21018811,21964491,23628616,24576837,25282089,26999900,29404046,31273651,32046695,34752225,36970419,36249491,38236393,38204304,39503386,41514081,42846884,43977073,46119111,49139924,53163572,55458428,57472747,60825863,64228427
 "53000","Washington",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",12142179,12810097,13622145,14746780,15350101,16545496,18184475,19398825,19684858,21904222,23994202,23317111,24756006,24081746,25045478,26413608,26987068,27293527,28902794,30707169,33893175,35894016,36789186,38696407,39909864
 "53000","Washington",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",8876632,9154394,10006471,9830057,9931988,10454404,11219571,11874826,12361837,12848003,12976217,12932380,13480387,14122558,14457908,15100473,15859816,16683546,17216317,18432755,19270397,19564412,20683561,22129456,24318563
 "53000","Washington",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",13897143,14648900,15865963,16904886,18354486,19090395,20112567,21159350,23121834,22933109,20783884,16732567,18468228,21464825,25383458,27788117,27866068,30802068,30929638,33050183,34364151,35816177,37249852,41465615,42174193
 "53000","Washington",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",710072,344030,562523,399419,556895,1053668,1011508,556828,558389,1008260,609995,674065,1065786,1876062,1521656,1655258,1241822,2603466,1642656,1706411,931116,1489668,1383122,1220105,1073562
 "53000","Washington",8,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",13187071,14304870,15303440,16505467,17797591,18036727,19101059,20602522,22563445,21924849,20173889,16058502,17402442,19588763,23861802,26132859,26624246,28198602,29286982,31343772,33433035,34326509,35866730,40245510,41100631
 "53000","Washington",8,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",1730258,1497941,1737231,1572561,1651339,2201333,2133367,1870607,1800047,2277792,2192906,2237074,2516520,3248097,3351452,3506234,3094896,4452658,3675546,3645344,2713079,3377200,3811684,3469744,3878995
 "53000","Washington",8,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",126908002,138196183,147036385,149598616,152387945,156944723,165402335,175107319,188223238,200696367,205764412,197011892,202028848,211189464,225609298,236331255,249202340,262041291,277019676,296975110,321997747,341789759,355774766,390665051,416237392
 "53000","Washington",8,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",104180829,114265723,121591038,122477541,123385372,126175249,132886077,140715844,152148800,162243052,164373919,153804770,157713493,166815318,180317081,189929619,201419935,212883629,225077070,242618536,265078145,282388533,293622539,326002389,349247462
 "53000","Washington",8,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",890175,962129,973469,944441,980974,1039700,1449849,1492168,1657740,1601906,1663740,1635708,1993110,1793760,2127643,2119449,2074724,1960810,2000848,2022845,2386298,2381712,2762233,2461357,2438354
 "53000","Washington",8,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",337615,373832,355171,340115,356799,346702,378100,357293,343117,341748,343546,340452,657527,603260,713808,689879,618969,660817,609730,511649,510484,503721,588174,459769,403825
 "53000","Washington",8,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",160774,194609,177936,166838,171803,208166,495528,554629,630425,600291,656046,554301,554461,391827,461489,461495,409341,224618,290922,322809,590180,622896,708086,578758,583124
 "53000","Washington",8,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",391786,393688,440362,437488,452372,484832,576221,580246,684198,659867,664148,740955,781122,798673,952346,968075,1046414,1075375,1100196,1188387,1285634,1255095,1465973,1422830,1451405
 "53000","Washington",8,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",216246,203193,211925,229597,206177,236747,266811,291022,287431,251277,292728,298061,474517,806948,802343,691232,603322,465218,407150,487612,576252,392266,231253,210706,233130
 "53000","Washington",8,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",18254,16456,24537,(D),(D),(D),67140,75221,43940,19185,30638,9807,(D),(D),(D),29891,21067,6135,-333,(D),(D),(D),(D),(D),(D)
 "53000","Washington",8,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",182564,170159,166313,189425,164061,169542,186713,204292,226326,212268,230244,271546,427972,731881,737394,628186,555442,439229,394542,438393,449668,280594,177789,177293,208648
 "53000","Washington",8,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",15428,16578,21075,(D),(D),(D),12958,11509,17165,19824,31846,16708,(D),(D),(D),33155,26813,19854,12941,(D),(D),(D),(D),(D),(D)
 "53000","Washington",8,SAINC5N,300,"22","   Utilities ","Thousands of dollars",460259,477893,510749,626038,576849,653657,771790,686256,775846,606730,668609,538850,540464,594216,568845,598765,609387,631160,606360,628368,735915,827025,952885,902099,993648
