GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",37916180,41107364,43633173,46409614,49205901,51843579,55532056,58933211,61466588,64690368,67811014,69098445,72886774,75911317,77014841,78292617,81733030,84950634,88293920,91572819,96386034,98965102,100956576,105653965,111160106
 "11000","District of Columbia",2,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",30716053,33322139,35400343,37606349,39512530,41348015,44272112,46639255,49271090,52012624,54373430,55103357,57867925,59785905,61160673,62192439,64686740,67678508,70085789,72987864,76569049,78678687,80153113,84054808,88768618
 "11000","District of Columbia",2,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",7200127,7785225,8232830,8803265,9693371,10495564,11259944,12293956,12195498,12677744,13437584,13995088,15018849,16125412,15854168,16100178,17046290,17272126,18208131,18584955,19816985,20286415,20803463,21599157,22391488
 "11000","District of Columbia",2,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5241461,5658577,5990709,6224778,6969722,7666994,8229638,9110916,8837193,9147856,9638478,10055748,10865573,11797127,11396439,11538317,12273961,12298179,13107400,13319783,14313628,14663495,15062926,15707964,16164231
 "11000","District of Columbia",2,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1958666,2126648,2242121,2578487,2723649,2828570,3030306,3183040,3358305,3529888,3799106,3939340,4153276,4328285,4457729,4561861,4772329,4973947,5100731,5265172,5503357,5622920,5740537,5891193,6227257
 "11000","District of Columbia",2,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",58133,61822,63769,67360,69944,74115,78791,83197,86173,90061,93937,96011,99657,102194,102792,103203,106521,109479,111822,115282,120211,122809,133944,140550,142764
 "11000","District of Columbia",2,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",37916180,41107364,43633173,46409614,49205901,51843579,55532056,58933211,61466588,64690368,67811014,69098445,72886774,75911317,77014841,78292617,81733030,84950634,88293920,91572819,96386034,98965102,100956576,105653965,111160106
 "11000","District of Columbia",2,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",20911210,23183078,25554176,27179850,28076599,29320760,31468264,33154328,35191878,37689466,39245942,38525851,39797771,42055853,43451774,44765040,47304447,49731106,51404145,53754427,56792744,59157880,59477330,62770721,67493427
 "11000","District of Columbia",2,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",(T),(T),(T),(D),(D),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,(D),(D)
 "11000","District of Columbia",2,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,(D),(D)
 "11000","District of Columbia",2,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",9325,11471,(T),(D),(D),8252,4587,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",7210,9079,(T),8957,8422,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",(T),(T),(T),1465,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",0,(T),(T),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,300,"22","   Utilities ","Thousands of dollars",123787,164429,191819,(D),(D),250380,262346,276820,294958,298879,315112,319742,229790,252981,233014,259649,269463,287625,308339,313069,361803,340319,(D),376659,379243
 "11000","District of Columbia",2,SAINC6N,400,"23","   Construction ","Thousands of dollars",477731,515027,598385,630723,709942,767034,762489,(D),818252,851888,896487,815674,814750,950037,1063826,1084014,1156309,1155098,1210133,(D),1364167,1339863,1414509,1476974,1554527
 "11000","District of Columbia",2,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",181641,201013,232615,233657,272304,295711,291518,305965,312864,316964,315092,289249,316334,337097,368454,365944,368117,384035,372832,391190,411346,422975,431380,455693,494380
 "11000","District of Columbia",2,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",119647,130588,145456,147049,166200,169999,152391,(D),168476,157847,158968,158405,179183,202380,216239,216215,245136,222734,247850,(D),261314,264678,274363,273632,273654
 "11000","District of Columbia",2,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",176443,183426,220314,250017,271438,301324,318580,327428,336912,377077,422427,368020,319233,410560,479133,501855,543056,548329,589451,680922,691507,652210,708766,747649,786493
 "11000","District of Columbia",2,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",228378,250330,258241,269738,(D),212491,226620,198854,171199,160342,155888,142095,134712,136318,126316,132986,120140,127994,138036,(D),150882,145316,(D),(D),(D)
 "11000","District of Columbia",2,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",83557,96250,101159,121342,(D),99329,109494,85271,70599,55062,55993,50453,45629,43208,42308,44239,41725,49911,63884,(D),73639,67857,(D),(D),(D)
 "11000","District of Columbia",2,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",(T),(T),(T),5885,5916,6544,7048,7822,(D),6367,6356,5375,4283,4998,5613,6030,7454,8968,9959,9551,8329,8341,8387,7988,7864
 "11000","District of Columbia",2,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",(T),(T),(T),3572,2400,2657,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1409,(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",(T),(T),(T),1773,7114,7054,7409,5671,6641,(D),(D),(D),8605,7027,7809,6178,4212,5418,4733,4529,6639,7438,7704,7023,7543
 "11000","District of Columbia",2,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",(T),(T),(T),7044,6026,4242,3652,2937,2776,2404,1107,1108,432,536,(D),(D),(D),(D),(D),(D),(D),(D),5096,(D),6047
 "11000","District of Columbia",2,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",23958,31138,30977,(D),58082,50987,55308,44043,24807,18271,20251,18262,17931,13119,10926,10141,9333,(D),(D),19615,22265,18712,20917,29415,28548
 "11000","District of Columbia",2,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",10022,11358,13663,(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAINC6N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,7265,(D),(D)
 "11000","District of Columbia",2,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",(T),(T),(T),8044,7545,7894,8206,8624,8652,9240,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAINC6N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",14955,13563,13934,10072,9530,9570,10049,4858,4790,3986,(D),(D),(D),(D),4175,(D),(D),(D),11670,5800,12797,14402,5267,6080,8202
 "11000","District of Columbia",2,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",144821,154080,157082,148396,(D),113162,117126,113583,100600,105280,99895,91642,89083,93110,84008,88747,78415,78083,74152,(D),77243,77459,70834,84688,(D)
 "11000","District of Columbia",2,SAINC6N,531,"311","     Food manufacturing ","Thousands of dollars",15950,17169,19322,18340,18509,19067,19169,18174,10979,11369,9651,8094,7212,2523,3114,2794,4983,5393,8748,11468,12503,12752,8678,8241,8983
 "11000","District of Columbia",2,SAINC6N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",(T),11597,10331,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
