GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "13000","Georgia",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",145047996,156309897,168912242,174497339,177217906,183572104,193548587,204393129,216196606,226830719,228847721,221324409,223541961,231854132,240125838,248974452,262345456,276590544,288151268,301491313,315554448,329920466,334623956,366414938,400082466
 "13000","Georgia",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",121166254,130922882,141824901,145820293,146636066,150830629,158370136,167394615,177139861,186679631,188024383,178947092,181000754,187605059,195340698,200732838,212148432,224266620,235030059,246806915,257941965,270741525,274942083,302267389,332586204
 "13000","Georgia",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",23881742,25387015,27087341,28677046,30581840,32741475,35178451,36998514,39056745,40151088,40823338,42377317,42541207,44249073,44785140,48241614,50197024,52323924,53121209,54684398,57612483,59178941,59681873,64147549,67496262
 "13000","Georgia",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15873415,16784275,17879800,19082590,20825145,22694919,23937837,25411759,26916187,27788726,27955050,29881700,29799887,31004074,31038300,33995210,35332626,36726543,37039975,38054736,40186638,40884354,41077586,43794910,45267544
 "13000","Georgia",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",8008327,8602740,9207541,9594456,9756695,10046556,11240614,11586755,12140558,12362362,12868288,12495617,12741320,13244999,13746840,14246404,14864398,15597381,16081234,16629662,17425845,18294587,18604287,20352639,22228718
 "13000","Georgia",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",36915,38661,40870,42332,43483,45276,47043,48585,50305,52105,53057,54313,55495,57017,58238,59280,60735,62308,63273,64891,66785,68451,72667,76790,80200
 "13000","Georgia",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",300499,264275,279336,354386,331608,298248,347620,399333,330710,431432,465808,353485,347610,310493,486429,369513,443349,425144,430287,473550,377710,377686,417492,501958,445721
 "13000","Georgia",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",144747497,156045622,168632906,174142953,176886298,183273856,193200967,203993796,215865896,226399287,228381913,220970924,223194351,231543639,239639409,248604939,261902107,276165400,287720981,301017763,315176738,329542780,334206464,365912980,399636745
 "13000","Georgia",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",118903895,128975340,139921825,143133819,143244271,147002235,155245446,163977472,173829194,182557734,182167037,173667924,174131768,182239401,190606293,199772630,211823159,224146987,235237931,246758162,259443358,272644180,275721412,304645951,336366306
 "13000","Georgia",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",412065,414638,434054,448073,416357,419663,483104,487686,556469,545932,535492,553430,567244,579092,610200,629724,672726,712137,739101,716108,743019,753638,841458,842023,876130
 "13000","Georgia",5,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",232119,222294,223232,240421,222727,220883,258206,264577,298674,298429,275215,266406,270287,271893,273847,283762,299195,309365,310478,287164,291014,291508,325423,320035,330897
 "13000","Georgia",5,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",14887,19803,27621,24468,11411,12011,15368,14995,16627,17120,16623,18077,17453,18498,19543,19613,21714,21928,21021,21574,22267,21857,27513,26489,26781
 "13000","Georgia",5,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",165059,172541,183201,183184,182219,186769,209530,208114,241168,230383,243654,268947,279504,288701,316810,326349,351817,380844,407602,407370,429738,440273,488522,495499,518452
 "13000","Georgia",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",424547,427951,436682,432176,419314,439387,453947,454808,481494,499078,402324,337831,342044,339191,345141,363413,371368,385823,425435,447840,464664,468428,462868,491689,544181
 "13000","Georgia",5,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,970
 "13000","Georgia",5,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",419800,423244,430284,419426,405697,421896,431390,(D),450021,468201,373253,314060,321424,310982,313089,328266,333530,347611,387025,400239,415970,421852,415263,442597,492204
 "13000","Georgia",5,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),38212,38410,47601,48694,46576,47605,49092,51007
 "13000","Georgia",5,SAINC6N,300,"22","   Utilities ","Thousands of dollars",1234963,1331005,1430635,1784974,1889119,1888143,1895375,1949054,2110069,2139461,2217540,2311083,2115797,2372667,2244816,2365433,2394292,2550280,2784844,2651179,2721282,2931362,3207093,3212011,3292632
 "13000","Georgia",5,SAINC6N,400,"23","   Construction ","Thousands of dollars",7233390,8354238,9036851,9060448,8778576,9098173,9681566,10405372,11294663,11912091,11344861,9464335,8593171,8424497,8443950,8964277,10023136,10976595,12163698,13088174,14624191,16030628,16325142,17420321,19147448
 "13000","Georgia",5,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",1795943,2108208,2253830,2318583,2387153,2480797,2698596,2925702,3142687,3179171,2977257,2384640,2126725,2095114,2153863,2320360,2622747,2946005,3154472,3435799,3734749,4108244,4290271,4656632,5247864
 "13000","Georgia",5,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1159503,1371495,1492574,1464574,1432811,1506771,1568754,1646389,1794838,1921311,1746238,1536160,1380376,1311698,1265213,1283419,1406277,1512904,1879320,2149008,2715148,3055287,3187409,3147686,3309145
 "13000","Georgia",5,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",4277944,4874535,5290447,5277291,4958612,5110605,5414216,5833281,6357138,6811609,6621366,5543535,5086070,5017685,5024874,5360498,5994112,6517686,7129906,7503367,8174294,8867097,8847462,9616003,10590439
 "13000","Georgia",5,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",21799081,22411239,23356674,23427981,22726675,22686129,23827889,24277669,25262448,25195554,24535875,22174293,22336264,23363615,24073704,24972202,26165312,27229990,28238177,29465822,30978692,31698969,30986212,33186277,36362397
 "13000","Georgia",5,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",10147888,10576326,11025964,11448610,10937835,10810557,11501392,11993401,12737517,12466635,12102324,10804287,10776509,11583223,11968420,12637973,13305573,13989518,14418380,15069602,16138789,16436625,15742146,17194234,18936388
 "13000","Georgia",5,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",1019573,1086497,1075758,1015966,991081,912467,1007811,1108967,1110604,1040604,897849,712708,677360,(D),733143,791678,882044,941777,962717,1116554,1264246,1371442,1418532,1568556,1735450
 "13000","Georgia",5,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",756857,806232,852857,900072,897471,949526,1014164,1085154,1183813,1197104,1092455,869020,883534,881531,882570,902955,951709,1070019,1088641,1083136,1165133,1164205,1144372,1274887,1351950
 "13000","Georgia",5,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",675762,710347,679363,643828,443418,406927,439862,398605,390758,395360,381601,331183,358715,409230,453585,457993,470570,473290,504371,532218,588606,624691,582070,660328,733110
 "13000","Georgia",5,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",1078657,1130042,1165817,1157259,1102616,1110850,1171325,1276372,1374259,1447870,1428558,1226826,1169890,1245605,1368091,1472022,1566964,1671352,1774115,1888929,2110896,2141296,2155761,2340602,2539675
 "13000","Georgia",5,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",1120561,1150768,1176811,1183249,1126480,1144786,1197478,1275784,1334721,1363334,1391321,1277260,1243014,1308786,1353435,1433689,1513311,1563652,1522677,1603972,1726276,1784358,1785343,1974551,2237753
 "13000","Georgia",5,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",1182877,1334397,1418359,1440747,1207750,1041258,1012961,1108546,1251992,1198011,1116540,1068153,1106087,1230985,1125699,1192939,1121201,1134360,1075248,1097971,1208394,1238183,1096690,1179126,1332134
 "13000","Georgia",5,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",881214,967419,1035387,1096488,1135780,1068137,1165354,1186357,1212177,1161100,1140248,1089919,971148,1036682,1101688,1221779,1264520,1313811,1371914,1480497,1420985,1423287,1362358,1457187,1562936
 "13000","Georgia",5,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",1309356,1193959,1291642,1210456,1246499,1255322,1291391,1299619,1452828,(D),970142,733817,846750,(D),(D),(D),1468035,1525907,1693529,1762853,1850657,1984553,1756062,1949063,2267761
 "13000","Georgia",5,SAINC6N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",958857,983845,1035713,1517482,1500851,1606996,1858202,1835312,1959651,(D),2209648,2195265,2260927,2462103,(D),(D),2686467,2820981,2830551,2856384,3103687,2959847,2749701,2883981,3096885
 "13000","Georgia",5,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",495591,502416,544487,504733,507748,512246,526703,556498,606858,613989,574453,451921,434681,440931,449188,464029,478599,521664,559471,578522,617307,612366,604391,690406,737195
 "13000","Georgia",5,SAINC6N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",668583,710404,749770,778330,778141,802042,816141,862187,859856,912843,899509,848215,824403,857842,871717,864294,902153,952705,1035146,1068566,1082602,1132397,1086866,1215547,1341539
 "13000","Georgia",5,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",11651193,11834913,12330710,11979371,11788840,11875572,12326497,12284268,12524931,12728919,12433551,11370006,11559755,11780392,12105284,12334229,12859739,13240472,13819797,14396220,14839903,15262344,15244066,15992043,17426009
