GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "93000","Great Lakes",3,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",856687288,903970655,955429443,973675841,987812113,1013211463,1056247611,1091362559,1133382697,1171773214,1184944969,1123489462,1141059304,1188809086,1235067218,1265878873,1312928369,1369602637,1400680324,1454025361,1515149202,1559398475,1556602962,1664304267,1780729149
 "93000","Great Lakes",3,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",703086091,742124523,782688148,791356051,798467780,815016890,847213417,872206177,906401933,939455028,949761221,894031940,908796270,948849479,989405886,1011661927,1054370066,1103581385,1131521699,1175245091,1221783905,1261215457,1263619476,1360224066,1466083140
 "93000","Great Lakes",3,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",153601197,161846132,172741295,182319790,189344333,198194573,209034194,219156382,226980764,232318186,235183748,229457522,232263034,239959607,245661332,254216946,258558303,266021252,269158625,278780270,293365297,298183018,292983486,304080201,314646009
 "93000","Great Lakes",3,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",101286828,107131892,116105264,125039794,131750167,138441358,145612673,153194095,159022712,163009931,164966865,162519524,164274840,168034034,170500758,178547142,181311054,186336891,187888073,194470271,207156590,209374060,204067232,210195917,212907815
 "93000","Great Lakes",3,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",52314369,54714240,56636031,57279996,57594166,59753215,63421521,65962287,67958052,69308255,70216883,66937998,67988194,71925573,75160574,75669804,77247249,79684361,81270552,84309999,86208707,88808958,88916254,93884284,101738194
 "93000","Great Lakes",3,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",38709,40200,41919,43335,44645,46203,48082,49544,51280,52993,54248,54405,55536,57087,58374,59159,60486,62145,62813,64694,66797,68398,73068,76153,78810
 "93000","Great Lakes",3,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",2228134,2111888,2268321,2322335,2315324,2378754,2690917,2435131,2353761,3202333,3009683,2964709,2604030,2885255,3412067,3303816,3545015,3457093,3890684,3573868,3660457,3553886,3287821,3409074,3909633
 "93000","Great Lakes",3,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",854459154,901858767,953161122,971353506,985496789,1010832709,1053556694,1088927428,1131028936,1168570881,1181935286,1120524753,1138455274,1185923831,1231655151,1262575057,1309383354,1366145544,1396789640,1450451493,1511488745,1555844589,1553315141,1660895193,1776819516
 "93000","Great Lakes",3,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",727174035,767266652,810649431,819236527,825143082,843199663,878358741,907930232,945479057,977075018,983944201,917129610,927776801,976633132,1022223985,1049693796,1093656412,1146234003,1174946555,1224614909,1279314336,1318774580,1311189887,1412372952,1522048135
 "93000","Great Lakes",3,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",546692,548442,576594,588195,579955,595848,698420,675404,740749,764800,787698,856220,841830,877030,973006,987661,1172355,1230567,1296563,1345335,1410584,1468177,(D),1632832,(D)
 "93000","Great Lakes",3,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",127945,127332,132244,(D),136594,135318,162665,152408,157255,151902,142780,135025,136374,(D),(D),(D),154019,(D),(D),(D),186711,187778,207216,203747,224983
 "93000","Great Lakes",3,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",14161,15172,16212,(D),13949,11752,13626,12320,13666,14028,13416,15446,16256,(D),(D),(D),14827,(D),(D),(D),15264,16336,(D),21063,(D)
 "93000","Great Lakes",3,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",404586,405938,428138,438919,429412,448778,522129,510676,569828,598870,631502,705749,689200,723228,810253,831928,1003509,1045909,1107556,1156523,1208609,1264063,1400073,1408022,1464239
 "93000","Great Lakes",3,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2195387,2208750,2165760,2336346,2152605,2184297,2321223,2410661,2644407,2688058,2767005,2614076,2766212,2941460,3257926,3179013,3598994,3410315,2921047,3072980,3322806,3279394,(D),2714716,(D)
 "93000","Great Lakes",3,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",216497,242673,230818,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),275470,(D),256656,(D)
 "93000","Great Lakes",3,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",1781978,1782908,1734498,1822778,1660989,1675485,1741146,1801664,1911097,1904683,1907375,1790133,1918936,1996382,2121571,2142067,2279380,2218660,1993732,2032419,2190703,2134512,1865848,1875637,2072461
