GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "20000","Kansas",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",45443766,48004153,50823617,52791415,53689579,54831416,57777349,60104122,63779441,68128825,71286106,68620487,69947696,72445101,74796148,77425217,80319347,83019569,83341319,85229887,88732762,91972477,93388268,97762990,104308425
 "20000","Kansas",4,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",37317819,39438463,41766878,43269734,43873122,44486732,46700041,48535928,52081240,55440003,57621123,55603539,56087596,58102793,60614446,61870201,64456323,66740058,67254705,68826657,71564158,74388896,75915084,79757579,85611172
 "20000","Kansas",4,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",8125947,8565690,9056739,9521681,9816457,10344684,11077308,11568194,11698201,12688822,13664983,13016948,13860100,14342308,14181702,15555016,15863024,16279511,16086614,16403230,17168604,17583581,17473184,18005411,18697253
 "20000","Kansas",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5183166,5498944,5833306,6188970,6408520,6832944,7358241,7706229,7643237,8535897,9310429,8787430,9429260,9766854,9427648,10677546,10851493,10989123,11010201,11194663,11764545,11987208,11729957,12016115,12278085
 "20000","Kansas",4,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2942781,3066746,3223433,3332711,3407937,3511740,3719067,3861965,4054964,4152925,4354554,4229518,4430840,4575454,4754054,4877470,5011531,5290388,5076413,5208567,5404059,5596373,5743227,5989296,6419168
 "20000","Kansas",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",32648,34054,35745,36924,38053,39375,41153,42657,44513,46492,48369,48226,49680,51124,52194,53476,54589,56023,56277,57452,59253,60848,64652,66549,69429
 "20000","Kansas",4,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",342647,317692,345098,384122,347793,368108,416280,353714,367364,508195,500766,410323,387937,470746,531977,438016,556743,513645,581592,547293,518507,597987,554275,611530,540267
 "20000","Kansas",4,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",45101119,47686461,50478519,52407293,53341786,54463308,57361069,59750408,63412077,67620630,70785340,68210164,69559759,71974355,74264171,76987201,79762604,82505924,82759727,84682594,88214255,91374490,92833993,97151460,103768158
 "20000","Kansas",4,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",36554229,38649444,40943488,42388951,42775772,43410150,45602612,47571566,50386900,53608108,55878262,52902364,53840856,55845264,58060005,60387529,62730148,65376124,65519029,67423381,70480008,73169581,74483494,78166562,84264897
 "20000","Kansas",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",69696,71746,76098,72773,75259,77906,88106,89262,94508,95229,100980,112552,120372,125361,138990,147429,158636,172397,182565,180714,195322,207465,227045,222881,227177
 "20000","Kansas",4,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),(D),(D),345,(D),(D),(D),(D),(D),(D),(D),(D),194,251,116,(D),(D),179,236,343,231,236
 "20000","Kansas",4,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),799,(D),(D),(D),(D),(D),(D),(D),(D),1013,1223,1232,(D),(D),969,981,1127,1103,1237
 "20000","Kansas",4,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",65747,66822,70106,72019,74265,76997,86962,88380,93542,94005,99850,111442,119298,124240,137897,146222,157162,171049,181376,179768,194174,206248,225575,221547,225704
