GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "28000","Mississippi",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",35044968,36631942,38024920,38704753,40039459,41475772,43831357,45805028,48138590,50339265,52170108,50723126,51222988,52025533,53978030,54926763,56581151,57708060,58953081,60351989,62114398,63995736,65135785,69449819,73905031
 "28000","Mississippi",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",28758597,30031335,31070047,31462968,32375944,33403022,34958175,36503693,38668433,40495683,42023798,40661984,41143518,41911461,43384528,44176558,45378101,46367238,47443522,48606793,49862804,51405961,52450465,55851539,59848971
 "28000","Mississippi",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",6286371,6600607,6954873,7241785,7663515,8072750,8873182,9301335,9470157,9843582,10146310,10061142,10079470,10114072,10593502,10750205,11203050,11340822,11509559,11745196,12251594,12589775,12685320,13598280,14056060
 "28000","Mississippi",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",4105189,4334186,4619607,4882721,5205952,5545010,6182374,6561261,6566005,6853248,7059606,7017794,7002766,6822912,7179774,7375297,7766746,7819717,7957339,8109803,8590971,8748243,8708664,9455183,9622810
 "28000","Mississippi",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2181182,2266421,2335266,2359064,2457563,2527740,2690808,2740074,2904152,2990334,3086704,3043348,3076704,3291160,3413728,3374908,3436304,3521105,3552220,3635393,3660623,3841532,3976656,4143097,4433250
 "28000","Mississippi",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",28859,29687,30854,32053,33254,34715,36420,38092,39541,40935,42556,43199,43908,44601,45953,46585,47383,48014,48681,49579,50988,52347,55487,57799,60272
 "28000","Mississippi",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",190568,196304,194950,211388,208547,155671,206007,183213,193944,227152,211166,208336,208921,180935,271469,205955,298977,238132,192575,198147,194725,146936,152147,188247,179469
 "28000","Mississippi",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",34854400,36435638,37829970,38493365,39830912,41320101,43625350,45621815,47944646,50112113,51958942,50514790,51014067,51844598,53706561,54720808,56282174,57469928,58760506,60153842,61919673,63848800,64983638,69261572,73725562
 "28000","Mississippi",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",26791775,27880617,28783187,29099592,29857728,30520096,32229576,33720133,35674270,37200589,38341577,36531701,36862134,37684832,39500127,40253620,41565843,42504204,43381596,44542078,46129394,47455946,48280904,52075252,56178161
 "28000","Mississippi",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",255857,261344,266619,269852,266440,267618,304806,297749,317266,308206,292424,276770,287103,290938,309332,310672,334771,350762,364979,363706,402132,411743,435297,448530,460502
