GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",22036093,23460175,25977462,27024400,27499575,28631088,30472513,31904464,33624063,34936465,35790251,35046401,35636138,36884341,37597875,38678316,40630866,42304009,43712905,45370744,47251262,49167173,50698666,57796980,60056941
 "33000","New Hampshire",1,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",18348810,19560012,21673479,22310997,22563552,23375076,24859374,25963070,27442895,28502621,29108690,28022573,28465853,29459035,30471559,31224674,33034483,34486250,35726662,37119586,38577507,40275038,41745561,48107773,49956414
 "33000","New Hampshire",1,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",3687283,3900163,4303983,4713403,4936023,5256012,5613139,5941394,6181168,6433844,6681561,7023828,7170285,7425306,7126316,7453642,7596383,7817759,7986243,8251158,8673755,8892135,8953105,9689207,10100527
 "33000","New Hampshire",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2415953,2556071,2822405,3177560,3392564,3636748,3858626,4130930,4301390,4493265,4678701,5004529,5062062,5211475,4850195,5186684,5288201,5457914,5562108,5697422,6044463,6170833,6136655,6571339,6753481
 "33000","New Hampshire",1,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1271330,1344092,1481578,1535843,1543459,1619264,1754513,1810464,1879778,1940579,2002860,2019299,2108223,2213831,2276121,2266958,2308182,2359845,2424135,2553736,2629292,2721302,2816450,3117868,3347046
 "33000","New Hampshire",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",36479,37810,40751,42182,43246,44925,47333,49168,51276,53028,54478,55360,56573,58201,58707,59772,61981,63478,64642,66472,68568,70637,77492,85386,85752
 "33000","New Hampshire",1,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",35690,32063,36206,36851,44228,39521,38350,30913,33985,39971,38306,36662,34999,29943,52685,53989,57186,47193,53274,42765,38495,31574,33646,32205,48247
 "33000","New Hampshire",1,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",22000403,23428112,25941256,26987549,27455347,28591567,30434163,31873551,33590078,34896494,35751945,35009739,35601139,36854398,37545190,38624327,40573680,42256816,43659631,45327979,47212767,49135599,50665020,57764775,60008694
 "33000","New Hampshire",1,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",19015354,20257759,22583488,23310711,23508557,24238570,25848945,27085279,28570332,29610571,30214595,29293837,29689803,31046207,31769792,32656649,34359830,35997819,37286940,38870459,40496337,42281543,43632187,50640320,52742571
 "33000","New Hampshire",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",28985,32507,35719,34062,32411,32446,36877,35844,37386,38717,35437,35775,35216,35746,42416,40296,47250,49096,44798,45464,44686,46004,48820,50938,48388
 "33000","New Hampshire",1,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",17217,18368,21836,19540,17945,17724,21701,22238,23094,22675,21604,21934,22433,22165,23047,22628,26288,26947,26399,25006,26244,27569,29792,27459,28449
 "33000","New Hampshire",1,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),598,465,562,373,347,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",11230,13552,13285,14057,13904,14349,14829,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",9669,10975,10441,25442,26294,25930,30429,33509,35906,41776,38144,32949,33807,33652,35478,35579,36079,38004,40522,43609,45398,45066,51848,51324,57263
 "33000","New Hampshire",1,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,(D),0,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",7283,8517,8192,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26240,28754,28600,30191,31942,34098,36285,37306,36521,41517,(D),44790
 "33000","New Hampshire",1,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6724,6979,5888,6062,6424,7324,8092,8545,10331,(D),12473
 "33000","New Hampshire",1,SAINC6N,300,"22","   Utilities ","Thousands of dollars",212101,206001,211757,241909,251899,244365,275866,258249,263056,268504,305034,309119,310599,340237,308722,323949,322241,305768,308329,312568,319886,307764,351882,343084,355428
 "33000","New Hampshire",1,SAINC6N,400,"23","   Construction ","Thousands of dollars",1007039,1095355,1203627,1398911,1489814,1495238,1572758,1628714,1672161,1615786,1591731,1382220,1324313,1384341,1418163,1480349,1559195,1710837,1824652,1978680,2042835,2198912,2323482,2507993,2744631
 "33000","New Hampshire",1,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",263486,289343,325384,395135,445069,422618,444760,459755,462604,438766,415004,333884,316685,323739,320898,334042,347876,390807,429767,458931,452942,489169,526308,567233,616390
 "33000","New Hampshire",1,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",167757,158255,150663,182019,186640,199448,194658,203222,207370,204433,210474,187523,200080,204601,233018,241193,259751,282246,272895,320311,336825,335858,360334,367970,405905
 "33000","New Hampshire",1,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",575796,647757,727580,821757,858105,873172,933340,965737,1002187,972587,966253,860813,807548,856001,864247,905114,951568,1037784,1121990,1199438,1253068,1373885,1436840,1572790,1722336
 "33000","New Hampshire",1,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",4826433,4891792,5471738,5323959,4838307,4797489,5027882,5165422,5362782,5581268,5554519,5048322,5115815,5316264,5228238,5303069,5434030,5590952,5761148,6047036,6308805,6446037,6421748,6744718,7168077
 "33000","New Hampshire",1,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",3758281,3806264,4317617,4184114,3758612,3724860,3972566,4118228,4295092,4504459,4471051,4075743,4130862,4295882,4171146,4201474,4279476,4378489,4504163,4726604,4955729,5074010,5067450,5322852,5621515
 "33000","New Hampshire",1,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",128240,141382,166548,133238,134745,127729,130489,139980,136220,123992,113325,89164,83075,80560,78446,87418,96120,98874,104727,107923,102757,108591,107342,116855,125947
 "33000","New Hampshire",1,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",102422,108479,123833,128452,130212,135668,147075,157033,158315,159263,146089,120775,123157,129760,128053,118738,117522,128000,140269,151382,150174,154440,153190,158142,166048
 "33000","New Hampshire",1,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",169701,173964,168879,149247,139921,150493,157535,176369,176813,179255,187811,168357,165232,178879,177342,160231,157408,165197,170163,170708,185984,185327,176073,172405,187413
 "33000","New Hampshire",1,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",574255,597642,668674,618970,553514,546739,579699,612849,628852,659718,695058,659172,674109,715105,758883,795330,806582,792050,818289,844284,871986,870849,897974,937058,1003647
 "33000","New Hampshire",1,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",440743,453296,525607,495615,459500,443425,465973,500179,592321,634116,657426,606454,665008,642155,624968,648417,657272,596930,593961,630047,664012,676468,654039,727638,765662
 "33000","New Hampshire",1,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",1563804,1550552,1797380,1813744,1550580,1529790,1661065,1672791,1731462,1809998,1785096,1618832,1618740,1672053,1569468,1548326,1564711,1644136,1690403,1790265,1935191,1983880,2060607,2038774,2235116
