GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "54000","West Virginia",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",22583472,23351237,24530064,25385227,25946367,26688184,28030964,29266271,31150107,32058474,33782768,33709676,34279318,35993132,37321894,37469142,37819279,38333256,37376722,39123748,42018955,42406618,41243535,43498178,45974206
 "54000","West Virginia",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",17901595,18473498,19249275,19983879,20409183,20808680,21888411,22826358,24137046,25174072,26726670,26702303,27249483,28585162,29435511,29479076,30106511,30264757,29719860,30905465,33296479,33414244,32569904,34567753,36939585
 "54000","West Virginia",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",4681877,4877739,5280789,5401348,5537184,5879504,6142553,6439913,7013061,6884402,7056098,7007373,7029835,7407970,7886383,7990066,7712768,8068499,7656862,8218283,8722476,8992374,8673631,8930425,9034621
 "54000","West Virginia",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2506028,2656449,2797921,3040830,3259643,3492101,3728007,3951306,4604491,4716085,4978184,4884908,4861014,5144389,5551110,5665995,5326532,5654444,5235219,5733961,6115727,6400371,6084227,6231690,6232989
 "54000","West Virginia",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2175849,2221290,2482868,2360518,2277541,2387403,2414546,2488607,2408570,2168317,2077914,2122465,2168821,2263581,2335273,2324071,2386236,2414055,2421643,2484322,2606749,2592003,2589404,2698735,2801632
 "54000","West Virginia",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31263,32240,33643,34932,35739,37041,38452,39805,41827,42796,44889,45948,46709,48514,49692,50403,51080,52200,51796,54331,57461,58497,60841,62688,64773
 "54000","West Virginia",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",30372,33290,33235,37733,41486,43400,41455,33373,35087,38985,35084,33470,31594,27077,42773,43633,46031,38512,43894,39255,35574,29257,30946,29405,42447
 "54000","West Virginia",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",22553100,23317947,24496829,25347494,25904881,26644784,27989509,29232898,31115020,32019489,33747684,33676206,34247724,35966055,37279121,37425509,37773248,38294744,37332828,39084493,41983381,42377361,41212589,43468773,45931759
 "54000","West Virginia",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",17579412,18012624,18880621,19567263,19877163,20234498,21332136,22278585,24004437,24671920,25972577,25527104,25934530,27561190,28664324,28766193,29008072,29390131,28399456,30041277,32666312,32530041,30865976,32849487,35140644
 "54000","West Virginia",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",49557,47925,50441,47486,48980,45877,51386,50391,57317,57075,52265,48041,46413,45903,52995,50561,55462,60133,60326,60561,60065,64377,60975,64467,67353
 "54000","West Virginia",5,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",40195,37972,39421,36580,37697,34183,38011,36728,(D),(D),34812,30097,30370,29212,34931,32483,36914,39503,38980,37904,35218,36838,33606,36134,36863
