GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",1324753,1430542,1809554,2115645,1768246,1748162,1792008,2016829,2341724,2417234,2283087,2402106,2543960,2497645,2576360,2679623,2734978,2819065,2698813,2637566,2413366,2277214,1928417
 "02000","Alaska",8,SAINC70,2,"..."," Output ","Thousands of dollars",27818,32973,38748,42059,40244,33353,33778,45420,49906,38290,35091,38544,39209,41801,38192,34173,26306,16942,16768,37158,60302,66138,73284
 "02000","Alaska",8,SAINC70,3,"..."," Contributions ","Thousands of dollars",817600,873141,1075740,1243935,1069724,1063776,1109527,1232084,1396218,1439002,1390438,1444437,1512715,1518276,1570300,1630702,1665607,1713098,1630187,1542199,1372841,1286905,1083257
 "02000","Alaska",8,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",338265,348713,380674,414284,411446,412743,460824,492759,500618,499060,532880,525312,520679,580708,602432,615954,622542,624073,578329,483990,392618,362734,311381
 "02000","Alaska",8,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",129542,127115,147494,202352,195839,225851,270415,318499,341307,328982,337717,424918,510979,570488,1622777,1568662,470935,515334,528100,555532,628527,638177,693820
 "02000","Alaska",8,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",128235,141340,127255,77270,102928,77650,90425,78338,34888,31514,52689,-28899,-115603,-108294,-1135642,-1066663,37833,-4190,-53195,-145665,-279886,-307516,-402720
 "02000","Alaska",8,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",108306,113231,144673,176721,152923,142595,133762,141342,174329,176854,177565,167837,164512,160315,153489,148128,140080,129871,120192,111281,104279,98211,93565
 "02000","Alaska",8,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",27818,32973,38748,42059,40244,33353,33778,45420,49906,38290,35091,38544,39209,41801,38192,34173,26306,16942,16768,37158,60302,66138,73284
 "02000","Alaska",8,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",479335,524428,695066,829651,658278,651033,648703,739325,895600,939942,857558,919125,992036,937568,967868,1014748,1043065,1089025,1051858,1058209,980223,924171,771876
 "02000","Alaska",8,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",479335,524428,695066,829651,658278,651033,648703,739325,895600,939942,857558,919125,992036,937568,967868,1014748,1043065,1089025,1051858,1058209,980223,924171,771876
