GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",60517282,65399649,76869636,89549988,89608682,92161835,95293156,94317820,91744579,111291048,113195482,110663052,117747474,125193888,123244840,126206397,138124530,152689433,156474953,168720952,174474496,176316159,156328230
 "06000","California",8,SAINC70,2,"..."," Output ","Thousands of dollars",1145596,1400259,1443020,1549103,2051755,2541245,3195886,3413571,2411534,1695481,1700831,1853910,2042423,2353934,2488687,2378429,2608598,3122440,3341323,3479420,4027457,4612578,5133976
 "06000","California",8,SAINC70,3,"..."," Contributions ","Thousands of dollars",39789193,43477097,50545121,57558602,58742535,60287582,62179775,62812440,63061575,73264457,75016099,72863579,76163840,82978838,82431917,84876765,92208689,99802116,101557542,108389596,111724227,113221641,99864831
 "06000","California",8,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",20206700,22954804,25663626,27116319,29928143,30954574,32262280,34720631,36790105,36933347,38537547,36918016,36622629,43117722,44107681,45925562,48901446,50037239,49981454,51537660,53001415,54739701,48535408
 "06000","California",8,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",4805969,5030600,6290131,9973230,11043426,12830967,13932401,15319518,15625231,15364663,16739062,18440194,18790937,20188540,23007355,25603206,27768213,35892728,38639473,40340059,42884445,45021417,51232074
 "06000","California",8,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",11981046,14407858,15566440,12923135,14501677,13836325,14510448,15239259,15498686,15266752,15592489,12151404,11082097,16207739,14167905,12285212,12306167,5251068,2334874,1926663,1284386,1103366,-11325420
 "06000","California",8,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",4565281,4916605,5250075,5769057,6434795,6828527,7015317,7575425,8077722,7997413,7906827,8180328,8792018,9075377,9421108,10415573,11435664,12015883,12348430,12750358,12860041,13227496,13762730
 "06000","California",8,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",1145596,1400259,1443020,1549103,2051755,2541245,3195886,3413571,2411534,1695481,1700831,1853910,2042423,2353934,2488687,2378429,2608598,3122440,3341323,3479420,4027457,4612578,5133976
 "06000","California",8,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",19582493,20522293,24881495,30442283,28814392,29333008,29917495,28091809,26271470,36331110,36478552,35945563,39541211,39861116,38324236,38951203,43307243,49764877,51576088,56851936,58722812,58481940,51329423
 "06000","California",8,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",19582493,20522293,24881495,30442283,28814392,29333008,29917495,28091809,26271470,36331110,36478552,35945563,39541211,39861116,38324236,38951203,43307243,49764877,51576088,56851936,58722812,58481940,51329423
