GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",508818,522910,613978,746012,813662,888980,917339,922349,927544,1032125,1128944,1052198,984682,945391,1071699,1070705,1076274,1161343,1118487,1193717,1226188,1303965,1042111
 "11000","District of Columbia",2,SAINC70,2,"..."," Output ","Thousands of dollars",9735,12000,13777,15571,18252,20064,22580,28882,24859,20455,22620,23349,21613,20652,24797,28882,32212,35258,29161,28437,33102,43897,50707
 "11000","District of Columbia",2,SAINC70,3,"..."," Contributions ","Thousands of dollars",388142,401299,454221,525368,571738,615408,633917,643390,663561,720907,765211,729206,682090,684725,752198,766011,783211,830676,804476,841303,872787,925631,744501
 "11000","District of Columbia",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",277201,291688,308241,320295,348066,361900,373075,393313,424437,430144,424098,429563,401111,444711,457494,490199,522360,535267,519626,517326,552488,591194,497598
 "11000","District of Columbia",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",105588,98799,107304,123605,129204,156163,171690,193052,195740,171866,179259,182522,173161,163860,193191,211325,236398,270214,240105,210705,216671,247259,263708
 "11000","District of Columbia",2,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",140750,163132,169746,165485,190272,178335,174314,176153,196730,222651,207402,210870,190115,241888,225264,234225,238817,220793,225409,247977,280364,297076,190509
 "11000","District of Columbia",2,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",40598,41757,44968,46776,46842,47466,49651,52990,56826,56082,60057,59520,59448,59615,63836,73531,79357,79518,83273,87081,88555,90756,94088
 "11000","District of Columbia",2,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",9735,12000,13777,15571,18252,20064,22580,28882,24859,20455,22620,23349,21613,20652,24797,28882,32212,35258,29161,28437,33102,43897,50707
 "11000","District of Columbia",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",110941,109611,145980,205073,223672,253508,260842,250077,239124,290763,341113,299643,280979,240014,294704,275812,260851,295409,284850,323977,320299,334437,246903
 "11000","District of Columbia",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",110941,109611,145980,205073,223672,253508,260842,250077,239124,290763,341113,299643,280979,240014,294704,275812,260851,295409,284850,323977,320299,334437,246903
 "11000","District of Columbia",2,SAINC70,11,"...","  Interest ","Thousands of dollars",80389,80832,125215,185430,197057,221260,219595,192093,187637,253284,302152,256318,233616,209514,266928,254640,243204,275659,265026,303720,294998,304246,214455
 "11000","District of Columbia",2,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",98453,81198,90568,109387,128937,144188,128322,103511,111782,98151,158891,113581,57798,59430,135666,92939,49632,65883,74823,71905,86321,72328,77357
 "11000","District of Columbia",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",-18064,-366,34647,76043,68120,77072,91273,88582,75855,155133,143261,142737,175818,150084,131262,161701,193572,209776,190203,231815,208677,231918,137098
