GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "93000","Great Lakes",3,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",57154412,58259204,64522495,78140467,78454332,80007721,84848627,85700717,85593561,100035436,101479005,103650481,110292162,109990296,108221306,110036286,114279425,121006506,117150635,120786808,119717661,118223349,102828931
 "93000","Great Lakes",3,SAINC70,2,"..."," Output ","Thousands of dollars",818819,1160022,1303882,1308272,1392060,1449125,1801316,2040928,1686742,1442634,1592304,1696043,1796557,1895727,1978890,2140173,2416346,2778851,3087963,3426306,3700269,4013982,4205535
 "93000","Great Lakes",3,SAINC70,3,"..."," Contributions ","Thousands of dollars",37327310,38451692,42145540,49368636,50319684,51209259,53774915,54451377,54968812,62723086,64490789,65453144,68302591,69492754,68298045,68941834,70532037,73468487,71318177,72865489,72111026,71552848,62157587
 "93000","Great Lakes",3,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",18319027,19804202,21072467,21905077,23577096,23859922,24502519,25242965,26030805,26853370,29094877,28951850,28109577,30890939,30353674,29987555,29200995,28709319,28573682,28370476,28204660,28896329,25691778
 "93000","Great Lakes",3,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",8083127,8100687,8676105,11162976,9501774,9304181,9945418,10648475,12095351,13389699,13765408,14678366,16042246,18116961,19675399,21418714,23118808,25720143,26834780,27124550,28895231,32304654,34894812
 "93000","Great Lakes",3,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",5979181,7606178,7949483,5961425,9505918,10107888,10184676,10246667,9062240,8159008,10106402,9112166,7024496,7672357,5342912,3086716,463506,-2430912,-3356827,-3567606,-5333098,-7986544,-13949201
 "93000","Great Lakes",3,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",5075538,5257359,5750761,6088948,5961464,5896978,6173741,6388751,6559956,6747297,6815371,6857361,6839392,6997348,7314253,7622298,8035027,8198939,8183692,8239838,8342796,8592201,8951702
 "93000","Great Lakes",3,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",818819,1160022,1303882,1308272,1392060,1449125,1801316,2040928,1686742,1442634,1592304,1696043,1796557,1895727,1978890,2140173,2416346,2778851,3087963,3426306,3700269,4013982,4205535
 "93000","Great Lakes",3,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",19008283,18647490,21073073,27463559,26742588,27349337,29272396,29208412,28938007,35869716,35395912,36501294,40193014,38601815,37944371,38954279,41331042,44759168,42744495,44495013,43906366,42656519,36465809
 "93000","Great Lakes",3,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",19008283,18647490,21073073,27463559,26742588,27349337,29272396,29208412,28938007,35869716,35395912,36501294,40193014,38601815,37944371,38954279,41331042,44759168,42744495,44495013,43906366,42656519,36465809
 "93000","Great Lakes",3,SAINC70,11,"...","  Interest ","Thousands of dollars",15654109,15722573,19029310,25430938,24022955,24094392,25586246,25041103,24897578,32392450,31905780,32513788,35704746,33639861,32756356,34173664,36012287,37778500,36455240,38350039,37212081,36440333,31021081
 "93000","Great Lakes",3,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",9210855,7250606,7273501,8093343,8083799,8173741,8813070,8767965,7371863,5739431,5477142,5450888,5723266,6173846,6792014,6967750,6634982,7768189,8096303,7495952,7897001,8110705,8207124
 "93000","Great Lakes",3,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",6443254,8471967,11755809,17337595,15939156,15920651,16773176,16273138,17525715,26653019,26428638,27062900,29981480,27466015,25964342,27205914,29377305,30010311,28358937,30854087,29315080,28329628,22813957
