GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",1404235,1450242,1554971,1887495,1877024,1926254,2040186,2286534,2627275,3149573,3196454,3195482,3392569,3378277,3490116,3831902,4011621,4369402,4288227,4494724,4680499,4725284,4311439
 "15000","Hawaii",8,SAINC70,2,"..."," Output ","Thousands of dollars",30719,33973,37494,40027,41576,48139,60091,54469,40873,34616,41649,44615,41578,40559,44106,46553,45647,56575,58334,50819,57921,66082,68434
 "15000","Hawaii",8,SAINC70,3,"..."," Contributions ","Thousands of dollars",852107,882250,945302,1119660,1129041,1155188,1241841,1422219,1639251,1966219,2026058,1987597,2087034,2154059,2228348,2429596,2540199,2715691,2692554,2816763,2905330,2927674,2628901
 "15000","Hawaii",8,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",330698,348231,373127,391852,422634,432261,503587,612373,692100,817481,897311,824327,823077,970400,1010686,1073843,1114424,1118555,1155215,1189621,1188082,1196146,1014797
 "15000","Hawaii",8,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",41374,100300,179225,243260,272465,359510,424356,449416,474685,504577,515255,513121,528593,578509,651494,712162,728270,813615,851568,852134,963665,1088658,1238184
 "15000","Hawaii",8,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",262915,225635,173564,130996,135527,65107,40224,65633,92906,82853,125591,149972,153337,235226,183392,168364,177009,98659,93191,111956,170,-118368,-460491
 "15000","Hawaii",8,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",57128,56269,57832,57623,56218,55783,99098,151793,165382,264667,298114,205849,182725,197224,219906,239870,254792,262856,268790,276350,282168,291938,305538
 "15000","Hawaii",8,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",30719,33973,37494,40027,41576,48139,60091,54469,40873,34616,41649,44615,41578,40559,44106,46553,45647,56575,58334,50819,57921,66082,68434
 "15000","Hawaii",8,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",521409,534019,572175,727808,706407,722927,738254,809846,947151,1148738,1128747,1163270,1263957,1183659,1217662,1355753,1425775,1597136,1537339,1627142,1717248,1731528,1614104
 "15000","Hawaii",8,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",521409,534019,572175,727808,706407,722927,738254,809846,947151,1148738,1128747,1163270,1263957,1183659,1217662,1355753,1425775,1597136,1537339,1627142,1717248,1731528,1614104
 "15000","Hawaii",8,SAINC70,11,"...","  Interest ","Thousands of dollars",406487,445105,522452,670196,637968,658867,662369,719740,850229,1048379,1020901,1045689,1141457,1052555,1083768,1223819,1300866,1466709,1404618,1496362,1558383,1545716,1418362
 "15000","Hawaii",8,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",230247,180708,173835,170481,158961,171322,189995,255756,295271,224619,201820,222480,236800,207992,244504,327427,316517,409140,349488,327541,409910,388002,373502
 "15000","Hawaii",8,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",176240,264397,348617,499715,479007,487545,472374,463984,554958,823760,819081,823209,904657,844563,839264,896392,984349,1057569,1055130,1168821,1148473,1157714,1044860
 "15000","Hawaii",8,SAINC70,14,"...","  Dividends ","Thousands of dollars",114922,88914,49723,57612,68439,64060,75885,90106,96922,100359,107846,117581,122500,131104,133894,131934,124909,130427,132721,130780,158865,185812,195742
 "15000","Hawaii",8,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",1404235,1450242,1554971,1887495,1877024,1926254,2040186,2286534,2627275,3149573,3196454,3195482,3392569,3378277,3490116,3831902,4011621,4369402,4288227,4494724,4680499,4725284,4311439
 "15000","Hawaii",8,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",30719,33973,37494,40027,41576,48139,60091,54469,40873,34616,41649,44615,41578,40559,44106,46553,45647,56575,58334,50819,57921,66082,68434
 "15000","Hawaii",8,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",521409,534019,572175,727808,706407,722927,738254,809846,947151,1148738,1128747,1163270,1263957,1183659,1217662,1355753,1425775,1597136,1537339,1627142,1717248,1731528,1614104
