GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "19000","Iowa",4,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",1735657,1867130,2375396,2949377,2843110,2871530,3075544,3160258,3216167,4028047,4022367,3902083,4228926,4562991,4773415,5057699,5308246,5659228,5609988,5798611,5584842,5436241,4588762
 "19000","Iowa",4,SAINC70,2,"..."," Output ","Thousands of dollars",47799,62116,60041,55231,66622,72878,91365,91738,62688,48925,52858,64965,69343,73395,85907,88684,89386,97055,97555,87217,92329,110962,123180
 "19000","Iowa",4,SAINC70,3,"..."," Contributions ","Thousands of dollars",1213840,1286650,1552577,1856178,1841239,1865549,1976840,2059833,2161552,2624705,2682187,2600940,2766833,3069344,3230053,3427968,3581961,3726656,3668906,3785654,3686911,3631624,3094757
 "19000","Iowa",4,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",739822,768286,789799,818210,905990,932446,969501,1051146,1169625,1270288,1394865,1364762,1374083,1649092,1772598,1886921,1945062,1891139,1825379,1859914,1881309,1937969,1723932
 "19000","Iowa",4,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",307424,317013,318549,378025,356381,383861,411219,435069,461011,487519,509987,574419,643957,697992,756302,802037,808526,856826,863856,846369,883226,945727,1015196
 "19000","Iowa",4,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",279895,306959,320404,272791,383552,390079,412270,450846,486798,515795,601239,492499,380739,564187,611283,656212,688693,589184,503442,525399,505537,498449,199376
 "19000","Iowa",4,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",200302,206430,210887,222625,232679,231384,237377,256969,284504,315899,336497,362809,418730,460308,490920,517356,537229,542184,555636,575363,584875,604755,632540
 "19000","Iowa",4,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",47799,62116,60041,55231,66622,72878,91365,91738,62688,48925,52858,64965,69343,73395,85907,88684,89386,97055,97555,87217,92329,110962,123180
 "19000","Iowa",4,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",474018,518364,762778,1037968,935249,933103,1007339,1008687,991927,1354417,1287322,1236178,1392750,1420252,1457455,1541047,1636899,1835517,1843527,1925740,1805602,1693655,1370825
 "19000","Iowa",4,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",474018,518364,762778,1037968,935249,933103,1007339,1008687,991927,1354417,1287322,1236178,1392750,1420252,1457455,1541047,1636899,1835517,1843527,1925740,1805602,1693655,1370825
 "19000","Iowa",4,SAINC70,11,"...","  Interest ","Thousands of dollars",364931,418538,668334,940478,847255,854305,919743,915882,904612,1280309,1201838,1130795,1276486,1295073,1333130,1420911,1506083,1676709,1680898,1784475,1666923,1534185,1205661
 "19000","Iowa",4,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",489010,384778,408312,474467,454396,435080,496437,565917,540574,411547,345894,332110,339018,379857,459147,505598,513964,653814,721961,676706,664394,629176,641259
 "19000","Iowa",4,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",-124079,33760,260022,466011,392859,419225,423306,349965,364038,868762,855944,798685,937468,915216,873983,915313,992119,1022895,958937,1107769,1002529,905009,564402
 "19000","Iowa",4,SAINC70,14,"...","  Dividends ","Thousands of dollars",109087,99826,94444,97490,87994,78798,87596,92805,87315,74108,85484,105383,116264,125179,124325,120136,130816,158808,162629,141265,138679,159470,165164
 "19000","Iowa",4,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",1735657,1867130,2375396,2949377,2843110,2871530,3075544,3160258,3216167,4028047,4022367,3902083,4228926,4562991,4773415,5057699,5308246,5659228,5609988,5798611,5584842,5436241,4588762
