GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "92000","Mideast",2,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",71967862,72689483,81172089,96975231,97257518,97469292,103016220,104311561,103351061,122537249,122892729,119429764,124643705,127230450,127301056,129747626,134518520,143118837,142599719,147411554,146657091,144082695,127489301
 "92000","Mideast",2,SAINC70,2,"..."," Output ","Thousands of dollars",1038230,1361220,1487110,1476850,1590239,1624537,2071400,2563654,2199762,1914380,2171688,2290399,2383896,2411890,2576342,2727845,3058435,3487156,3715655,3891935,4514346,5283176,5894187
 "92000","Mideast",2,SAINC70,3,"..."," Contributions ","Thousands of dollars",46836163,47627068,52436585,60707224,62046876,62595356,65779424,66939911,67397481,77812968,79265639,76855738,78901358,82943308,82689056,83597550,85339016,89163129,89481771,92463787,92423276,90479597,78932645
 "92000","Mideast",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",22742694,23925873,25188191,25916067,28426473,29345957,30614028,32131915,33643663,35003067,37810237,36572111,35542907,41068056,40653398,40175319,39217947,38694577,40079478,41407955,42703807,42159675,36270176
 "92000","Mideast",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",4319647,4202341,4614990,7119661,8926237,10791457,13347166,16144349,16928403,17104764,18930525,21692398,24320072,26426728,28628039,30529286,31636330,35192653,36023112,35511944,37820552,41021857,45429448
 "92000","Mideast",2,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",15858423,17467801,18390031,16498501,17095079,15946114,14911177,13839025,13852023,14450950,15538826,11423847,7613449,10983673,8446760,5947441,3845374,57488,748028,2584912,2098223,-1148386,-11210434
 "92000","Mideast",2,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",3602854,3616951,3670280,3774755,3995396,4232923,4427085,4712195,5062999,5361733,5512574,5746265,5993282,6069545,6154941,6426437,6794678,6931592,7023993,7203034,7299378,7569380,7945349
 "92000","Mideast",2,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",1038230,1361220,1487110,1476850,1590239,1624537,2071400,2563654,2199762,1914380,2171688,2290399,2383896,2411890,2576342,2727845,3058435,3487156,3715655,3891935,4514346,5283176,5894187
 "92000","Mideast",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",24093469,23701195,27248394,34791157,33620403,33249399,35165396,34807996,33753818,42809901,41455402,40283627,43358451,41875252,42035658,43422231,46121069,50468552,49402293,51055832,49719469,48319922,42662469
 "92000","Mideast",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",24093469,23701195,27248394,34791157,33620403,33249399,35165396,34807996,33753818,42809901,41455402,40283627,43358451,41875252,42035658,43422231,46121069,50468552,49402293,51055832,49719469,48319922,42662469
 "92000","Mideast",2,SAINC70,11,"...","  Interest ","Thousands of dollars",19691315,19703570,23612588,31137069,29201056,28229624,29170708,28498063,28201714,37955689,36573399,34950568,37254402,35345570,35117370,36468214,38704192,41665779,40201328,42222559,39916472,37350940,31349586
 "92000","Mideast",2,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",13717223,10955650,11064347,12389116,11969210,11305218,11613347,12470108,11483500,9238300,9150567,8833635,8672732,8691115,9579579,10357197,9980420,12207663,12731619,11288577,11666164,12709069,12926172
