GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "35000","New Mexico",6,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",2578346,2556672,2845166,3493023,3649702,3758196,4005816,4163288,4062572,4837068,4986116,4781675,5168615,5261840,5252250,5390226,5404897,5555589,5432056,5568232,5396042,5373717,4769445
 "35000","New Mexico",6,SAINC70,2,"..."," Output ","Thousands of dollars",34785,33192,37920,41373,52698,58679,72277,78282,55988,52499,67409,60591,51372,54436,55687,92888,146312,158227,169279,205381,272388,333401,382572
 "35000","New Mexico",6,SAINC70,3,"..."," Contributions ","Thousands of dollars",1699841,1722171,1899368,2251317,2387456,2484191,2650215,2771393,2773982,3192234,3313828,3176425,3360006,3508986,3469968,3513112,3494635,3506863,3387191,3454441,3335590,3324836,2937156
 "35000","New Mexico",6,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",856121,920862,991490,1050984,1177908,1268865,1366891,1457780,1541380,1599899,1708949,1631766,1602769,1810568,1743373,1728886,1730685,1616364,1511605,1546031,1547526,1609356,1487439
 "35000","New Mexico",6,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",328410,336936,354219,424346,400052,437666,483110,535082,587133,610416,600281,550368,535244,603627,669826,747913,797793,831351,826274,874419,987129,1076305,1186413
 "35000","New Mexico",6,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",280132,320265,373782,356554,508098,555034,599107,619551,601607,589507,693059,636645,613622,769088,592863,505558,502027,369288,284008,286129,224159,241513,34491
 "35000","New Mexico",6,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",282364,296853,301409,311457,322456,334844,356951,381429,408628,452475,483018,505344,505275,492289,536371,568303,577177,573952,570602,590864,608626,624939,649107
 "35000","New Mexico",6,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",34785,33192,37920,41373,52698,58679,72277,78282,55988,52499,67409,60591,51372,54436,55687,92888,146312,158227,169279,205381,272388,333401,382572
 "35000","New Mexico",6,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",843720,801309,907878,1200333,1209548,1215326,1283324,1313613,1232602,1592335,1604879,1544659,1757237,1698418,1726595,1784226,1763950,1890499,1875586,1908410,1788064,1715480,1449717
 "35000","New Mexico",6,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",843720,801309,907878,1200333,1209548,1215326,1283324,1313613,1232602,1592335,1604879,1544659,1757237,1698418,1726595,1784226,1763950,1890499,1875586,1908410,1788064,1715480,1449717
 "35000","New Mexico",6,SAINC70,11,"...","  Interest ","Thousands of dollars",739876,690085,796774,1076224,1041706,1009351,1063433,1089821,1022605,1409408,1420076,1332860,1502406,1407480,1451772,1539363,1530570,1639939,1630068,1701914,1601585,1542365,1304970
 "35000","New Mexico",6,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",476792,394030,407018,467337,464222,426170,418531,434267,325252,245513,259459,220176,215976,216986,358588,367964,226003,284069,312818,260481,189029,141850,140779
 "35000","New Mexico",6,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",263084,296055,389756,608887,577484,583181,644902,655554,697353,1163895,1160617,1112684,1286430,1190494,1093184,1171399,1304567,1355870,1317250,1441433,1412556,1400515,1164191
 "35000","New Mexico",6,SAINC70,14,"...","  Dividends ","Thousands of dollars",103844,111224,111104,124109,167842,205975,219891,223792,209997,182927,184803,211799,254831,290938,274823,244863,233380,250560,245518,206496,186479,173115,144747
 "35000","New Mexico",6,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",2578346,2556672,2845166,3493023,3649702,3758196,4005816,4163288,4062572,4837068,4986116,4781675,5168615,5261840,5252250,5390226,5404897,5555589,5432056,5568232,5396042,5373717,4769445
 "35000","New Mexico",6,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",34785,33192,37920,41373,52698,58679,72277,78282,55988,52499,67409,60591,51372,54436,55687,92888,146312,158227,169279,205381,272388,333401,382572
 "35000","New Mexico",6,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",843720,801309,907878,1200333,1209548,1215326,1283324,1313613,1232602,1592335,1604879,1544659,1757237,1698418,1726595,1784226,1763950,1890499,1875586,1908410,1788064,1715480,1449717
 "35000","New Mexico",6,SAINC70,18,"...","  Interest ","Thousands of dollars",739876,690085,796774,1076224,1041706,1009351,1063433,1089821,1022605,1409408,1420076,1332860,1502406,1407480,1451772,1539363,1530570,1639939,1630068,1701914,1601585,1542365,1304970
 "35000","New Mexico",6,SAINC70,19,"...","  Dividends ","Thousands of dollars",103844,111224,111104,124109,167842,205975,219891,223792,209997,182927,184803,211799,254831,290938,274823,244863,233380,250560,245518,206496,186479,173115,144747
 "35000","New Mexico",6,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",663625,712170,767560,831798,897926,963323,1047973,1147254,1239410,1331598,1447700,1556400,1678877,1799078,1921778,2044339,2134293,2252332,2362086,2461549,2578536,2540752,2430368
 "35000","New Mexico",6,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",1036216,1010001,1131808,1419519,1489530,1520868,1602242,1624139,1534572,1860636,1866128,1620025,1681129,1709908,1548190,1468773,1360342,1254531,1025105,992892,757054,784084,506788
 "35000","New Mexico",6,SAINC70,22,"...","Cash flow ","Thousands of dollars",493000,393681,368270,454078,403948,382653,358233,349034,235612,107234,12452,-129304,-218923,-249674,-137857,-208184,-446252,-470627,-576153,-734670,-879661,-857944,-691894
 "35000","New Mexico",6,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",610774,633789,655628,735803,722508,772510,840061,916511,995761,1062891,1083299,1055712,1040519,1095916,1206197,1316216,1374970,1405303,1396876,1465283,1595755,1701244,1835520
 "35000","New Mexico",6,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",580636,505254,518122,591446,632064,632145,638422,658059,535249,428440,444262,431975,470807,507924,633411,612827,459383,534629,558336,466977,375508,314965,285526
 "35000","New Mexico",6,SAINC70,25,"..."," Less: Benefit payments and withdrawals ","Thousands of dollars",663625,712170,767560,831798,897926,963323,1047973,1147254,1239410,1331598,1447700,1556400,1678877,1799078,1921778,2044339,2134293,2252332,2362086,2461549,2578536,2540752,2430368
 "35000","New Mexico",6,SAINC70,26,"..."," Less: Administrative expenses ","Thousands of dollars",34785,33192,37920,41373,52698,58679,72277,78282,55988,52499,67409,60591,51372,54436,55687,92888,146312,158227,169279,205381,272388,333401,382572
 "35000","New Mexico",6,SAINC70,27,"...","Employers' normal cost ","Thousands of dollars",573757,624009,690081,739527,855452,934021,1009940,1076351,1132752,1147424,1225931,1126422,1097494,1318279,1207002,1160583,1153508,1042412,941003,955167,938900,984417,838332
 "35000","New Mexico",6,SAINC70,28,"...","Interest accrued on benefit entitlements ","Thousands of dollars",1139106,1231643,1333816,1430173,1478236,1594961,1720738,1854113,1980722,2114048,2131755,2203903,2288884,2064966,2086796,2203527,2313186,2390636,2462092,2516969,2581491,2642998,2994653
 "35000","New Mexico",6,SAINC70,29,"...","Benefit entitlements ","Thousands of dollars",20424910,22120317,23728718,25442179,28848612,31128831,33557959,35864104,38304862,40411081,44040775,45815332,46521247,52258180,55244464,58029406,60080704,61973400,63377569,65047753,66536038,67811889,62445082
 "35000","New Mexico",6,SAINC70,30,"...","Pension plan assets ","Thousands of dollars",15490683,15624372,13580635,16239207,18245285,19403284,21638802,23184917,17143151,19293721,21787096,20086658,21856200,24928572,25959513,25415266,26184025,29042219,27341712,29733811,31523071,34958326,30547687
 "35000","New Mexico",6,SAINC70,31,"...","Plans' claims on employers ","Thousands of dollars",4934227,6495945,10148083,9202972,10603327,11725547,11919157,12679187,21161711,21117360,22253679,25728674,24665047,27329608,29284951,32614140,33896679,32931181,36035857,35313942,35012967,32853563,31897395
 "35000","New Mexico",6,SAINC70,32,"...","Funded ratio 5/","Ratio",75.8,70.6,57.2,63.8,63.2,62.3,64.5,64.6,44.8,47.7,49.5,43.8,47.0,47.7,47.0,43.8,43.6,46.9,43.1,45.7,47.4,51.6,48.9
"Note: See the included footnote file."
"SAINC70: Transactions of state and local government defined benefit pension plans "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 2018-2021."
"U.S. Bureau of Economic Analysis"
