GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",2706404,2836264,3368741,3960821,4023465,4202010,4572651,5022013,5421648,6307414,6575029,6624961,6915815,7327632,7435354,7553040,7828918,8075464,7980534,8444798,8256694,8299882,7504670
 "32000","Nevada",8,SAINC70,2,"..."," Output ","Thousands of dollars",27124,35674,39660,39522,36889,32573,39047,43173,33946,28092,30935,32929,32736,37673,42924,43283,46534,53687,59740,64843,75254,87775,95225
 "32000","Nevada",8,SAINC70,3,"..."," Contributions ","Thousands of dollars",1841742,1944821,2255666,2590118,2705398,2860401,3117820,3434329,3737401,4240908,4458622,4454808,4576051,4956512,5023830,5101856,5266870,5327418,5224219,5493450,5415665,5520409,4919099
 "32000","Nevada",8,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",1004204,1089052,1182251,1258937,1424220,1551365,1702036,1889818,2087100,2202494,2373150,2317584,2269023,2623065,2655230,2693955,2751356,2633059,2527644,2606945,2649890,2828711,2428753
 "32000","Nevada",8,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",573234,597278,629367,788222,748392,812151,890683,984055,1070601,1129230,1144576,1157075,1171217,1216913,1297197,1397995,1484428,1625815,1627336,1643032,1747001,1777182,1984755
 "32000","Nevada",8,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",408074,474506,536370,450429,648544,680640,728518,819845,923865,977170,1147045,1096646,1032556,1339491,1287094,1212904,1176853,921441,817548,882411,832706,996443,397270
 "32000","Nevada",8,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",50020,52942,56174,59808,64173,91147,121882,129091,126580,124186,112464,96792,97986,104334,113863,126339,136609,139490,142500,146345,145437,142861,141953
 "32000","Nevada",8,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",27124,35674,39660,39522,36889,32573,39047,43173,33946,28092,30935,32929,32736,37673,42924,43283,46534,53687,59740,64843,75254,87775,95225
 "32000","Nevada",8,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",837538,855769,1073415,1331181,1281178,1309036,1415784,1544511,1650301,2038414,2085472,2137224,2307028,2333447,2368600,2407901,2515514,2694359,2696575,2886505,2765775,2691698,2490346
 "32000","Nevada",8,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",837538,855769,1073415,1331181,1281178,1309036,1415784,1544511,1650301,2038414,2085472,2137224,2307028,2333447,2368600,2407901,2515514,2694359,2696575,2886505,2765775,2691698,2490346
 "32000","Nevada",8,SAINC70,11,"...","  Interest ","Thousands of dollars",768295,775942,977257,1222002,1127066,1113459,1201574,1298679,1386109,1782552,1819574,1836833,1955415,1897289,1893587,1926425,1999329,2119617,2106090,2291684,2116514,2018553,1861761
 "32000","Nevada",8,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",436995,358898,386905,446559,432359,397426,410040,449728,405333,348635,383098,391813,386141,374145,389937,341404,288138,380544,434547,400737,340992,259281,263440
 "32000","Nevada",8,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",331300,417044,590352,775443,694707,716033,791534,848951,980776,1433917,1436476,1445020,1569274,1523144,1503650,1585021,1711191,1739073,1671543,1890947,1775522,1759272,1598321
 "32000","Nevada",8,SAINC70,14,"...","  Dividends ","Thousands of dollars",69243,79827,96158,109179,154112,195577,214210,245832,264192,255862,265898,300391,351613,436158,475013,481476,516185,574742,590485,594821,649261,673145,628585
 "32000","Nevada",8,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",2706404,2836264,3368741,3960821,4023465,4202010,4572651,5022013,5421648,6307414,6575029,6624961,6915815,7327632,7435354,7553040,7828918,8075464,7980534,8444798,8256694,8299882,7504670
 "32000","Nevada",8,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",27124,35674,39660,39522,36889,32573,39047,43173,33946,28092,30935,32929,32736,37673,42924,43283,46534,53687,59740,64843,75254,87775,95225
 "32000","Nevada",8,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",837538,855769,1073415,1331181,1281178,1309036,1415784,1544511,1650301,2038414,2085472,2137224,2307028,2333447,2368600,2407901,2515514,2694359,2696575,2886505,2765775,2691698,2490346
 "32000","Nevada",8,SAINC70,18,"...","  Interest ","Thousands of dollars",768295,775942,977257,1222002,1127066,1113459,1201574,1298679,1386109,1782552,1819574,1836833,1955415,1897289,1893587,1926425,1999329,2119617,2106090,2291684,2116514,2018553,1861761
 "32000","Nevada",8,SAINC70,19,"...","  Dividends ","Thousands of dollars",69243,79827,96158,109179,154112,195577,214210,245832,264192,255862,265898,300391,351613,436158,475013,481476,516185,574742,590485,594821,649261,673145,628585
 "32000","Nevada",8,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",457384,511025,570771,632202,704588,786305,873555,979194,1121299,1260890,1384274,1490977,1614440,1750373,1906231,2068761,2207958,2378815,2545682,2720233,2935890,2936992,2852243
 "32000","Nevada",8,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",1384358,1433796,1684895,1957916,2000810,2074096,2244265,2455135,2616102,2980018,3074348,2963831,2961611,3206139,3117599,3033095,3058912,2948603,2678537,2773217,2479775,2583417,2066856
 "32000","Nevada",8,SAINC70,22,"...","Cash flow ","Thousands of dollars",644984,542246,558173,732044,657559,677423,724213,786339,711461,568931,490827,422165,359781,343504,326855,235170,170868,288089,189446,-141,-128453,-172298,71265
 "32000","Nevada",8,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",623254,650220,685541,848030,812565,903298,1012565,1113146,1197181,1253416,1257040,1253867,1269203,1321247,1411060,1524334,1621037,1765305,1769836,1789377,1892438,1920043,2126708
