GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",11679495,12147680,15176938,19294831,19750210,19935961,21050552,20474904,18770472,22439322,23501901,22969193,22684282,23048920,22352819,22559725,24043405,24786484,24275078,24993186,24380683,24392975,21395687
 "42000","Pennsylvania",2,SAINC70,2,"..."," Output ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809428,984270,1046702,1108823
 "42000","Pennsylvania",2,SAINC70,3,"..."," Contributions ","Thousands of dollars",8236638,8573367,10308834,12547356,13072907,13185092,13691047,13400490,12674851,14659935,15549229,15223700,14868324,15609942,15113555,15084584,15751415,15968132,15712094,16083882,15655155,15393575,13385514
 "42000","Pennsylvania",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",5163954,5512163,6036753,6385423,6990675,7027362,7143916,7340413,7436995,7607050,8351658,8240973,7797549,8867982,8512616,8239688,8149172,7889319,7881199,7984006,7913897,7440877,6484164
 "42000","Pennsylvania",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",1138657,906274,791834,1153263,1376326,1615294,2077810,2388810,2295029,2261520,2342165,2908693,3510740,4050679,4548766,5387710,6655401,8142003,8489068,8461162,9537225,10337977,11311231
 "42000","Pennsylvania",2,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",3331149,3971664,4590463,4461633,4839517,4630510,4451832,4506349,4593744,4595013,5181419,4382274,3344765,3849492,2992751,1853795,400182,-1366745,-1750954,-1570714,-2544360,-3789864,-5715309
 "42000","Pennsylvania",2,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",1064321,1147334,1250479,1356069,1369903,1374697,1426648,1459591,1405987,1477019,1583175,1712772,1687227,1664829,1609424,1628428,1783336,1853600,1875174,1902986,1905302,1939466,1997065
 "42000","Pennsylvania",2,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809428,984270,1046702,1108823
 "42000","Pennsylvania",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",3072684,3061204,4272081,6161933,6082232,6157730,6547131,6060077,5237856,7052885,7197571,6982727,7070775,6741960,6600939,6844896,7602243,8078813,7830895,8099876,7741258,7952698,6901350
 "42000","Pennsylvania",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",3072684,3061204,4272081,6161933,6082232,6157730,6547131,6060077,5237856,7052885,7197571,6982727,7070775,6741960,6600939,6844896,7602243,8078813,7830895,8099876,7741258,7952698,6901350
 "42000","Pennsylvania",2,SAINC70,11,"...","  Interest ","Thousands of dollars",2113907,2275405,3619922,5521720,5328554,5251591,5423589,4960665,4445397,6286195,6541194,6495743,6549566,6104046,5962181,6237029,6858580,7194530,7002266,7366082,6997229,7126288,6074614
 "42000","Pennsylvania",2,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",2489690,1861427,1758541,1927562,1956781,1962260,2088845,2136297,1830886,1364343,1330812,1206384,882232,771497,717994,693624,765590,1080764,1271243,1212287,1251200,1642500,1716281
 "42000","Pennsylvania",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",-375783,413978,1861381,3594158,3371773,3289331,3334744,2824368,2614511,4921852,5210382,5289359,5667334,5332549,5244187,5543405,6092990,6113766,5731023,6153795,5746029,5483788,4358333
 "42000","Pennsylvania",2,SAINC70,14,"...","  Dividends ","Thousands of dollars",958777,785799,652159,640213,753678,906139,1123542,1099412,792459,766690,656377,486984,521209,637914,638758,607867,743663,884283,828629,733794,744029,826410,826736
 "42000","Pennsylvania",2,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",11679495,12147680,15176938,19294831,19750210,19935961,21050552,20474904,18770472,22439322,23501901,22969193,22684282,23048920,22352819,22559725,24043405,24786484,24275078,24993186,24380683,24392975,21395687
 "42000","Pennsylvania",2,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809428,984270,1046702,1108823
 "42000","Pennsylvania",2,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",3072684,3061204,4272081,6161933,6082232,6157730,6547131,6060077,5237856,7052885,7197571,6982727,7070775,6741960,6600939,6844896,7602243,8078813,7830895,8099876,7741258,7952698,6901350
 "42000","Pennsylvania",2,SAINC70,18,"...","  Interest ","Thousands of dollars",2113907,2275405,3619922,5521720,5328554,5251591,5423589,4960665,4445397,6286195,6541194,6495743,6549566,6104046,5962181,6237029,6858580,7194530,7002266,7366082,6997229,7126288,6074614
 "42000","Pennsylvania",2,SAINC70,19,"...","  Dividends ","Thousands of dollars",958777,785799,652159,640213,753678,906139,1123542,1099412,792459,766690,656377,486984,521209,637914,638758,607867,743663,884283,828629,733794,744029,826410,826736
 "42000","Pennsylvania",2,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",4378991,4812660,5364876,5885275,6489731,6944638,7297646,7989271,8115639,8327541,9021956,9907438,10343965,10740002,10937561,11126840,11823042,12450036,12688936,12879551,13294331,12942509,12231821
 "42000","Pennsylvania",2,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",3857647,3760707,4943958,6662081,6583176,6240454,6393401,5411219,4559212,6332394,6527273,5316262,4524359,4869940,4175994,3957744,3928373,3518096,3023158,3204331,2360824,2451066,1153693
 "42000","Pennsylvania",2,SAINC70,22,"...","Cash flow ","Thousands of dollars",902281,-624935,-1507886,-1393710,-1628114,-1679387,-1393175,-1919498,-2649043,-3184471,-3864528,-4355371,-4487740,-4312101,-4060944,-3439456,-2564799,-1228925,-956911,-1378750,-840845,757142,2510669
 "42000","Pennsylvania",2,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",2202978,2053608,2042313,2509332,2746229,2989991,3504458,3848401,3701016,3738539,3925340,4621465,5197967,5715508,6158190,7016138,8438737,9995603,10364242,10364148,11442527,12277443,13308296
 "42000","Pennsylvania",2,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",3448467,2647226,2410700,2567775,2710459,2868399,3212387,3235709,2623345,2131033,1987189,1693368,1403441,1409411,1356752,1301491,1509253,1965047,2099872,1946081,1995229,2468910,2543017
 "42000","Pennsylvania",2,SAINC70,25,"..."," Less: Benefit payments and withdrawals ","Thousands of dollars",4378991,4812660,5364876,5885275,6489731,6944638,7297646,7989271,8115639,8327541,9021956,9907438,10343965,10740002,10937561,11126840,11823042,12450036,12688936,12879551,13294331,12942509,12231821
 "42000","Pennsylvania",2,SAINC70,26,"..."," Less: Administrative expenses ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809428,984270,1046702,1108823
 "42000","Pennsylvania",2,SAINC70,27,"...","Employers' normal cost ","Thousands of dollars",4099633,4364829,4786274,5029354,5620772,5652665,5717268,5880822,6031008,6130031,6768483,6528201,6110322,7203153,6903192,6611260,6365836,6035719,6006025,6081020,6008595,5501411,4487099
 "42000","Pennsylvania",2,SAINC70,28,"...","Interest accrued on benefit entitlements ","Thousands of dollars",6137051,6616192,7452221,8055989,8091763,8462156,8885675,9160681,9399257,9662499,9557925,9795865,9940024,9023071,9203394,9339896,9613983,9907969,10132222,10279445,10433147,10704372,12260466
 "42000","Pennsylvania",2,SAINC70,29,"...","Benefit entitlements ","Thousands of dollars",109927115,123874763,134022829,139603811,153816853,161633609,166877908,171230102,176037128,181981675,196740098,200058453,203933515,231285177,234927205,242168233,249956994,255685959,259410201,263492647,270332930,278562024,252101296
 "42000","Pennsylvania",2,SAINC70,30,"...","Pension plan assets ","Thousands of dollars",103027511,92851627,74120415,85570961,94010615,101001618,115525788,123693371,86548971,87281805,90952873,86711405,93190253,100180498,96342184,89843638,97113217,112410665,105565255,119841730,133237881,155569536,143128788
 "42000","Pennsylvania",2,SAINC70,31,"...","Plans' claims on employers ","Thousands of dollars",6899604,31023136,59902414,54032850,59806238,60631991,51352120,47536731,89488157,94699870,105787225,113347048,110743262,131104679,138585021,152324595,152843777,143275294,153844946,143650917,137095049,122992488,108972508
 "42000","Pennsylvania",2,SAINC70,32,"...","Funded ratio 5/","Ratio",93.7,75.0,55.3,61.3,61.1,62.5,69.2,72.2,49.2,48.0,46.2,43.3,45.7,43.3,41.0,37.1,38.9,44.0,40.7,45.5,49.3,55.8,56.8
"Note: See the included footnote file."
"SAINC70: Transactions of state and local government defined benefit pension plans "
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 2018-2021."
"U.S. Bureau of Economic Analysis"
