GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",4058771,4064955,4408665,4994220,4650832,4660892,5023308,5043215,5108534,6261788,6334884,5913275,6015824,6337141,6362493,6562653,7049956,8022893,8436983,8539024,8177091,7860988,7076753
 "45000","South Carolina",5,SAINC70,2,"..."," Output ","Thousands of dollars",20667,31222,38954,43058,45145,46290,60675,88267,74878,56689,71771,75168,221916,371258,341839,273674,264172,323189,341320,285339,260891,307054,402730
 "45000","South Carolina",5,SAINC70,3,"..."," Contributions ","Thousands of dollars",2617565,2638095,2801384,3085002,2936405,2972687,3204862,3246689,3384492,4040312,4136171,3894847,3812138,3974852,3998979,4159038,4449970,4958676,5208047,5320556,5173539,5005378,4467504
 "45000","South Carolina",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",1197026,1242457,1233057,1218842,1267123,1330772,1447091,1538430,1735328,1875525,2009229,1951587,1830368,1983821,1977304,2029097,2114156,2217648,2320431,2387427,2430878,2456822,2260985
 "45000","South Carolina",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",513210,541139,552864,643867,575383,609018,674678,788594,889602,913685,913507,915031,1127335,1378980,1414671,1429793,1476747,1718250,1839317,1877719,1984720,2227273,2504162
 "45000","South Carolina",5,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",232551,237820,237363,135960,251210,265447,288599,243688,288198,375264,520941,457954,205520,213424,101995,-6400,-48385,-184965,-200028,-246504,-350278,-552620,-975499
 "45000","South Carolina",5,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",471932,494720,481784,482073,485675,502597,544489,594415,632406,643265,646552,653770,719429,762675,802477,879378,949966,1007552,1022462,1041551,1057327,1089223,1135052
 "45000","South Carolina",5,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",20667,31222,38954,43058,45145,46290,60675,88267,74878,56689,71771,75168,221916,371258,341839,273674,264172,323189,341320,285339,260891,307054,402730
 "45000","South Carolina",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1420539,1395638,1568327,1866160,1669282,1641915,1757771,1708259,1649164,2164787,2126942,1943260,1981770,1991031,2021675,2129941,2335814,2741028,2887616,2933129,2742661,2548556,2206519
 "45000","South Carolina",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",1420539,1395638,1568327,1866160,1669282,1641915,1757771,1708259,1649164,2164787,2126942,1943260,1981770,1991031,2021675,2129941,2335814,2741028,2887616,2933129,2742661,2548556,2206519
 "45000","South Carolina",5,SAINC70,11,"...","  Interest ","Thousands of dollars",1205889,1188383,1411283,1736361,1489730,1416420,1509956,1416089,1406762,2007743,1952215,1746127,1780540,1766965,1764821,1893684,2114811,2445807,2608638,2689075,2420913,2220426,1905120
 "45000","South Carolina",5,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",958483,814168,926001,1027729,852889,735801,745658,632670,398626,203796,66610,23503,60778,109022,96898,159932,288355,407738,518495,510441,316229,128372,131763
 "45000","South Carolina",5,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",247406,374215,485282,708632,636841,680619,764298,783419,1008136,1803947,1885605,1722624,1719762,1657943,1667923,1733752,1826456,2038069,2090143,2178634,2104684,2092054,1773357
