GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",68510384,72496956,78195987,80744831,79812624,81418081,85974421,89732543,94440650,100686085,101542786,96172920,97780820,101498258,104235119,105454035,108999885,112384762,113353303,114782104,116962154,120274578,120129770,127774133,137829665
 "09000","Connecticut",1,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",104763,97060,114580,119985,152944,135980,130777,104159,115245,132390,121605,117629,112296,97644,146085,148905,157911,128285,145715,121237,114073,91739,98128,93153,134987
 "09000","Connecticut",1,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",68405621,72399896,78081407,80624846,79659680,81282101,85843644,89628384,94325405,100553695,101421181,96055291,97668524,101400614,104089034,105305130,108841974,112256477,113207588,114660867,116848081,120182839,120031642,127680980,137694678
 "09000","Connecticut",1,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",59359642,63036543,68085865,69894367,68449319,69815718,74020542,77402408,81697952,87133110,87333695,81800511,83664215,87234278,90014653,91024399,94177154,97093244,98052013,99474276,101562172,104722877,104314482,111535192,120827491
 "09000","Connecticut",1,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",17683,17504,19272,14616,14746,15318,15971,15933,17331,17785,17241,17064,16477,16397,16761,17511,18578,19621,20047,19199,19394,19794,(D),21201,(D)
 "09000","Connecticut",1,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",(T),1811,1821,789,793,935,1013,682,609,296,178,107,114,192,71,(D),96,164,213,226,235,175,(D),(D),(D)
 "09000","Connecticut",1,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),3394,2430,2142,2175,2272,2218,2496,2594,2285,2679,2937,3313,3738,(D),3299,3336,3553,3299,2698,1867,(D),(D),(D)
 "09000","Connecticut",1,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",11412,12084,14057,11397,11811,12208,12686,13033,14226,14895,14778,14278,13426,12892,12952,13915,15183,16121,16281,15674,16461,17752,17712,19296,21320
 "09000","Connecticut",1,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",34810,39464,38192,36665,37557,39375,39504,40550,45241,43627,47260,40550,38819,37307,35735,35169,38425,39446,39948,41252,39537,40264,(D),31892,(D)
 "09000","Connecticut",1,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",413,379,521,0,0,0,(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,(D)
 "09000","Connecticut",1,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",31971,36407,35466,(D),36242,38464,37938,39415,42863,41261,43964,38201,35036,32129,31591,30799,33439,35431,37844,37458,37553,38293,31176,30036,(D)
 "09000","Connecticut",1,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",2426,2678,2205,(D),1315,911,(D),(D),(D),(D),(D),(D),(D),5178,4144,4370,4986,4015,2104,3794,1984,1971,(D),1856,(D)
 "09000","Connecticut",1,SAINC7N,300,"22","   Utilities ","Thousands of dollars",658247,684872,733372,722549,666355,706549,843161,752176,647836,702054,740491,708693,653252,688439,651229,670541,661439,656047,630413,662811,679520,697525,711603,683131,701772
 "09000","Connecticut",1,SAINC7N,400,"23","   Construction ","Thousands of dollars",2516047,2733093,3060635,3261903,3177180,3090783,3388778,3506780,3666294,3949530,3895425,3248991,3016292,3083978,3142839,3271081,3496634,3817862,4033907,4110849,4197291,4437820,4399554,4681580,5011574
 "09000","Connecticut",1,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",553800,628297,670984,718462,725665,725351,789675,815554,854462,915129,878216,705794,640409,661801,670001,683538,727474,796887,807986,821499,833087,872275,855655,925404,1014060
 "09000","Connecticut",1,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",329919,355227,423945,404168,395954,392499,397680,409112,427950,442866,420760,370544,406373,430869,461725,463080,502628,550089,617475,678705,653628,651086,707195,695770,713844
 "09000","Connecticut",1,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",1632328,1749569,1965706,2139273,2055561,1972933,2201423,2282114,2383882,2591535,2596449,2172653,1969510,1991308,2011113,2124463,2266532,2470886,2608446,2610645,2710576,2914459,2836704,3060406,3283670
 "09000","Connecticut",1,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",12040087,12384211,12887027,12646580,11851510,11737226,12157612,12323059,12738703,13250119,13192044,12032780,12163605,12844983,13051725,13379707,13004787,12840552,12440417,13019490,13239590,13781032,13508792,13733534,14615385
 "09000","Connecticut",1,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",9007914,9142962,9404171,9072987,8526739,8447195,8841765,9008831,9367883,9788489,9992882,9200488,9293219,9809180,10116706,10416157,10212556,10031480,10013272,10411661,10727631,11172408,10914038,11004453,11777841
 "09000","Connecticut",1,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",60392,64426,68106,70806,75571,72708,72745,78513,77067,75161,69627,51347,(D),(D),(D),(D),54924,(D),54980,54358,55517,53354,51500,57583,65222
 "09000","Connecticut",1,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",127251,137816,142508,133670,130357,122003,129172,140143,144350,159269,152722,128652,117476,117321,122486,124336,128265,134157,139140,142634,144456,147383,152236,160996,170484
 "09000","Connecticut",1,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",314370,303192,322830,289135,268220,237345,237598,244969,250237,241779,243425,190835,207952,225757,248510,235621,240578,241962,(D),(D),274938,292450,268221,255353,277201
 "09000","Connecticut",1,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",1730886,1702413,1760926,1666748,1568674,1540917,1659008,1733738,1840679,1910076,1890928,1626470,1660828,1785479,1895222,1994705,1980165,1982616,1982138,2080066,2109389,2164713,2039276,2086185,2223263
 "09000","Connecticut",1,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",1279732,1231237,1307347,1294595,1202946,1151008,1248079,1260547,1272831,1354608,1340851,1189046,1174859,1200153,1192383,1166154,1209762,1239297,1152493,1171330,1113319,1145580,1161473,1201500,1291960
 "09000","Connecticut",1,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",1211254,1149810,1410840,1166566,983148,883568,892016,895657,906725,910392,936569,852300,875525,917835,922936,911028,928445,885050,860407,859507,842906,848689,818699,823008,879773
 "09000","Connecticut",1,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",741091,721892,787811,819080,701542,835984,792847,750984,760796,838923,918714,867915,836191,909759,962967,1065881,946290,724623,733535,609699,607046,626187,603083,609478,653865
 "09000","Connecticut",1,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",316113,326095,314963,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "09000","Connecticut",1,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",2448564,2499060,2510785,(D),(D),(D),(D),(D),(D),(D),(D),(D),3472296,3642794,3732421,3861919,3796646,3828549,3902809,4258759,4579519,(D),(D),(D),(D)
 "09000","Connecticut",1,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",112494,121621,131817,131990,133794,130287,137816,141180,152087,155245,150597,118659,120012,115534,116097,117949,(D),132045,136403,140896,(D),137750,131737,150168,158638
 "09000","Connecticut",1,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",665767,885400,646238,637841,589550,598777,604407,626433,620476,619030,637986,601800,595796,653075,677121,679639,584340,575694,576468,605460,632147,644544,629675,670146,702766
 "09000","Connecticut",1,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",3032173,3241249,3482856,3573593,3324771,3290031,3315847,3314228,3370820,3461630,3199162,2832292,2870386,3035803,2935019,2963550,2792231,2809072,2427145,2607829,2511959,2608624,2594754,2729081,2837544
 "09000","Connecticut",1,SAINC7N,531,"311","     Food manufacturing ","Thousands of dollars",238981,250207,260441,250777,258493,266137,269377,279017,284384,287642,272365,273421,291504,287272,293261,301676,309340,327224,342119,358244,362535,378069,380249,398093,441693
 "09000","Connecticut",1,SAINC7N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",61151,69598,77779,103758,116281,141408,97334,101090,106585,94175,53826,52298,56392,55321,59866,61692,60984,87933,95142,102893,110065,124590,119039,137241,132142
 "09000","Connecticut",1,SAINC7N,533,"313","     Textile mills ","Thousands of dollars",70759,73625,70464,57283,48977,44862,40225,38291,37354,40509,39919,33989,35604,38555,40664,36442,36687,44657,44985,40127,43059,44378,39382,40111,41603
 "09000","Connecticut",1,SAINC7N,534,"314","     Textile product mills ","Thousands of dollars",35211,37202,39166,39119,37504,41163,42485,44730,46118,48659,49590,41341,43659,46596,48807,54187,56585,63232,66329,69015,46489,46477,44245,51561,54071
 "09000","Connecticut",1,SAINC7N,535,"315","     Apparel manufacturing ","Thousands of dollars",85645,61297,51071,41170,37949,28840,17679,16241,(D),12271,9711,4633,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2105,2363
