GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",14010223,15090399,16650453,16997504,17443573,17984623,19243328,20654057,22715399,24022775,23953469,22800391,22945036,23460884,24151284,25253684,26662050,27890271,29439483,31580001,33813891,35771496,38459192,43162871,47470424
 "16000","Idaho",7,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",309401,303494,347086,353570,405510,363846,399971,468912,461074,547481,502990,568748,499479,501484,570874,636797,652330,517835,593493,676236,674004,488765,721734,788346,642998
 "16000","Idaho",7,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",13700822,14786905,16303367,16643934,17038063,17620777,18843357,20185145,22254325,23475294,23450479,22231643,22445557,22959400,23580410,24616887,26009720,27372436,28845990,30903765,33139887,35282731,37737458,42374525,46827426
 "16000","Idaho",7,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",10898002,11807703,13133877,13291019,13493780,13934415,14942451,16171616,18069691,19141946,18903663,17603528,17817380,18376904,18904694,19924819,21206985,22354511,23664728,25478053,27451887,29338787,31549301,35905655,39964427
 "16000","Idaho",7,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",185783,185584,181107,173581,180089,184914,197918,206105,211247,213407,213174,194955,210318,217826,218361,237368,255839,276606,285367,295724,310694,317494,340222,361322,370721
 "16000","Idaho",7,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",79936,81352,75878,71525,72806,67073,78032,77276,76169,78210,65841,47187,54609,59232,55839,64586,66731,71052,69663,69554,73060,70150,69903,76507,75679
 "16000","Idaho",7,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),606,787,976,1084,1599,1958,1769,1700,1505,1455,1446,1442,1734,2195,2432,1961,2281,2439,2450,2866,3399,3960
 "16000","Idaho",7,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",105129,103190,104021,101450,106496,116865,118802,127230,133120,133428,145633,146263,154254,157148,161080,171048,186913,203122,213743,223889,235195,244894,267453,281416,291082
 "16000","Idaho",7,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",105076,95681,94597,77444,71465,79091,87455,100798,122417,150133,166390,125308,154111,176974,190811,193577,184885,165752,172507,158655,159063,171697,188090,227414,249933
 "16000","Idaho",7,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),1215,2035,(D),3694,4013,3994,4599,3832,4707,4978,4116,5264,2823,885,652,841,1459
 "16000","Idaho",7,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",102685,93301,91358,74651,68469,75655,82716,95488,114516,135753,142094,112692,132203,148242,155820,158740,146435,130011,143839,137815,132655,150756,166582,199997,215211
 "16000","Idaho",7,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),6686,12345,(D),8922,17895,24738,30392,31005,33743,30763,24552,15576,23585,20056,20856,26576,33263
 "16000","Idaho",7,SAINC7N,300,"22","   Utilities ","Thousands of dollars",75982,76303,80534,87400,133755,104050,103697,107470,116572,122888,135896,136713,200542,209653,217030,221468,235960,250099,250956,262488,273485,273208,290372,293288,325816
 "16000","Idaho",7,SAINC7N,400,"23","   Construction ","Thousands of dollars",926882,1019376,1107030,1229862,1189631,1194651,1312289,1523991,1836136,2047132,1777278,1348833,1253057,1192679,1214345,1298340,1389327,1514472,1718007,1916961,2166641,2454896,2710354,3152056,3722253
 "16000","Idaho",7,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",202424,215608,239544,289577,281064,286361,296427,359142,453571,475792,414428,304799,273362,267699,266999,296019,327319,364023,410409,472797,549702,615371,671529,792762,956329
 "16000","Idaho",7,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",226794,245801,265520,289984,296657,256131,269274,316689,354385,479865,368576,317568,315962,282201,288619,261353,252082,232555,247599,270940,294988,369171,425316,483294,532468
 "16000","Idaho",7,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",497664,557967,601966,650301,611910,652159,746588,848160,1028180,1091475,994274,726466,663733,642779,658727,740968,809926,917894,1059999,1173224,1321951,1470354,1613509,1876000,2233456
 "16000","Idaho",7,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",2299710,2579952,3099890,2619326,2529148,2525373,2646702,2762878,3060185,3148721,3027648,2648603,2709802,2822968,2943764,3244786,3599358,3525782,3637152,4187928,4462321,4409412,4576154,4840407,5331385
 "16000","Idaho",7,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",1556599,1819783,2327705,1820882,1756436,1744763,1860733,1988782,2224164,2254566,2078878,1696304,1755792,1821088,1892849,2117299,2409132,2271199,2334856,2770265,2990669,2866428,2944520,3121854,3413566
 "16000","Idaho",7,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",283565,290133,285492,250811,243433,240774,255887,278412,299197,287088,241770,175249,176281,193804,208639,226207,238058,247929,270648,290803,314789,330903,342869,386756,427138
 "16000","Idaho",7,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",42624,46164,46803,48118,50401,55693,60208,66872,78047,82211,70680,56457,51276,46628,47060,50567,55044,59577,64257,69987,84515,95704,98381,116082,128971
 "16000","Idaho",7,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",9898,(T),12141,10577,10396,14328,16358,18808,22196,24379,26806,25508,27682,32191,30810,31289,31375,33068,32227,29774,27139,29419,31066,30419,34077
 "16000","Idaho",7,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",112583,117580,124604,115662,112093,117391,121946,132577,158531,172821,178855,172384,177543,183148,190140,214936,225154,239131,257337,264786,274437,288420,285054,329625,380421
