GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "21000","Kentucky",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",48094952,51148699,53945947,55555240,56650063,58473087,61399299,64083952,67307133,70580439,72350823,70412574,71872526,74529050,77055769,78277356,81480090,85379257,87833227,90549717,93333293,96691994,97298882,104817480,113864586
 "21000","Kentucky",5,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",190323,202483,189002,231711,287702,311869,299492,238167,263092,301727,277145,268083,255931,222537,311209,317217,325461,273288,310419,313203,294692,236995,253500,240646,348720
 "21000","Kentucky",5,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",47904629,50946216,53756945,55323529,56362361,58161218,61099807,63845785,67044041,70278712,72073678,70144491,71616595,74306513,76744560,77960139,81154629,85105969,87522808,90236514,93038601,96454999,97045382,104576834,113515866
 "21000","Kentucky",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",39361189,41881626,44188013,45126819,45713636,47044939,49452383,51475842,53935311,56543823,57489692,55200489,56114486,58435533,61102085,62429553,65576660,69285418,71609320,74055884,76549760,79793184,80147864,87006655,95154420
 "21000","Kentucky",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",138673,151226,165832,167268,158767,163268,164521,169688,185389,186982,199539,195011,198384,191856,195297,204614,211809,225874,239024,243213,253212,276674,293907,299421,314659
 "21000","Kentucky",5,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",12872,12777,14409,(D),(D),(D),(D),(D),8221,8451,(D),(D),(D),(D),(D),5221,(D),5102,(D),5382,5742,6379,6888,8140,9104
 "21000","Kentucky",5,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),335,421,(D),(D),(D),(D),(D),502,(D),729,(D),592,867,1123,1426,1481,1383
 "21000","Kentucky",5,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",122996,135489,147730,153077,147333,153401,154073,160067,176833,178110,191804,188970,191833,185977,189485,198891,206357,220043,233163,237239,246603,269172,285593,289800,304172
 "21000","Kentucky",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",909051,858912,807412,893153,896744,858455,930182,1090599,1250977,1233012,1452476,1469744,1467452,1574122,1354621,1175123,1114284,937313,679025,698593,715558,703561,500117,535811,612364
 "21000","Kentucky",5,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",19375,23647,31611,34055,30472,28817,36108,44862,50332,51772,62522,59760,52571,53908,47300,45283,46154,45127,37096,32455,35100,33512,25247,26747,29662
 "21000","Kentucky",5,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",850067,801658,743116,823164,820640,777022,831281,962166,1099276,1060582,1242701,1257949,1258651,1345995,1131525,957151,881563,739593,539176,559853,582528,561949,393474,424261,466778
 "21000","Kentucky",5,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",39609,33607,32685,35934,45632,52616,62793,83571,101369,120658,147253,152035,156230,174219,175796,172689,186567,152593,102753,106285,97930,108100,81396,84803,115924
 "21000","Kentucky",5,SAINC7N,300,"22","   Utilities ","Thousands of dollars",434919,409320,477541,434572,380453,365934,371779,389032,410560,422825,433766,458475,453674,470516,486672,497658,528403,540730,549012,568736,599334,610784,631849,656157,682594
 "21000","Kentucky",5,SAINC7N,400,"23","   Construction ","Thousands of dollars",2443950,2654319,2796815,2977298,2878256,2960932,2989423,3119513,3209376,3473879,3665447,3319967,3050890,3053965,3178992,3311003,3723885,4013248,4075315,4226200,4307292,4590662,4658900,4839460,5556607
 "21000","Kentucky",5,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",601284,639630,658741,684110,658681,707120,712542,731549,764320,833302,814938,720018,659453,621892,646444,724517,828882,893608,880692,930619,946899,964242,997755,1057927,1221709
 "21000","Kentucky",5,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",404520,447705,472904,528405,504100,534392,538949,569220,559695,660998,714548,760785,668467,644959,705803,740652,783007,803840,757635,721106,752465,825911,851218,876723,968524
 "21000","Kentucky",5,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",1438146,1566984,1665170,1764783,1715475,1719420,1737932,1818744,1885361,1979579,2135961,1839164,1722970,1787114,1826745,1845834,2111996,2315800,2436988,2574475,2607928,2800509,2809927,2904810,3366374
 "21000","Kentucky",5,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",10450302,11031856,11518814,11175046,10950539,10957398,11344534,11536082,11834820,12003772,11664907,10214496,10392202,10917988,11752188,12235466,12946676,13701288,14153273,14560635,14903643,15476727,14832960,15594965,17101763
 "21000","Kentucky",5,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",6718982,7220027,7642049,7379696,7152088,7140109,7444247,7595985,7813499,7852727,7508636,6301897,6385519,6856105,7533258,7882765,8414032,9077855,9440825,9670420,9794880,10234021,9480934,9980638,11048429
 "21000","Kentucky",5,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",269135,301099,339724,327691,322633,333629,360846,388613,406416,402297,375208,304141,301212,312205,285150,299637,321532,350212,369133,382265,396108,421404,412745,440154,484294
 "21000","Kentucky",5,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",357882,378257,395317,382064,382439,395085,408799,400810,405665,399301,382032,323488,332996,336986,338846,348657,359917,382437,400570,408189,419476,426695,389804,424353,466152
 "21000","Kentucky",5,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",655320,686419,739046,716933,688405,670255,692181,710501,757853,751664,741823,601234,641639,680562,710825,737413,796323,810646,807242,849684,905330,939510,890230,975266,1138422
 "21000","Kentucky",5,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",740589,772787,822125,797487,760146,754346,797858,824771,879200,912742,928304,763582,802865,871284,936236,952812,1044486,1091078,1105853,1149978,1223023,1294336,1232750,1318774,1432714
 "21000","Kentucky",5,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",924277,941036,966761,895757,813756,785164,824054,901735,923228,942908,981409,804904,803994,886331,947187,954364,1004841,1112254,1086974,1246818,1199518,1227882,1147232,1246020,1353657
 "21000","Kentucky",5,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",517498,554712,551047,501411,476117,526381,573682,523362,516189,504208,491554,473273,422833,484945,480277,442411,454704,479003,527285,398381,359847,374075,345140,338799,367304
 "21000","Kentucky",5,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",559366,582782,572396,542090,504411,465886,470027,469303,477309,453925,609240,527881,526494,565274,641456,717927,710693,738911,758154,750101,717009,749603,779087,874570,949346
 "21000","Kentucky",5,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",2152511,2425681,2642425,2618030,2632744,2690925,2756063,2783270,2819826,2816810,2354465,1923501,1981011,2141458,2600568,2827517,3100600,3482737,3752943,3840569,3916141,4086909,3573547,3620526,4048466
 "21000","Kentucky",5,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",120307,128804,137650,137863,127173,125371,139669,154058,172709,218973,223596,230224,228568,234033,243762,252583,253418,258672,252707,242871,240425,269848,280228,265390,282310
 "21000","Kentucky",5,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",194335,214885,228056,213834,207316,191953,199580,202612,212633,203976,186230,153723,145992,140125,139178,137234,149737,151503,158885,172142,179104,173919,168429,190522,206464
 "21000","Kentucky",5,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",227762,233565,247502,246536,236948,201114,221488,236950,242471,245923,234775,195946,197915,202902,209773,212210,217781,220402,221079,229422,238899,269840,261742,286264,319300
