GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",81897458,87495848,94526490,99865656,104278920,108722974,115065731,121408261,128329742,134316950,137459815,136266469,139246575,144309787,148855709,150129242,155246670,162492469,167604837,173713277,179741438,186264301,189154196,201542859,213322888
 "24000","Maryland",2,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",108445,99716,116853,121490,153782,138338,134660,108589,121687,141636,130096,125844,120138,104463,148268,151129,160270,130202,147891,175709,165325,132957,142217,135005,195635
 "24000","Maryland",2,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",81789013,87396132,94409637,99744166,104125138,108584636,114931071,121299672,128208055,134175314,137329719,136140625,139126437,144205324,148707441,149978113,155086400,162362267,167456946,173537568,179576113,186131344,189011979,201407854,213127253
 "24000","Maryland",2,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",63022578,67941989,73737753,77830423,79721756,83086497,88406780,93323159,98750942,103042735,104654429,102017357,103829052,107577889,111941368,113243224,117389093,123303076,127631304,132548284,137493294,142789261,143563352,154387213,163616950
 "24000","Maryland",2,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",37873,40979,45211,44977,47879,53917,57546,61854,61548,55331,57654,54969,59252,55388,55301,57833,60161,66266,70510,72901,72465,78565,72962,75317,83865
 "24000","Maryland",2,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",11284,10179,9505,8356,8809,8888,10107,13002,13176,7816,7327,5795,5785,6330,6969,7013,7291,7766,8011,8886,9060,10246,9359,9456,9725
 "24000","Maryland",2,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",5254,6827,7684,5134,5851,6914,7340,7086,5197,5225,3765,3527,3844,3523,3090,2563,2697,3066,3496,3740,3241,3557,2602,3706,6199
 "24000","Maryland",2,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",21335,23973,28022,31487,33219,38115,40099,41766,43175,42290,46562,45647,49623,45535,45242,48257,50173,55434,59003,60275,60164,64762,61001,62155,67941
 "24000","Maryland",2,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",58403,59761,62941,80312,68479,69312,75542,88486,91633,86660,87844,80483,82220,87488,93444,80520,78961,79731,79893,81949,78698,82004,81409,83807,92972
 "24000","Maryland",2,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),121,125,135,128,(D),(D),(D),(D),368,(D),(D),1585,(D),(D),573,(D),(D),7001
