GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",15306205,16338775,17349676,18234742,18895759,19675447,20688183,21003578,22061526,23021144,23763754,23055470,23331870,23791738,24324980,24895887,25782083,26814996,27662453,28732381,29935217,31377227,32458137,35634540,38677571
 "23000","Maine",1,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",69137,62962,73081,75264,94378,84458,81776,65586,73092,84591,77700,75160,71753,62391,111123,113267,120118,97582,110841,94865,89260,71783,76783,72890,105625
 "23000","Maine",1,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",15237068,16275813,17276595,18159478,18801381,19590989,20606407,20937992,21988434,22936553,23686054,22980310,23260117,23729347,24213857,24782620,25661965,26717414,27551612,28637516,29845957,31305444,32381354,35561650,38571946
 "23000","Maine",1,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",12441779,13352428,14173993,14878100,15299209,15863531,16716272,16918582,17821410,18600639,19194947,18416441,18700867,19247427,19752403,20298073,21096438,22034484,22752365,23738986,24844121,26131068,26986966,29930829,32666583
 "23000","Maine",1,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",95277,104218,111703,114625,114376,117052,127935,137575,149308,155550,(D),(D),158848,161495,(D),165790,175403,186689,181337,199732,210537,210750,204223,209855,217369
 "23000","Maine",1,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",71055,74388,80241,81539,80589,82196,89270,95225,102146,106279,105956,99665,105286,102931,103717,104825,110079,114770,105857,104347,108304,110107,110737,113555,116887
 "23000","Maine",1,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",9770,12177,12728,12520,14210,15204,16793,19370,23180,24341,22351,(D),25144,29860,32473,28426,29999,33755,36695,54051,58505,57612,47198,48462,50146
 "23000","Maine",1,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",14452,17653,18734,20566,19577,19652,21872,22980,23982,24930,(D),28229,28418,28704,(D),32539,35325,38164,38785,41334,43728,43031,46288,47838,50336
 "23000","Maine",1,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",(T),(T),(T),3375,3762,3573,3344,3707,4258,4360,(D),(D),9575,10796,(D),10431,11181,11371,12417,12827,13479,13344,14596,15490,(D)
 "23000","Maine",1,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0
 "23000","Maine",1,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),4258,3793,4976,4848,(D),(D),10338,10011,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "23000","Maine",1,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),420,(D),(D),(D),(D),(D),(D),(D),(D),0
 "23000","Maine",1,SAINC7N,300,"22","   Utilities ","Thousands of dollars",117130,109159,113128,114592,118928,111881,111888,116498,113951,122905,127561,123285,129262,121699,126464,129443,136055,134752,137541,153694,149970,150142,163926,165181,(D)
 "23000","Maine",1,SAINC7N,400,"23","   Construction ","Thousands of dollars",748131,886806,957197,1014692,1010899,1088113,1135722,1145905,1217055,1251581,1241926,1066158,1035088,1102187,1141636,1169229,1221400,1270076,1332933,1420551,1521238,1623648,1762996,1944263,2122175
 "23000","Maine",1,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",166590,212937,255583,240425,250682,273527,288266,293640,310946,305840,297195,237519,231044,244876,248452,250270,268553,285096,305354,326307,348811,372614,397197,446005,492822
 "23000","Maine",1,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",165164,200131,167969,178024,168359,184817,176121,157652,154886,164737,170996,152046,150259,161722,171496,181519,180470,179554,182543,189135,216555,233011,281623,296603,314743
 "23000","Maine",1,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",416377,473738,533645,596243,591858,629769,671335,694613,751223,781004,773735,676593,653785,695589,721688,737440,772377,805426,845036,905109,955872,1018023,1084176,1201655,1314610
 "23000","Maine",1,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",2701553,2776204,2825281,2775620,2664852,2659092,2683539,2612146,2674403,2749551,2825305,2521568,2615525,2650392,2654555,2689672,2744252,2832266,2832750,2928857,3014052,3157167,3213897,3462496,3694750
 "23000","Maine",1,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",1306316,1360336,1410203,1431712,1377539,1367387,1426010,1380909,1402189,1465606,1524955,1342050,1392565,1429281,1416717,1455151,1515127,1578559,1597223,1633749,1701959,1759757,1738203,1902892,2058108
 "23000","Maine",1,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",199060,206522,219294,209126,206527,201845,228050,230584,218058,212114,190990,146911,152784,156467,166415,177065,192839,196184,202748,208931,214464,208863,248132,249692,280237
 "23000","Maine",1,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",42477,45501,47421,51888,50776,52309,54903,55786,59174,58952,56154,48228,48570,50307,49023,53180,56385,60252,67422,71705,75612,75158,77062,78585,83348
 "23000","Maine",1,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",20312,17255,16228,17277,17108,16085,17377,16420,18072,19344,29729,16471,18284,18872,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20669
 "23000","Maine",1,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",161392,168873,188244,189957,180561,172982,178647,193456,210278,229663,272136,248175,261045,254354,262050,255740,254266,256347,255366,259241,272083,299634,293076,291424,326161
 "23000","Maine",1,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",98323,103752,119017,120304,107531,102616,105450,104456,106503,112078,118420,113638,115127,125559,129775,131748,136816,150077,135717,138044,135809,138162,135449,128535,132836
 "23000","Maine",1,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",228485,244628,289367,260026,230065,215599,227870,179720,181252,187192,183884,163174,168301,182581,144407,149565,142732,141686,135657,138460,153555,160406,164077,162205,183806
 "23000","Maine",1,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",52466,56778,53592,47624,39346,41209,43937,42198,37850,34619,34714,22831,22455,21234,20449,21848,22764,24981,24919,25094,25349,28467,29964,42055,32102
 "23000","Maine",1,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",13795,15747,17368,20325,22109,23371,24387,23575,22841,21202,19880,14927,12256,11795,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),72932
 "23000","Maine",1,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",392058,396208,357495,407987,418139,438298,441366,425665,436754,477106,495386,455561,485794,491373,498251,517253,548958,589643,597564,598489,614321,628341,587490,669569,729654
 "23000","Maine",1,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",49880,56202,53087,57794,56783,53685,53920,50127,49314,51873,57433,48792,45788,49184,51375,50783,51894,55433,57506,60233,61338,62890,65862,74988,72747
 "23000","Maine",1,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",48068,48870,49090,49404,48594,49388,50103,58922,62093,61463,66229,63342,62161,67555,62031,64577,70645,69308,71542,77495,87591,89712,69020,123769,123616
 "23000","Maine",1,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",1395237,1415868,1415078,1343908,1287313,1291705,1257529,1231237,1272214,1283945,1300350,1179518,1222960,1221111,1237838,1234521,1229125,1253707,1235527,1295108,1312093,1397410,1475694,1559604,1636642
 "23000","Maine",1,SAINC7N,531,"311","     Food manufacturing ","Thousands of dollars",155534,165224,186476,190482,187743,196945,202483,194373,198549,190217,192351,189823,186123,201683,192926,177752,183513,196357,205774,220962,220388,234053,250197,266448,281068
 "23000","Maine",1,SAINC7N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",15305,17817,18383,17806,17179,25392,30407,47037,52405,64562,60086,60097,60357,61237,76888,66496,67338,76901,86353,93669,101775,108494,118496,133963,144864
 "23000","Maine",1,SAINC7N,533,"313","     Textile mills ","Thousands of dollars",104307,95626,91371,67532,66091,67192,52144,52461,54068,55124,52952,39078,39923,41010,45316,46073,52096,52096,50713,49929,44960,40794,35551,37068,34587
 "23000","Maine",1,SAINC7N,534,"314","     Textile product mills ","Thousands of dollars",34132,38820,41852,35796,30324,32992,35657,34599,36410,34762,36385,29536,25822,26238,27373,28745,28845,30292,32381,33512,35457,37370,42411,44866,49072
 "23000","Maine",1,SAINC7N,535,"315","     Apparel manufacturing ","Thousands of dollars",22239,23358,22250,20821,20209,15133,13257,11318,10541,10320,9965,8725,9644,9765,14926,13157,10214,7852,6855,7184,7590,7377,6512,7316,7791
 "23000","Maine",1,SAINC7N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",134871,127279,115398,110573,73844,72353,72322,69522,73750,69805,67387,52381,52101,52930,59019,58258,62909,71058,69301,72981,71481,70599,53139,57738,71600
