GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",83033201,88595038,95704176,98980854,100658944,103497030,109165933,111887009,116916388,123700573,127231904,121063968,124164265,128981626,135332810,139565886,145880985,153855621,158151066,165806439,172885486,179151212,179513950,192114879,205241256
 "27000","Minnesota",4,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",454388,421218,499845,491585,542480,477939,437870,425690,410114,508097,440091,619937,534610,415256,682489,504343,511592,564091,613664,579005,541986,680251,659184,668832,657949
 "27000","Minnesota",4,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",82578813,88173820,95204331,98489269,100116464,103019091,108728063,111461319,116506274,123192476,126791813,120444031,123629655,128566370,134650321,139061543,145369393,153291530,157537402,165227434,172343500,178470961,178854766,191446047,204583307
 "27000","Minnesota",4,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",70958453,76077104,82290261,85059689,85911635,88356458,93563504,95770658,100124293,106198631,108938020,102156199,105381119,110393600,116279073,120280118,125952527,133243183,136890704,144022488,150071413,155488409,155282479,167437912,179501594
 "27000","Minnesota",4,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",75155,80662,84138,87845,94199,98776,107880,111126,117445,123288,133902,134857,145377,151703,165333,171789,177072,195207,205185,214845,217269,227085,238140,247071,256205
 "27000","Minnesota",4,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",23464,24921,25963,23742,24051,25111,27419,27288,26087,26095,27084,27854,29829,32136,31334,30850,33212,37624,38003,39471,37745,36248,37691,37921,39321
 "27000","Minnesota",4,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),1030,1141,1229,1418,1483,1773,2190,2397,1708,2030,1930,2495,2351,2616,3086,3391,3705,3705,4073,4621,5594,4683
 "27000","Minnesota",4,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",49885,54049,56336,63073,69007,72436,79043,82355,89585,95003,104421,105295,113518,117637,131504,138588,141244,154497,163791,171669,175819,186764,195828,203556,212201
 "27000","Minnesota",4,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",356461,343486,348549,295265,279040,286058,296159,311493,335290,342407,398108,280684,383650,472664,513267,523171,544256,490945,422297,488733,543887,538151,473780,655123,688515
 "27000","Minnesota",4,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",300,432,(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11125,11525,7371,(D),(D),7511,(D),19522
 "27000","Minnesota",4,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",355892,342738,347626,294299,278135,285006,294933,309785,332696,337778,391201,271414,367391,438309,483292,498464,520944,471668,404376,474636,531027,520939,458585,632670,659117
 "27000","Minnesota",4,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8152,6396,6726,(D),(D),7684,(D),9876
 "27000","Minnesota",4,SAINC7N,300,"22","   Utilities ","Thousands of dollars",716711,743093,782299,842859,849353,812316,897231,898823,929256,962711,1035389,1040732,1095662,1157312,1178837,1265359,1277482,1305791,1302041,1330033,1385228,1415239,1458631,1483534,1571694
 "27000","Minnesota",4,SAINC7N,400,"23","   Construction ","Thousands of dollars",4117251,4800245,5308061,5608744,5764292,5883161,6191944,6150155,6259657,6263110,5993406,5036780,4685112,5034679,5422667,5922555,6501439,7261339,7525090,8038564,8377047,9090458,9233803,10350283,10889852
 "27000","Minnesota",4,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",957612,1107265,1242861,1360849,1421221,1442886,1525210,1565866,1572373,1576566,1484555,1147395,1077009,1150679,1221293,1333063,1499984,1631935,1699937,1831584,1944790,2125245,2133072,2323896,2592213
 "27000","Minnesota",4,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",618723,703025,737916,763378,817847,825612,874136,839340,875269,904857,924488,934871,867843,904337,994718,1086673,1157849,1292158,1294495,1330983,1358016,1441886,1575104,2033252,1852390
 "27000","Minnesota",4,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",2540916,2989955,3327284,3484517,3525224,3614663,3792598,3744949,3812015,3781687,3584363,2954514,2740260,2979663,3206656,3502819,3843606,4337246,4530658,4875997,5074241,5523327,5525627,5993135,6445249
