GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",8912587,9298852,9890097,10389840,10863689,11394099,12088671,12958410,13980713,15055786,15586721,15259215,15506995,16165270,17110385,17618035,18380877,19253590,19823149,20663053,21599439,22517896,23589378,26157552,28625347
 "30000","Montana",7,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",124344,120045,135096,135398,152751,133270,142503,162564,155588,179882,165264,186869,164111,164769,230611,257241,248509,209185,239750,244742,243934,176893,261209,285316,232713
 "30000","Montana",7,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",8788243,9178807,9755001,10254442,10710938,11260829,11946168,12795846,13825125,14875904,15421457,15072346,15342884,16000501,16879774,17360794,18132368,19044405,19583399,20418311,21355505,22341003,23328169,25872236,28392634
 "30000","Montana",7,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",6644546,6965477,7370457,7771407,8082692,8447433,9033693,9754711,10645290,11526276,11896588,11410969,11620626,12245909,13090053,13546598,14221391,15006737,15380139,16099549,16955538,17821840,18593038,20976504,23324063
 "30000","Montana",7,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",55902,59851,62423,61381,70741,68785,70182,70880,76644,80356,82241,74620,80056,86324,98763,105089,113619,127156,137679,147147,150487,155114,173680,193969,209831
 "30000","Montana",7,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",34516,34351,37262,31970,38922,34903,37308,36564,37176,36159,32462,(D),22772,21268,24393,24838,25636,27602,26958,26363,27901,25680,24839,26068,24787
 "30000","Montana",7,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),434,353,237,292,87,97,95,68,(D),88,107,112,97,102,104,95,104,103,193,256,232,467
 "30000","Montana",7,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",20700,24651,24346,28977,31466,33645,32582,34229,39371,44102,49711,51893,57196,64949,74258,80154,87881,99450,110626,120680,122483,129241,148585,167669,184577
 "30000","Montana",7,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",216872,223097,234973,274714,269536,261969,328959,389142,471000,503585,545504,456261,509946,607680,714558,736657,752463,662079,561567,554602,605278,619874,558483,597856,648784
 "30000","Montana",7,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",25039,23467,23908,27336,23028,17063,27804,33479,43948,47557,43054,37747,45665,48071,63131,70327,78976,82894,96629,70700,73902,69874,44370,45611,51088
 "30000","Montana",7,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",156695,169746,178313,198501,199718,193911,221648,251060,282889,308013,321828,295895,318449,360194,386204,405462,396220,380591,352023,361187,377565,401672,408004,448246,470264
 "30000","Montana",7,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",35138,29884,32752,48877,46790,50995,79507,104603,144163,148015,180622,122619,145832,199415,265223,260868,277267,198594,112915,122715,153811,148328,106109,103999,127432
 "30000","Montana",7,SAINC7N,300,"22","   Utilities ","Thousands of dollars",154437,164689,167645,167374,163625,166966,169298,179411,190823,201286,214852,226810,228398,243518,245058,250078,256076,269455,261318,255704,248278,262188,280264,273010,282634
 "30000","Montana",7,SAINC7N,400,"23","   Construction ","Thousands of dollars",560594,591149,611807,670300,685492,766999,835407,970325,1102994,1268986,1190490,986701,956476,996312,1039524,1107678,1179664,1298858,1349985,1434441,1579334,1658402,1763391,1997913,2400757
