GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "91000","New England",1,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",246152313,264366232,291619018,299152717,296965098,303319988,319790421,330614356,348713279,369491594,377983758,361801936,370497612,384763248,398194952,408168740,427974462,448908753,460159358,477839983,496913208,519076091,525237028,571125959,609376924
 "91000","New England",1,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",354232,324845,379668,393711,497086,444634,430306,344945,384223,444450,408243,394894,376996,327806,532587,542864,575699,467690,531238,451774,425078,341852,365662,347121,503013
 "91000","New England",1,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",245798081,264041387,291239350,298759006,296468012,302875354,319360115,330269411,348329056,369047144,377575515,361407042,370120616,384435442,397662365,407625876,427398763,448441063,459628120,477388209,496488130,518734239,524871366,570778838,608873911
 "91000","New England",1,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",212806832,229443474,254688165,259972508,255877526,260731550,275630254,285101122,301350532,319730246,325996627,309063276,317722669,331411442,344109035,352911704,370908839,389941961,400490569,417045506,434550399,455007320,459688540,503746932,538502797
 "91000","New England",1,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",264040,302973,331573,(D),(D),(D),428677,471225,470468,485792,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),639408,(D)
 "91000","New England",1,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",96761,101197,110019,(D),103179,104653,116607,123722,132460,131711,131240,124249,(D),(D),(D),132759,(D),(D),(D),(D),(D),(D),148750,(D),(D)
 "91000","New England",1,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",84259,103732,118036,(D),(D),(D),(D),(D),(D),(D),174048,(D),214292,239851,243031,214362,(D),(D),(D),268538,(D),271501,250350,313544,262050
 "91000","New England",1,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",83020,98044,103518,108320,118086,(D),(D),(D),(D),(D),(D),(D),173033,107800,(D),(D),134341,141802,142808,(D),(D),158207,(D),(D),184493
 "91000","New England",1,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",140107,152110,151376,(D),(D),(D),197567,204614,225598,221075,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),209367,(D)
 "91000","New England",1,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",904,454,585,0,(D),(D),991,1065,537,1264,(D),(D),544,899,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",131098,142931,142598,166541,(D),181618,189707,198846,220113,208849,(D),(D),(D),(D),(D),(D),(D),(D),(D),185731,188922,(D),193791,191754,215885
 "91000","New England",1,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",8105,8725,8193,(D),3342,(D),6869,4703,4948,10962,11796,11010,(D),(D),16217,(D),20689,20029,19147,(D),16897,18624,(D),(D),18416
 "91000","New England",1,SAINC7N,300,"22","   Utilities ","Thousands of dollars",1948409,1988897,2131684,(D),(D),2068046,2217969,2117396,2032219,2183653,2331300,2353365,2352734,2465526,2389461,2396258,2493971,2483340,2439139,2721695,2775684,2907652,3004806,3055257,(D)
 "91000","New England",1,SAINC7N,400,"23","   Construction ","Thousands of dollars",9905988,11170983,12749252,14076346,(D),14261951,14924311,15390324,16189838,16757617,16701314,14094332,13464032,14007611,14734737,15589815,16722297,18379877,19684459,(D),22279055,23685137,23480393,25763537,27801596
 "91000","New England",1,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",2280700,2582083,2909630,3257234,(D),3483712,3744760,3880270,4059148,4137661,4041833,3288721,3061005,3174580,3306004,3492811,3771658,4187617,4507191,4711626,4965205,5285983,5297340,5755886,6352571
 "91000","New England",1,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1610119,1805887,1975476,2076698,(D),1928875,1837297,1832117,1849453,1955152,1927343,1710984,1847320,1916369,2085533,2083029,2234966,2422336,2598165,(D),2918516,3024823,3225229,3248475,3360628
 "91000","New England",1,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",6015169,6783013,7864146,8742414,8806998,8849364,9342254,9677937,10281237,10664804,10732138,9094627,8555707,8916662,9343200,10013975,10715673,11769924,12579103,13348314,14395334,15374331,14957824,16759176,18088397
 "91000","New England",1,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",42430825,44360505,47358721,45438828,42034721,41236417,42033043,42282019,43352254,45270819,44344609,40145013,41703312,43214087,43817906,44320566,45115876,45769526,45199449,46526520,47280737,48431704,48325669,50303692,52877410
 "91000","New England",1,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",30511625,31992090,34376743,32892000,30062916,29208663,(D),30360412,31235805,32709141,32388316,29219360,30520812,31813482,32293334,32480726,32889490,32818534,33166326,34049703,34666579,35821102,35458572,36684791,38405546
 "91000","New England",1,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",568604,601119,659315,615381,(D),604928,(D),(D),(D),628028,(D),450206,(D),(D),(D),507186,535552,(D),(D),(D),593077,599318,(D),666035,745343
 "91000","New England",1,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",712155,756582,798245,786252,748307,709974,747780,777295,801785,841523,788168,664283,667692,683554,697679,702405,745739,776132,809234,833966,850718,848737,838563,888084,942473
 "91000","New England",1,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",891858,923437,945870,852967,762539,721747,746433,747284,(D),(D),(D),(D),(D),(D),(D),(D),689472,672704,674214,688782,720329,755910,708540,727893,(D)
 "91000","New England",1,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",4882201,4886871,5109217,4913727,4564796,4436517,4714238,5007200,5131885,5100929,5126087,4451386,4785920,5040193,5430720,5461311,5541352,5513759,5485143,5659499,5678385,5819798,5675676,5881686,6294290
 "91000","New England",1,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",3782115,3721865,4070309,3812676,3354803,3162865,3388535,3445582,3484428,3756172,3671097,3210659,3312522,3609327,3461341,3397059,3523037,3541870,3475473,3569020,3621951,3730100,3718676,(D),4204863
 "91000","New England",1,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",9920669,10745384,12457110,11422763,9791221,9536407,9698375,9438516,9698905,10362471,9978466,9112436,9757091,9961662,9942354,9821931,10018995,9966592,10220590,10209046,10177812,10381327,10502357,10828281,11115394
 "91000","New England",1,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1830166,1890041,2098904,2099809,(D),1918900,1888616,1852226,1914597,2123260,2155432,1915894,1919905,2073560,2084041,2205657,2075376,(D),1842332,1775271,1783168,1838978,(D),1760041,1824422
 "91000","New England",1,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",571810,586520,573205,508047,478325,463446,509855,(D),446917,(D),(D),314560,309761,317566,320442,(D),(D),414112,(D),(D),(D),436806,381441,(D),(D)
 "91000","New England",1,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",4035630,4174081,4131780,4264191,(D),4362075,4516110,(D),(D),(D),(D),5425556,5559673,5766298,5909961,6084178,6068776,6151433,(D),6693174,7179413,7626103,7698038,7609983,7913261
 "91000","New England",1,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",554334,605649,643026,625858,625091,594775,613144,623622,633742,650383,(D),(D),506696,509956,518927,524459,(D),560952,568008,586366,(D),589499,562286,625060,670132
 "91000","New England",1,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",2762083,3100541,2889762,2990329,2988453,2697029,2725719,2713253,2770074,2744754,2738296,2525853,2591406,2697917,2742728,2752419,2748898,2810641,2805327,3028301,3034120,3194526,3011468,3318090,3459183
 "91000","New England",1,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",11919200,12368415,12981978,12546828,11971805,12027754,(D),11921607,12116449,12561678,11956293,10925653,11182500,11400605,11524572,11839840,12226386,12950992,12033123,12476817,12614158,12610602,12867097,13618901,14471864
 "91000","New England",1,SAINC7N,531,"311","     Food manufacturing ","Thousands of dollars",1324356,1383518,1492907,1481358,1504061,1544334,1583786,1644827,1696724,1710251,1749079,1785729,1871118,1916505,1975038,2064028,2142210,2201263,2261889,2419399,2410269,2486839,2547444,2764747,2940846
 "91000","New England",1,SAINC7N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",276326,290241,311435,344788,354746,382258,340777,360053,372346,382037,357215,331508,350082,360439,391381,375327,433223,499421,553114,570222,631665,713937,751246,838153,862642
 "91000","New England",1,SAINC7N,533,"313","     Textile mills ","Thousands of dollars",945585,910051,907180,807126,759258,711207,664733,(D),(D),(D),481401,(D),(D),(D),(D),(D),(D),515905,(D),(D),(D),486066,456953,467543,473457
 "91000","New England",1,SAINC7N,534,"314","     Textile product mills ","Thousands of dollars",214440,225011,238018,229598,209575,213253,205342,199894,204724,221751,224200,(D),175480,181062,181017,195310,(D),(D),(D),(D),(D),(D),196303,(D),(D)
 "91000","New England",1,SAINC7N,535,"315","     Apparel manufacturing ","Thousands of dollars",367601,318914,300671,(D),(D),(D),186866,178038,(D),146188,140748,106355,(D),(D),(D),(D),126682,133904,(D),(D),(D),(D),126264,139189,147838
 "91000","New England",1,SAINC7N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",310979,293446,284825,(D),208101,(D),(D),(D),(D),(D),(D),(D),180631,(D),(D),208550,234944,249033,263904,264406,235632,228993,205923,210301,256404
 "91000","New England",1,SAINC7N,537,"322","     Paper manufacturing ","Thousands of dollars",2094037,2132231,2181065,2081789,(D),1977356,1875088,1774604,1715476,1711009,1662578,1435967,1473291,1440832,1417441,(D),1396035,1361077,1276989,1267545,1342483,1313618,1241375,1278645,1346849
 "91000","New England",1,SAINC7N,538,"323","     Printing and related support activities ","Thousands of dollars",1723627,1741590,1789616,1698464,1542669,1471617,1507673,1513014,1612778,1631703,1537058,1335746,1276485,(D),1263672,1275385,1278059,1365962,1353789,1344812,1343622,1300932,1246508,1188358,1256961
 "91000","New England",1,SAINC7N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",99104,107315,110418,111897,(D),128518,138565,140530,141290,122718,117922,112004,117741,118580,119830,124979,(D),(D),(D),(D),(D),(D),185774,(D),(D)
 "91000","New England",1,SAINC7N,541,"325","     Chemical manufacturing ","Thousands of dollars",2853234,3195563,3509910,3551011,3415630,3571609,3473562,3624328,3726577,4289340,3867638,3653273,3707885,3816043,3847547,3974989,4147744,4556063,3556904,3778090,3839517,3711061,4058045,4406882,4680732
 "91000","New England",1,SAINC7N,542,"326","     Plastics and rubber products manufacturing ","Thousands of dollars",1709911,1770535,1855933,1711435,1623689,1568581,1583735,1587306,1656800,(D),(D),(D),1491261,(D),1535213,1597906,1630642,1697272,1741033,(D),1790709,1824793,1851262,1923356,2077843
 "91000","New England",1,SAINC7N,600,"42","   Wholesale trade ","Thousands of dollars",13939986,14923197,16769994,16884402,16321239,16846675,17697883,18161193,19750151,20541471,20806743,19372079,19394606,20160231,20380404,20933489,21757180,22732084,23246686,23935486,24070514,24613582,24945926,28199694,30794508
 "91000","New England",1,SAINC7N,700,"44-45","   Retail trade ","Thousands of dollars",17182141,18209514,19730448,20438600,20824113,21355778,22131215,22428424,22430762,22748076,22596464,21695008,21916344,22281034,22751083,23182404,24074324,25136632,25749048,26361120,27212026,28153892,28622986,31723555,33974927
 "91000","New England",1,SAINC7N,701,"441","    Motor vehicle and parts dealers ","Thousands of dollars",3025106,3256837,3521488,3713028,3884997,4088971,4130789,4172185,4120581,4092394,3921255,3621632,3737053,3938439,4047946,4251913,4527682,4834967,4938479,5065170,5215254,5436218,5255048,6327139,6563648
 "91000","New England",1,SAINC7N,702,"442","    Furniture and home furnishings stores ","Thousands of dollars",664502,739167,815254,839712,862144,868553,932139,925782,928228,915507,863990,712887,710366,718237,745452,778534,819212,844985,880058,905089,914078,950112,864219,1025315,982037
 "91000","New England",1,SAINC7N,703,"443","    Electronics and appliance stores ","Thousands of dollars",960384,1039809,1171603,1150496,1092067,1040264,1030806,1098839,1079989,1058395,1087140,983614,1012895,1051430,1023205,996085,1005811,1042501,1036590,1033524,1019721,1003536,1019556,1147612,1072137
 "91000","New England",1,SAINC7N,704,"444","    Building material and garden equipment and supplies dealers ","Thousands of dollars",1501764,1626609,1788377,1871204,1981131,2072712,2257315,2345051,2440364,2376457,2326109,2125927,2109973,2140280,2174675,2206035,2284655,2387871,2482380,2472810,2564153,2628455,2937184,3192056,3220799
 "91000","New England",1,SAINC7N,705,"445","    Food and beverage stores ","Thousands of dollars",3244869,3349927,3560726,3714921,3846288,3766956,3853861,3819496,3920461,4141315,4247621,4254502,4249958,4302232,4425586,4502310,4680266,4840856,4996302,5182245,5262099,5389791,5881017,6017013,6305300
 "91000","New England",1,SAINC7N,706,"446","    Health and personal care stores ","Thousands of dollars",1211320,1250701,1310286,1325903,1386950,1534500,1600777,1654743,1711487,1854043,1886261,1883927,1904793,1907805,1953141,1961438,2001973,2074348,2125786,2207963,2221009,2235299,2189183,2347244,2300774
 "91000","New England",1,SAINC7N,707,"447","    Gasoline stations ","Thousands of dollars",575313,604246,629038,665606,687329,707338,720694,719570,729100,738459,734720,729141,728629,724258,735741,746469,770100,817830,856034,895217,918448,952738,996747,1038326,1155885
 "91000","New England",1,SAINC7N,708,"448","    Clothing and clothing accessories stores ","Thousands of dollars",1295189,1350117,1453655,1509286,1538450,1569544,1655350,1678243,1620595,1671433,1674112,1532613,1558907,1441513,1523893,1530334,1525508,1578771,1588913,1589812,1573649,1562577,1230495,1446362,1563530
 "91000","New England",1,SAINC7N,709,"451","    Sporting goods, hobby, musical instrument, and book stores ","Thousands of dollars",613023,660882,699857,728033,743212,733760,748618,733391,744985,741244,730007,694088,679249,645037,644313,661171,669914,686041,681116,680329,678979,694611,654212,786938,814526
 "91000","New England",1,SAINC7N,711,"452","    General merchandise stores ","Thousands of dollars",1669939,1715858,1882162,1925549,2011688,2052628,2166596,2241351,2273953,2211733,2235588,2291062,2337014,2496915,2514669,2530394,2587314,2661320,2698669,2732209,2788879,2814827,2872074,3188677,3288419
 "91000","New England",1,SAINC7N,712,"453","    Miscellaneous store retailers ","Thousands of dollars",1045847,1183711,1206505,1219889,1192103,1230840,1281390,1250783,1132324,1109775,1051674,957941,970448,940348,962679,976939,999552,1025045,1058623,1106045,1127821,1187155,1119512,1375698,1436463
 "91000","New England",1,SAINC7N,713,"454","    Nonstore retailers ","Thousands of dollars",1374885,1431650,1691497,1774973,1597754,1689712,1752880,1788990,1728695,1837321,1837987,1907674,1917059,1974540,1999783,2040782,2202337,2342097,2406098,2490707,2927936,3298573,3603739,3831175,5271409
 "91000","New England",1,SAINC7N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",5059952,5448435,5834983,(D),(D),5876560,6128566,6289242,6617770,7045335,7060891,6642692,6720931,7036351,7285750,7434789,7934217,8440113,8737600,9099409,9670004,10243384,10206280,11428166,12677810
 "91000","New England",1,SAINC7N,801,"481","    Air transportation ","Thousands of dollars",525359,591022,663262,710409,669524,614355,599467,569844,552434,598462,568401,539953,516361,549493,558393,569489,607463,667879,742802,809994,896285,966611,879552,937378,1204993
 "91000","New England",1,SAINC7N,802,"482","    Rail transportation ","Thousands of dollars",293628,314499,314624,(D),(D),(D),308194,(D),329672,344767,400611,401130,388965,415381,442772,448638,(D),493965,491935,498290,505444,508401,(D),501396,(D)
 "91000","New England",1,SAINC7N,803,"483","    Water transportation ","Thousands of dollars",101444,112038,116160,134324,140108,(D),150127,(D),139603,283263,178721,(D),(D),(D),(D),172110,160434,162293,147845,(D),142568,148163,119236,148180,156714
 "91000","New England",1,SAINC7N,804,"484","    Truck transportation ","Thousands of dollars",1349915,1423252,1517058,1530337,1494677,1523721,1582902,1617595,1675112,1689636,1667101,1496599,1527129,1589202,1637929,1704019,1802887,1897900,1947379,2002741,2123657,2202973,2238600,2491121,2687569
 "91000","New England",1,SAINC7N,805,"485","    Transit and ground passenger transportation ","Thousands of dollars",758114,819063,846440,855137,884432,895058,936836,952219,1039066,1112889,1164326,1160355,1210059,1284630,1353120,1418967,1540599,1657230,1671327,1710983,1762074,1782868,1287830,1535161,1844530
 "91000","New England",1,SAINC7N,806,"486","    Pipeline transportation ","Thousands of dollars",44611,39841,39843,27555,31266,34668,37558,34150,35100,38087,45234,49316,(D),(D),(D),47516,47131,(D),(D),(D),(D),(D),58806,(D),(D)
 "91000","New England",1,SAINC7N,807,"487","    Scenic and sightseeing transportation ","Thousands of dollars",42343,45169,45574,(D),48019,47055,48359,47740,46357,52626,55068,55384,58066,60990,61134,64644,(D),73726,77614,84331,(D),(D),(D),(D),(D)
 "91000","New England",1,SAINC7N,808,"488","    Support activities for transportation ","Thousands of dollars",494527,523280,565348,561279,558967,570756,625282,671253,736665,754698,821063,710240,690569,710976,757277,739459,789208,871795,878618,908833,967430,1033944,977395,1114014,1288683
 "91000","New England",1,SAINC7N,809,"492","    Couriers and messengers ","Thousands of dollars",808145,880153,945124,911794,907453,928794,974586,985340,1005840,1037104,1037192,(D),975615,995502,1021558,(D),(D),(D),(D),1259877,1386727,(D),(D),2128554,2152755
 "91000","New England",1,SAINC7N,811,"493","    Warehousing and storage ","Thousands of dollars",641866,700118,781550,726934,727055,810068,865255,948206,1057921,1133803,1123174,1088768,1136791,1193953,1212918,(D),(D),1407869,1534311,1612218,1747439,1892900,2167124,2438580,2668904
 "91000","New England",1,SAINC7N,900,"51","   Information ","Thousands of dollars",9279496,10274447,12070322,12105272,(D),10501024,10823015,11278634,11751451,12159937,12580708,11755383,12436936,12720615,13196302,13419487,14234178,15034570,15537255,15979150,17121617,18088865,19612554,21850547,22307942
 "91000","New England",1,SAINC7N,901,"511","    Publishing industries (except Internet) ","Thousands of dollars",4430405,4906608,5357346,5408367,4785020,4581599,4694955,5234255,5373083,5660057,5766128,5254020,5713665,5798952,5910763,5930023,6391269,6644904,6925288,7276483,7722086,8297460,8591458,10013137,10335146
 "91000","New England",1,SAINC7N,902,"512","    Motion picture and sound recording industries ","Thousands of dollars",256624,266457,299636,299455,268511,262550,254537,261864,306046,346997,444362,459839,447115,449918,508651,603924,611497,689480,709917,769790,859267,937434,771347,950734,1017402
 "91000","New England",1,SAINC7N,903,"515","    Broadcasting (except Internet) ","Thousands of dollars",626750,667488,738346,766016,735514,791626,839848,864825,947843,1009692,1023914,985734,1008452,1060742,1107575,1181566,1278904,1358290,1393036,1373259,1420061,1554897,1339962,1396511,1512785
 "91000","New England",1,SAINC7N,904,"516","    Internet publishing and broadcasting 2/","Thousands of dollars",110566,183935,369415,378249,(D),247027,(D),(D),265696,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "91000","New England",1,SAINC7N,905,"517","    Telecommunications ","Thousands of dollars",2747625,2909308,3371250,3434319,3191908,3145677,3128331,3047395,3159459,3279910,3375989,3164634,3109955,3146956,3091476,3074633,3083042,3203542,3147738,3191883,3238248,3278303,3646015,3582120,3612448
 "91000","New England",1,SAINC7N,906,"518","    Data processing, hosting, and related services ","Thousands of dollars",989901,1218060,1809296,1696872,1501733,1359062,1518180,1495738,1569736,1144926,1088531,1078766,1129287,1171778,1266580,1311109,1367118,1477185,1726133,1585301,1826109,1675681,1954793,2382681,2814991
 "91000","New England",1,SAINC7N,907,"519","    Other information services 2/","Thousands of dollars",117625,122591,125033,121994,114447,113483,(D),(D),129588,718355,881784,812390,1028462,1092269,1311257,1318232,1502348,1661169,1635143,1782434,2055846,2345090,3308979,3525364,3015170
 "91000","New England",1,SAINC7N,1000,"52","   Finance and insurance ","Thousands of dollars",23621024,26962613,30928282,32727451,32394080,33597185,37522380,38680460,41460931,45425004,45236081,40811591,42735943,45010205,45881228,45642974,48522774,50981540,51365201,53219468,54983456,56181671,58765701,61199052,63696091
 "91000","New England",1,SAINC7N,1001,"521","    Monetary Authorities-central bank ","Thousands of dollars",56624,59939,61254,(D),(D),80278,74036,(D),76625,77851,(D),83379,85072,(D),98331,111586,(D),128473,(D),(D),(D),(D),(D),(D),173939
 "91000","New England",1,SAINC7N,1002,"522","    Credit intermediation and related activities ","Thousands of dollars",5729702,6529522,6927431,7448514,7904941,8806476,9259210,8862813,9088210,9448232,9361603,8791788,8665089,9230356,9758248,(D),10054812,(D),(D),11184152,11298379,11946408,12587619,12903824,12918236
 "91000","New England",1,SAINC7N,1003,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",8623073,10369213,13401908,(D),12857757,12399025,14752044,(D),17895847,20558985,(D),17212964,18722761,19753480,19560714,(D),20858749,21449816,21742312,(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAINC7N,1004,"524","    Insurance carriers and related activities ","Thousands of dollars",9105179,9863533,10342576,11246336,11443499,12182666,13298081,13747548,14229297,15260793,15159606,14659812,15238830,15926280,16445950,16834511,17475297,18556091,18517148,19263530,20218789,20708434,21593271,21827795,23248300
 "91000","New England",1,SAINC7N,1005,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",106446,140406,195113,120808,(D),128740,139009,154225,170952,79143,74725,63648,24191,(D),17985,(D),(D),(D),17245,22782,62430,57850,50621,59996,(D)
 "91000","New England",1,SAINC7N,1100,"53","   Real estate and rental and leasing ","Thousands of dollars",2918038,3133756,3540498,3673217,3743963,3792259,4042283,4263319,4533075,4618998,4550681,4224815,4362806,4650413,4947360,5193384,5439917,5711095,5955881,6103441,6504252,6966516,6971741,7606994,8614599
 "91000","New England",1,SAINC7N,1101,"531","    Real estate ","Thousands of dollars",2102304,2267863,2591284,2699057,2779766,2810131,3023660,3236370,3427058,3494187,3459808,(D),3357522,3549342,3802267,4007012,4177446,4421737,4641108,4791750,5076161,5444552,5591626,6144806,6852057
 "91000","New England",1,SAINC7N,1102,"532","    Rental and leasing services ","Thousands of dollars",767533,805458,887950,(D),(D),904909,(D),(D),(D),(D),(D),(D),(D),(D),996262,(D),1111443,(D),1146720,1140126,(D),(D),(D),(D),1549917
 "91000","New England",1,SAINC7N,1103,"533","    Lessors of nonfinancial intangible assets (except copyrighted works) ","Thousands of dollars",48201,60435,61264,(D),(D),77219,(D),(D),(D),(D),(D),119014,(D),(D),148831,(D),151028,(D),168053,171565,(D),(D),(D),(D),212625
 "91000","New England",1,SAINC7N,1200,"54","   Professional, scientific, and technical services ","Thousands of dollars",21595324,24380649,29012833,29396119,27267372,27050658,28974803,31113521,34094354,36506997,39077941,37464011,38770909,40798218,43533828,45471914,48756632,52250429,54914237,59368350,63728062,69347834,74382681,84522256,89592765
 "91000","New England",1,SAINC7N,1300,"55","   Management of companies and enterprises ","Thousands of dollars",7682888,8319387,9068695,8944141,8215873,8828297,9665350,10340233,11340402,12563738,12276895,11763422,11916834,13533373,14832252,15362660,16464832,17870518,17531839,17598993,18845018,19330147,19038500,22038340,20621790
 "91000","New England",1,SAINC7N,1400,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",8126390,8660233,9817492,9740088,9441170,9548465,10285688,10817597,11618897,12771765,12799329,11575486,12129250,12911688,13578603,13947751,14806570,15852983,16415624,17276581,18119910,19087831,18814086,21327110,24967222
 "91000","New England",1,SAINC7N,1401,"561","    Administrative and support services ","Thousands of dollars",7425926,7922832,9029507,8916894,8573300,8645732,9313295,9772413,10493358,11620951,11635065,10495558,11006794,11719635,12348982,12696176,13464565,14432393,14955168,15661621,16437126,17300911,16966227,19221331,22786686
 "91000","New England",1,SAINC7N,1402,"562","    Waste management and remediation services ","Thousands of dollars",700464,737401,787985,823194,867870,902733,972393,1045184,1125539,1150814,1164264,1079928,1122456,1192053,1229621,1251575,1342005,1420590,1460456,1614960,1682784,1786920,1847859,2105779,2180536
 "91000","New England",1,SAINC7N,1500,"61","   Educational services ","Thousands of dollars",6884801,7288679,8005006,8654295,9433916,9845408,10340984,10597763,11156629,12084129,12861101,13276123,13819754,14416427,14935717,15616481,16225032,16695871,17376536,18162121,18876925,19849324,20161835,20823501,22281674
 "91000","New England",1,SAINC7N,1600,"62","   Health care and social assistance ","Thousands of dollars",26371196,27435369,29295189,30699096,32891807,34900182,36872967,38916726,41627143,44486943,47613365,49534040,51267991,52651820,55048580,56515660,58727957,61251117,63341306,65336685,66840981,69949408,71723485,76255603,81020275
 "91000","New England",1,SAINC7N,1601,"621","    Ambulatory health care services ","Thousands of dollars",10346278,10569992,11170800,11744682,12445268,12894170,13755786,14498099,15517303,16528043,17612949,18504527,19107036,19831047,20822130,21487341,22280084,23444877,24479618,25369027,26302906,27551190,27447947,30241260,32016434
