GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "31000","Nebraska",4,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",24000636,25470909,27013847,27997991,28849334,29908988,31274834,32451246,34293650,36272000,37603765,37040752,37485734,38569717,40467651,41516417,43427985,45775605,46904773,48585116,50446735,52393610,54045037,57610427,62052058
 "31000","Nebraska",4,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",310553,294119,331114,375677,347930,416932,389857,350983,380275,458219,467726,473952,432819,469545,500346,488340,506271,560942,541562,612456,612971,590684,528222,558530,548539
 "31000","Nebraska",4,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",23690083,25176790,26682733,27622314,28501404,29492056,30884977,32100263,33913375,35813781,37136039,36566800,37052915,38100172,39967305,41028077,42921714,45214663,46363211,47972660,49833764,51802926,53516815,57051897,61503519
 "31000","Nebraska",4,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",19301221,20694419,22004959,22654874,23191609,23902281,25059268,26086070,27642851,29344728,30370637,29516704,29787402,30726366,32508450,33442659,35140534,37163274,38085054,39501240,41163361,42897899,44345006,47596007,51511949
 "31000","Nebraska",4,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",48690,50578,53803,52624,48943,53718,56173,65880,67859,80154,93296,100388,107633,123707,136543,154458,160228,161552,172380,177238,180830,192331,208732,212706,220558
 "31000","Nebraska",4,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),(D),705,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),336,516,532,495,446,432,377,375
 "31000","Nebraska",4,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),108,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0
 "31000","Nebraska",4,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",42785,43219,45369,51825,48040,52905,55242,64916,67011,79755,93080,100266,107490,123501,136224,154079,159947,161216,171864,176706,180335,191885,208300,212329,220183
 "31000","Nebraska",4,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",43843,44784,45066,45030,44666,52152,55726,57007,55810,40601,43568,41005,43072,48863,58163,54539,60262,58052,55735,58216,63384,62047,62282,66235,74486
 "31000","Nebraska",4,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),4763,3286,3510,3649,4395,3716,3978,4470,3768,3057,3079,3966,3071,2960,2349,1874,3334,4056,3919,3451,3571,3964
 "31000","Nebraska",4,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",31710,34777,34791,36563,37959,44653,47465,47257,46364,31029,32855,31836,33331,37964,41460,41432,44077,45739,46940,48639,51120,49427,50913,53279,59860
 "31000","Nebraska",4,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",3773,2900,3729,3704,3421,3989,4612,5355,5730,5594,6243,5401,6684,7820,12737,10036,13225,9964,6921,6243,8208,8701,7918,9385,10662
