GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",170532031,178845011,187374685,190021284,192172438,197003788,204940163,210350118,217980043,224967049,226722509,215260670,218553061,228203675,239220908,244420686,255081689,264783611,270997873,281633465,291619872,302450733,305789699,326680556,350126684
 "39000","Ohio",3,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",313291,293390,287817,311613,289238,342175,375533,333080,317899,459356,370003,389454,302237,382849,523925,484396,435883,564474,637860,499600,507493,519336,446515,433793,495608
 "39000","Ohio",3,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",170218740,178551621,187086868,189709671,191883200,196661613,204564630,210017038,217662144,224507693,226352506,214871216,218250824,227820826,238696983,243936290,254645806,264219137,270360013,281133865,291112379,301931397,305343184,326246763,349631076
 "39000","Ohio",3,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",146106362,153538144,160375642,161699433,162249268,165838400,172721180,177525061,184547799,190212204,191097406,178889030,181734986,191204053,201697200,206967683,217183993,225657032,230854595,240275196,249019097,258444781,260636374,280190237,301448077
 "39000","Ohio",3,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",61663,66224,66563,70487,75710,80410,87688,87676,89745,96689,104122,107687,116626,119977,131648,141702,152366,160819,170999,179331,187761,196368,206835,217625,229364
 "39000","Ohio",3,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",15600,15109,14787,13683,14389,14772,16736,12641,12963,12956,11131,9981,11262,10575,11140,11533,11995,12395,9955,10122,11254,12549,13027,14226,16262
 "39000","Ohio",3,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),534,666,770,712,575,553,685,540,607,801,814,843,907,1045,1059,1155,1273,1419,1407,1554,2076,2601
 "39000","Ohio",3,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",44707,49640,50251,56270,60655,64868,70240,74460,76229,83048,92451,97099,104563,108588,119665,129262,139326,147365,159889,167936,175088,182412,192254,201323,210501
 "39000","Ohio",3,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",550249,559737,545252,598542,555147,538952,572460,605503,647310,673882,719763,719258,727554,811275,894871,791629,1024275,952443,770776,808942,884161,877771,682458,646448,738196
 "39000","Ohio",3,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",118863,134917,129087,149776,158459,162766,169759,182293,218592,225270,225536,225857,246964,288727,322432,129453,163415,139407,124778,79640,84186,88886,86197,97264,112118
 "39000","Ohio",3,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",373438,369855,356852,376536,311050,289870,298493,314297,304712,305336,326140,334614,332190,350977,361355,362449,383901,362594,313373,284499,296817,300752,287757,273352,306073
 "39000","Ohio",3,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",57948,54965,59313,72230,85638,86316,104208,108913,124006,143276,168087,158787,148400,171571,211084,299727,476959,450442,332625,444803,503158,488133,308504,275832,320005
 "39000","Ohio",3,SAINC7N,300,"22","   Utilities ","Thousands of dollars",1311909,1293106,1350168,1441964,1385837,1431922,1374002,1481959,1562572,1640040,1755866,1765158,1679380,1676186,1696837,1702844,1699655,1855763,1863224,1930786,2013392,1996294,2049473,2041353,2104678
 "39000","Ohio",3,SAINC7N,400,"23","   Construction ","Thousands of dollars",8140179,8841159,9366573,9397634,9456569,9396552,9727550,9868508,10164808,10415179,10185120,8953557,8348227,8992884,9591187,10107890,11016233,11669505,12231241,13766016,14034535,14721532,14793404,15655187,17136935
 "39000","Ohio",3,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",1957605,2135058,2213211,2262086,2371375,2348820,2439241,2510883,2559020,2535290,2555069,2104286,1948295,2123673,2171865,2292130,2443358,2555815,2730598,2894352,3125647,3380150,3395631,3659233,4115901
 "39000","Ohio",3,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1112581,1179071,1244545,1234187,1177665,1195970,1224234,1282483,1347871,1389537,1391082,1489909,1259693,1354117,1447937,1792116,2025857,2116132,2075124,3024522,2684889,2606979,2467929,2456755,2639975
 "39000","Ohio",3,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",5069993,5527030,5908817,5901361,5907529,5851762,6064075,6075142,6257917,6490352,6238969,5359362,5140239,5515094,5971385,6023644,6547018,6997558,7425519,7847142,8223999,8734403,8929844,9539199,10381059
 "39000","Ohio",3,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",41996175,43184361,43946621,41189071,39502843,39381708,40008448,40101883,40923365,40764385,39293824,33290977,34113856,36505457,37707892,38240668,40160513,41273017,41582975,42559737,44347596,45478572,43911212,46083799,49530598
 "39000","Ohio",3,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",30647811,31465228,32028554,29802504,28048523,27893854,28427265,28463118,29235013,29025577,27800847,22577822,23107190,25012063,26011439,26390560,27838905,28407417,28315705,28971103,30229143,30740053,28734106,30069800,32616292
 "39000","Ohio",3,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",568124,603046,619251,597513,559194,559229,577036,548868,558294,539138,484082,396095,396268,391043,410307,431805,471275,504256,540659,560128,584859,603270,619706,691423,761173
 "39000","Ohio",3,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",1617739,1676069,1751246,1664827,1645117,1563638,1552502,1544401,1588269,1535884,1443331,1256125,1334352,1352297,1417640,1450488,1489282,1455219,1579589,1647291,1707749,1715505,1681095,1762297,1858421
 "39000","Ohio",3,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",3979823,3940815,3928372,3545357,3117890,3103230,3138853,3167404,3305116,3251390,2998308,2119593,2246655,2488446,2446745,2503901,2626309,2553116,2483993,2506254,2549843,2543074,2462867,2645745,2974223
 "39000","Ohio",3,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",5258720,5298685,5522830,5139149,4887143,4913992,5203081,5310325,5539511,5744171,5802150,4789006,4912839,5398512,5666418,5513363,5749290,5742138,5448630,5666486,5970216,6059453,5567909,5962209,6436769
 "39000","Ohio",3,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",4816879,4705435,4782529,4421408,3928538,3887013,4044075,4213889,4402847,4390023,4407337,3637646,3752147,4226734,4489461,4618150,4897860,4943468,4854060,5067624,5334217,5401034,5125857,5401145,5860262
 "39000","Ohio",3,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",1684402,1740814,1889873,1740161,1403471,1242716,1236042,1244832,1246703,1407878,1544704,1299807,1302932,1334903,1313965,1304632,1288499,1414080,1391258,1413111,1489527,1522592,1519407,1544299,1667152
 "39000","Ohio",3,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1707551,1737892,1798254,1698821,1682960,1687598,1644348,1615707,1605880,1663625,1648652,1435825,1431088,1555626,1627151,1655604,1704094,1725564,1646938,1674182,1646428,1675749,1643599,1827848,1796511
