GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",38191567,39820646,42486440,44622573,45171642,46238054,48469663,51111460,56339439,59599333,63303528,61167476,62371565,66177088,70159176,72310886,75569526,76957817,75709303,78207172,82167258,85456534,84632230,88792363,96033912
 "40000","Oklahoma",6,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",167828,191816,184560,207706,146711,173629,243545,233013,223590,316365,344086,260158,258198,281011,347747,284072,310042,191174,210289,219039,190773,243789,246017,226949,256082
 "40000","Oklahoma",6,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",38023739,39628830,42301880,44414867,45024931,46064425,48226118,50878447,56115849,59282968,62959442,60907318,62113367,65896077,69811429,72026814,75259484,76766643,75499014,77988133,81976485,85212745,84386213,88565414,95777830
 "40000","Oklahoma",6,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",29734267,30905772,32991115,34546214,34590519,35343901,37054330,39087607,43585569,45948199,48958319,46241191,47140636,50950728,54667456,56666523,59595866,60701486,59122333,61411685,64842073,66979733,65347394,68950408,75342083
 "40000","Oklahoma",6,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",54133,58702,63596,62558,66586,72760,79698,85538,88660,91166,93534,91387,96652,95551,99262,106894,116988,125654,138678,148821,159282,154803,166502,183046,197578
 "40000","Oklahoma",6,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",7606,8676,9244,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",45834,49409,53902,54247,56000,62911,71188,76216,80445,83424,85220,83891,87558,86993,90213,98276,107483,115584,128336,137963,148201,144774,156711,172809,187590
 "40000","Oklahoma",6,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1386439,1322229,1393055,1629777,1549804,1733677,1931838,2349821,3640348,3676723,4390506,3458017,3664441,4833462,5330301,5656133,5927391,5520331,4269685,4866477,5478703,4934000,3396183,3008533,3492931
 "40000","Oklahoma",6,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",891142,812560,818488,891223,869320,969608,1056884,1239260,2119400,1836030,2170171,1852349,1928161,2506722,2883507,3080908,3109059,3360005,2669931,2613106,2699902,2404104,2053880,1806079,1917680
