GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",175755250,184861731,195893879,201372357,204936278,210522084,220394515,228652623,240660749,253532861,260393288,254386988,259593988,269699896,279983494,285211802,296358847,308370419,312722721,325356295,339272774,354141766,353822539,379762844,408967462
 "42000","Pennsylvania",2,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",413172,371143,424831,431378,533206,491474,490069,404741,452203,553398,508312,477177,469403,408157,554143,557848,563918,486621,552738,554401,521636,414501,448722,425969,607263
 "42000","Pennsylvania",2,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",175342078,184490588,195469048,200940979,204403072,210030610,219904446,228247882,240208546,252979463,259884976,253909811,259124585,269291739,279429351,284653954,295794929,307883798,312169983,324801894,338751138,353727265,353373817,379336875,408360199
 "42000","Pennsylvania",2,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",150872577,159192354,168884816,173203805,175164390,179532557,188330594,196119760,207243088,218767543,224605408,217224294,221823079,232185413,242887069,247478780,258144804,269112919,273055036,284738057,297546770,311386308,309883486,335194094,362490787
 "42000","Pennsylvania",2,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",113540,123962,139402,144983,144833,148020,154960,165307,171733,174225,184613,186548,196801,196697,209104,224692,234085,239716,255267,260776,274927,278931,284539,296263,322752
 "42000","Pennsylvania",2,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",21678,24126,25527,(D),(D),(D),(D),21623,(D),(D),20104,18305,21756,22314,27474,31252,29514,33583,33517,34606,35146,36512,36627,39214,45319
 "42000","Pennsylvania",2,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),8098,(D),(D),(D),(D),3556,(D),(D),2309,1354,1298,1447,1584,1473,1541,1637,1512,1602,1421,1322,1179,1535,1451
 "42000","Pennsylvania",2,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",86650,94294,105777,116009,119702,123718,130007,140128,147895,149891,162200,166889,173747,172936,180046,191967,203030,204496,220238,224568,238360,241097,246733,255514,275982
 "42000","Pennsylvania",2,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",853098,817706,810736,868533,851359,822983,900554,997741,1081122,1159861,1291319,1326639,1757348,2347455,2710545,2721338,3046986,2672622,1937175,2294891,2407132,2518188,1979651,1960840,2224685
 "42000","Pennsylvania",2,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",95966,93519,93277,92163,90493,83710,88615,95581,122199,141778,186919,190883,334503,450543,582795,653374,724568,718489,607889,683941,552561,617232,556311,549400,612837
 "42000","Pennsylvania",2,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",677090,640454,626197,672984,650842,626451,681225,746366,768913,760625,819551,784331,820983,895351,926756,879320,873825,777219,656314,718102,723371,750440,657230,685948,752578
 "42000","Pennsylvania",2,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",80042,83733,91262,103386,110024,112822,130714,155794,190010,257458,284849,351425,601862,1001561,1200994,1188644,1448593,1176914,672972,892848,1131200,1150516,766110,725492,859270
 "42000","Pennsylvania",2,SAINC7N,300,"22","   Utilities ","Thousands of dollars",1995822,2053262,2207626,2235108,2235439,2097359,1940539,1924993,1854115,2019142,2095776,2017390,2059158,2237352,2270851,2273873,2345733,2651971,2656096,2703993,2826348,2717086,2720587,2778938,2793962
 "42000","Pennsylvania",2,SAINC7N,400,"23","   Construction ","Thousands of dollars",7963456,8790912,9647387,10392973,10537467,10746669,11179562,11910501,12893449,13481454,13576577,12147265,11835648,12491603,13013190,13168279,13916839,14518424,15093569,16547679,17516566,18360879,17439605,19100562,20086262
 "42000","Pennsylvania",2,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",1938112,2164599,2325468,2490307,2582951,2643992,2857952,3128866,3237707,3193616,3200464,2757905,2617540,2657006,2780679,2867910,3015364,3277042,3476690,3727371,3939648,4179298,4024195,4352936,4840794
 "42000","Pennsylvania",2,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1136937,1227546,1340575,1518855,1488492,1547777,1622828,1793915,2059075,2159929,2111806,2097353,2193848,2599503,2770304,2599536,2836199,2687923,2669660,3348493,3769763,3735923,3342769,3595148,3175039
