GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",28814471,30632372,32974823,34266548,34840761,35682065,38108456,40869563,45068696,49198920,50590973,48862379,49603272,51945814,55084163,57348654,60569750,64650200,68339320,72535259,78014232,83839532,89755378,99153686,109007445
 "49000","Utah",7,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",91784,91057,105303,108454,125739,111611,121417,140908,137195,161352,148241,167620,147206,147796,170802,190527,184059,154933,177570,192791,192155,139343,205763,224753,183316
 "49000","Utah",7,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",28722687,30541315,32869520,34158094,34715022,35570454,37987039,40728655,44931501,49037568,50442732,48694759,49456066,51798018,54913361,57158127,60385691,64495267,68161750,72342468,77822077,83700189,89549615,98928933,108824129
 "49000","Utah",7,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",23595735,25169070,27065100,27980154,28064496,28663809,30752984,33140197,36970486,40592782,41535375,39431967,40105190,42188686,45214453,47347301,50347749,54067261,57241106,60889127,65723715,70914577,76023900,84557410,93422593
 "49000","Utah",7,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",31147,33073,31744,24353,21650,22401,22603,24524,28221,34057,34953,34125,36580,37842,39513,43768,48284,50183,54631,56871,61746,64973,70549,70454,75854
 "49000","Utah",7,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),1949,1615,1187,876,948,1154,1566,1731,(D),1476,1616,1640,(D),2385,(D),2801,(D),(D),(D),1457,1214,1377
 "49000","Utah",7,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",10772,11142,9282,6869,3678,3687,2214,3174,4798,6262,7102,(D),7685,7988,8766,(D),10517,(D),12013,(D),(D),(D),17763,15040,16711
 "49000","Utah",7,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",17202,18734,19117,15535,16357,17527,19513,20402,22269,26229,26120,26270,27419,28238,29107,31358,35382,36587,39817,42694,46493,48352,51329,54200,57766
 "49000","Utah",7,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",342061,325324,355031,372866,343685,343742,397296,490096,640612,760467,882136,712866,734780,857205,961799,946567,965204,831101,691013,670677,746055,771036,752371,753193,936603
 "49000","Utah",7,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",24847,24927,28663,34996,31073,40424,49276,59495,86264,103306,123358,116020,132646,153354,183410,190807,206890,186086,159015,125534,122451,123299,123367,81465,111864
 "49000","Utah",7,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",246126,241042,246574,227198,212191,201268,211544,237755,279427,294648,323106,318715,322216,349546,348215,333690,333696,328915,297473,301182,367137,388476,400813,416840,472479
 "49000","Utah",7,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",71088,59355,79794,110672,100421,102050,136476,192846,274921,362513,435672,278131,279918,354305,430174,422070,424618,316100,234525,243961,256467,259261,228191,254888,352260
 "49000","Utah",7,SAINC7N,300,"22","   Utilities ","Thousands of dollars",268534,256756,266388,316232,341965,255788,266653,286473,326042,330126,338270,343977,353867,353219,348667,347779,353557,365392,364692,390496,416334,430661,413683,389230,424692
 "49000","Utah",7,SAINC7N,400,"23","   Construction ","Thousands of dollars",1950704,2156469,2253896,2284818,2189878,2184070,2398160,2785165,3547628,4072638,3721034,3023799,2884799,2932971,3197422,3340206,3682837,4110465,4532712,5003461,5548652,6108815,6893514,7687895,8641531
 "49000","Utah",7,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",462589,491975,519370,535821,504290,506541,560721,660358,837139,934765,838459,674820,580400,563522,646173,702817,777594,897823,995131,1105497,1206919,1309358,1460932,1664189,1950633
 "49000","Utah",7,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",322895,348393,361237,351339,363363,311106,337809,374391,477521,601275,542529,485395,554603,574930,564833,542080,565376,588634,580329,630021,696536,813371,943850,972030,1092872
 "49000","Utah",7,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",1165220,1316101,1373289,1397658,1322225,1366423,1499630,1750416,2232968,2536598,2340046,1863584,1749796,1794519,1986416,2095309,2339867,2624008,2957252,3267943,3645197,3986086,4488732,5051676,5598026
 "49000","Utah",7,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",4139494,4234416,4451689,4481105,4219674,4376851,4616886,4847748,5267755,5751151,5995430,5509834,5621288,5841253,6109404,6282645,6549020,6923986,7120657,7516321,7918098,8362171,8640860,9788709,10625975
 "49000","Utah",7,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",3025432,3082937,3256816,3276703,2996560,3096822,3252520,3439399,3758026,4156449,4311023,3872964,3920195,4110340,4293525,4384331,4567814,4832428,4921588,5258889,5519349,5826448,5924180,6755157,7195632
 "49000","Utah",7,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",51970,58019,61030,60948,61805,69807,75020,86142,106046,130145,110843,63476,(D),(D),56047,63438,71720,79990,90607,98319,105456,(D),(D),146737,168289
 "49000","Utah",7,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",166976,170000,178289,174683,162163,169259,183265,204197,247066,287338,271931,227603,216879,226089,241060,248129,265645,262429,267271,303625,304448,313849,306803,338068,393330
 "49000","Utah",7,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",308830,232378,259108,244506,167706,157172,168576,180858,202229,217471,260194,207664,234006,267249,291876,293054,286000,291826,277132,277790,270063,286385,289585,299798,335401
 "49000","Utah",7,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",345255,366724,383272,393714,382394,380221,404024,446239,494481,529875,558284,513585,510499,527759,586783,604945,632479,677099,697418,723578,776580,821776,860162,952326,986583
 "49000","Utah",7,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",245625,241187,248576,256145,238087,228017,227807,251612,274395,299915,319953,287900,290578,306398,308017,310347,331479,339584,333456,356966,386533,411310,390847,424127,488235
 "49000","Utah",7,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",589628,636423,713521,742081,571378,567968,592551,608085,665188,802748,904685,858109,944123,1022013,1056086,1042442,1014002,1057423,1074172,1111551,1161884,1239750,1233284,1283582,1257558
 "49000","Utah",7,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",43296,46815,44562,41947,41943,42363,46665,51802,58749,70765,78637,71527,76103,84555,96142,106101,126720,125796,128377,136261,147226,156884,141302,138891,185179
 "49000","Utah",7,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",281290,288914,295334,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),254619,263131,286960,321637,332697,(D),(D),(D),(D),(D),(D)
 "49000","Utah",7,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",420331,415789,413900,(D),(D),(D),(D),(D),(D),(D),(D),(D),539979,484095,467740,467641,493803,532735,524175,(D),(D),680630,737847,(D),(D)
 "49000","Utah",7,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",173894,196615,207178,207358,216418,220293,237244,247651,283730,304967,267350,186419,169806,173892,173782,181850,195068,217904,232003,246681,260963,268709,317652,406128,372040
