GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",78957245,83730825,88456938,90654202,93016675,96057447,100924536,103845679,108707669,113109537,115996809,110609433,112413333,116881921,121216554,124686149,129425164,135200404,138766642,143773470,150353500,155598802,157117307,168376738,181223776
 "55000","Wisconsin",3,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",558685,506075,586939,564262,608785,577072,631795,598143,589706,788598,781528,741314,650619,604671,785350,795353,867005,727400,874663,856167,899386,900613,779661,871935,937318
 "55000","Wisconsin",3,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",78398560,83224750,87869999,90089940,92407890,95480375,100292741,103247536,108117963,112320939,115215281,109868119,111762714,116277250,120431204,123890796,128558159,134473004,137891979,142917303,149454114,154698189,156337646,167504803,180286458
 "55000","Wisconsin",3,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",66880905,71245737,75130959,76822224,78601313,80939871,85434636,88061878,92445779,96151658,98304927,92567685,94275837,98673310,102901676,106040790,110277533,115795766,118980720,123729455,129782088,134419236,135450536,146082915,158023337
 "55000","Wisconsin",3,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",98562,101988,103876,114029,116549,119849,125002,128360,135064,142398,154115,152253,164269,170099,182503,192881,202317,225821,245444,257480,265764,284391,(D),319282,(D)
 "55000","Wisconsin",3,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",25905,25784,26418,28151,28831,28304,28213,30481,29314,26065,27071,24363,25339,25819,26668,25042,24679,28612,31087,30288,31620,32191,32343,32934,36140
 "55000","Wisconsin",3,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),2021,2060,1824,1905,1918,2001,1953,1875,2005,2730,2569,2335,2277,2003,1977,1879,1956,2153,2349,(D),3216,(D)
 "55000","Wisconsin",3,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",70664,74046,74937,83857,85658,89721,94884,95961,103749,114380,125169,125885,136200,141711,153500,165562,175635,195232,212478,225236,231991,249851,260094,283132,297070
 "55000","Wisconsin",3,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",115837,117503,112531,120578,120976,122199,135289,139948,146690,142395,137940,123032,126819,138350,168896,185271,228586,219529,189823,235429,267051,237066,(D),217802,(D)
 "55000","Wisconsin",3,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",503,(T),487,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0
 "55000","Wisconsin",3,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",112026,113787,108701,118740,119067,120853,133891,138339,144457,140283,135877,121596,125726,135674,163297,178955,220756,215618,186653,231536,262744,234066,208530,211504,247130
 "55000","Wisconsin",3,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3000,(D),6298,(D)
 "55000","Wisconsin",3,SAINC7N,300,"22","   Utilities ","Thousands of dollars",686289,729204,802980,774032,767242,768293,834556,846901,847472,875674,1037584,1052069,1028120,1047626,1068204,1109181,1056215,1085282,972883,1010947,1002309,973019,978662,960002,979670
 "55000","Wisconsin",3,SAINC7N,400,"23","   Construction ","Thousands of dollars",4197552,4634410,4925524,5149920,5190658,5301040,5556420,5755340,5972734,6264463,6158542,5227592,4885088,4876536,5068640,5486680,5958689,6525514,6876753,7357198,7899103,8273194,8551515,9132098,9968247
 "55000","Wisconsin",3,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",1040962,1166588,1245635,1303170,1338260,1359326,1411932,1465012,1502017,1513233,1479863,1195358,1127627,1099201,1187419,1260969,1382200,1546022,1673161,1747169,1873296,1982076,2028345,2122593,2356542
 "55000","Wisconsin",3,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",626001,671094,706057,743711,742293,766336,788586,820908,909976,1108761,1137329,1045065,901372,884915,917628,993059,1086515,1148131,1096133,1166654,1240092,1267923,1324616,1503360,1652784
 "55000","Wisconsin",3,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",2530589,2796728,2973832,3103039,3110105,3175378,3355902,3469420,3560741,3642469,3541350,2987169,2856089,2892420,2963593,3232652,3489974,3831361,4107459,4443375,4785715,5023195,5198554,5506145,5958921
 "55000","Wisconsin",3,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",21523392,22361219,23049757,22230319,21747066,21816248,22859853,23147286,24025141,24380307,24554526,21560698,22381077,23692508,24729510,25113047,26076846,26713423,26490379,27518118,28556622,29534421,28978492,31077216,33179105
 "55000","Wisconsin",3,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",13855744,14370196,14744298,14003685,13556875,13722799,14554954,14802750,15564032,15677065,15797843,13319738,13880764,14937647,15655922,15807727,16392563,16635301,16345272,17014797,17684952,18058501,17306245,18706825,19941798
 "55000","Wisconsin",3,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",708236,747812,771479,768453,767258,787945,839947,857262,859309,811789,745515,584454,540667,557433,571561,601389,646037,677553,700736,737173,775708,779903,794939,869298,958187
 "55000","Wisconsin",3,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",373113,398912,409546,413857,420184,432568,465274,486931,497938,492566,471777,399895,395057,404143,404144,419156,450406,495334,511019,542673,580472,601814,616355,655425,690869
 "55000","Wisconsin",3,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",850798,896367,892494,862706,869797,857827,926940,943377,967960,959981,933480,684569,813648,923396,987448,938332,988363,982015,922102,948012,1015750,992144,850865,939559,1026935
 "55000","Wisconsin",3,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",2764849,2827028,2934633,2792031,2736351,2769870,2943983,3111580,3308984,3464086,3612981,2961905,3072804,3408572,3648372,3670983,3876606,3925897,3905612,4083508,4368976,4477120,4268899,4557024,4977203
 "55000","Wisconsin",3,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",3916927,3993387,3926457,3626284,3319767,3303904,3522028,3577235,3736242,3838067,3985208,3394565,3567680,3887984,4150370,4111661,4301559,4331664,4188276,4295453,4541446,4579201,4451182,4884813,5271184
 "55000","Wisconsin",3,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",1166619,1241150,1338573,1285347,1209318,1231178,1225907,1282540,1339910,1426744,1438574,1311273,1365246,1454757,1436805,1432353,1406015,1444117,1412005,1420469,1445692,1567328,1484692,1477663,1479331
 "55000","Wisconsin",3,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1275306,1286450,1326618,1236623,1161274,1172306,1227777,1254935,1474747,1368160,1388103,1226908,1353817,1471343,1516085,1617640,1660550,1659700,1628544,1773025,1790919,1868162,1816349,2075791,2017297
 "55000","Wisconsin",3,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",1318012,1427168,1427317,1234347,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1046850,(D),(D),(D),1132841,1050259,1157058,1264229
 "55000","Wisconsin",3,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",402336,457258,566563,614104,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),677277,(D),(D),(D),490478,478526,522452,566981
 "55000","Wisconsin",3,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",498162,528366,570133,577932,594398,602056,633171,622334,638561,687138,687212,608502,616039,635085,634964,648073,680271,709103,720012,725170,736054,725645,688167,721205,752993
 "55000","Wisconsin",3,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",581386,566298,580485,592001,607713,615299,661655,669851,664105,654131,661431,611871,620777,643875,664157,649515,667445,685791,703704,756352,804896,843865,806012,846537,936589
 "55000","Wisconsin",3,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",7667648,7991023,8305459,8226634,8190191,8093449,8304899,8344536,8461109,8703242,8756683,8240960,8500313,8754861,9073588,9305320,9684283,10078122,10145107,10503321,10871670,11475920,11672247,12370391,13237307
 "55000","Wisconsin",3,SAINC7N,531,"311","     Food manufacturing ","Thousands of dollars",1853097,1962993,2070111,2198797,2194210,2170838,2255576,2262133,2244740,2338925,2427408,2486437,2556648,2627362,2768733,2886837,3018518,3192663,3218529,3389072,3582150,3960311,4234595,4453802,4857599
 "55000","Wisconsin",3,SAINC7N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",113085,104785,90218,111174,121325,117538,134101,127844,128293,130789,134856,132574,118956,116771,116990,125925,132714,167676,181133,193807,204533,220372,252519,332725,358350
 "55000","Wisconsin",3,SAINC7N,533,"313","     Textile mills ","Thousands of dollars",58714,53827,52463,49179,54136,65490,78799,83358,84105,82426,81992,73767,84431,87721,83998,76607,77580,73874,72547,75477,77967,77833,74066,79147,84171
