GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "04000","Arizona",6,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",7256410,7585860,7957761,8441309,8749448,9161364,9462229,9899151,7373321,9822481
 "04000","Arizona",6,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",3191487,3303262,3396402,3532455,3636334,3818729,3898009,4002659,3598717,4320955
 "04000","Arizona",6,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",1907324,1994173,2023176,2129349,2185500,2260576,2252827,2319653,2430957,2809186
 "04000","Arizona",6,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",32563,33842,33799,32919,33293,36483,35727,37879,47569,54704
 "04000","Arizona",6,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",194567,203277,218282,238401,260579,268490,273371,295488,339646,327997
 "04000","Arizona",6,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",7776,6819,6989,7058,7282,7000,6647,7452,10449,19501
 "04000","Arizona",6,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",26506,27092,27820,30351,41277,50212,52899,54143,55885,62691
 "04000","Arizona",6,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",11511,13018,14007,14777,15710,13991,13980,15688,11495,11612
 "04000","Arizona",6,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",148774,156349,169467,186216,196311,197287,199844,218205,261817,234192
 "04000","Arizona",6,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",47566,51652,53291,55153,52795,52855,53721,56818,62034,82804
 "04000","Arizona",6,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",58135,61216,68485,70597,81703,88584,99540,93657,84807,99714
 "04000","Arizona",6,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",130082,159908,147412,159117,208805,198319,194984,199292,263083,307042
 "04000","Arizona",6,SAOACTVA,13,"...","    Hunting/Trapping ","Thousands of dollars",51073,63596,58478,64070,87543,73701,74736,70948,91338,105619
 "04000","Arizona",6,SAOACTVA,14,"...","    Shooting (includes Archery) ","Thousands of dollars",79009,96312,88934,95046,121262,124619,120247,128344,171745,201422
 "04000","Arizona",6,SAOACTVA,15,"...","   Motorcycling/ATVing ","Thousands of dollars",104555,100297,100965,112401,111041,99936,95861,91266,118935,138726
 "04000","Arizona",6,SAOACTVA,16,"...","   Recreational Flying ","Thousands of dollars",20737,20066,21279,22594,24970,22783,21331,20350,18665,18399
 "04000","Arizona",6,SAOACTVA,17,"...","   RVing ","Thousands of dollars",296536,312062,328181,353972,352566,338395,335794,333842,395680,492881
 "04000","Arizona",6,SAOACTVA,18,"...","   Snow Activities ","Thousands of dollars",30500,29852,32611,34068,34357,34920,36469,37555,33600,33426
 "04000","Arizona",6,SAOACTVA,19,"...","    Skiing/Snowboarding ","Thousands of dollars",18475,18637,20348,21325,21396,20852,21327,22353,16163,19554
 "04000","Arizona",6,SAOACTVA,20,"...","    Other Snow Activities (includes Snowmobiling) 2/","Thousands of dollars",12024,11215,12263,12743,12961,14068,15142,15202,17438,13872
 "04000","Arizona",6,SAOACTVA,21,"...","   Other Conventional Outdoor Recreation Activities ","Thousands of dollars",131315,134653,137706,147224,143787,156326,153978,181458,207097,258940
 "04000","Arizona",6,SAOACTVA,22,"...","    Other Conventional Air and Land Activities 3/","Thousands of dollars",91377,95145,96142,96162,91656,102013,94006,99400,105533,128238
 "04000","Arizona",6,SAOACTVA,23,"...","    Other Conventional Water Activities 4/","Thousands of dollars",39937,39508,41564,51062,52132,54314,59972,82058,101564,130701
 "04000","Arizona",6,SAOACTVA,24,"...","   Multi-use Apparel and Accessories (Conventional) 5/","Thousands of dollars",860768,887347,881165,902903,881604,963485,952052,972047,859840,994555
 "04000","Arizona",6,SAOACTVA,25,"...","  Other Outdoor Recreation ","Thousands of dollars",1284163,1309089,1373226,1403106,1450834,1558153,1645182,1683006,1167760,1511768
 "04000","Arizona",6,SAOACTVA,26,"...","   Amusement Parks/Water Parks ","Thousands of dollars",56236,58307,60780,65946,70717,82122,91531,98352,75717,113298
 "04000","Arizona",6,SAOACTVA,27,"...","   Festivals/Sporting Events/Concerts ","Thousands of dollars",286701,297990,330781,318893,348377,365485,373052,362218,176856,259161
 "04000","Arizona",6,SAOACTVA,28,"...","   Field Sports ","Thousands of dollars",46728,47187,49631,51538,52144,60792,62551,70853,65859,79188
 "04000","Arizona",6,SAOACTVA,29,"...","   Game Areas (includes Golfing and Tennis) ","Thousands of dollars",382059,385782,386617,384027,388496,394028,420038,449456,350140,397087
