GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",13886951,13894462,14140363,14539793,14939096,15636861,16200443,16653785,13347640,16745604
 "17000","Illinois",3,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",7296143,7427255,7547590,7728695,7884787,8348864,8496165,8637448,7558286,8721089
 "17000","Illinois",3,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",4183627,4256414,4291371,4420309,4484887,4723938,4666465,4770578,4669781,5176638
 "17000","Illinois",3,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",143418,143497,146009,141802,140043,158251,157234,172564,199917,219154
 "17000","Illinois",3,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",513591,511309,523130,544496,586591,616362,624480,642626,763625,679709
 "17000","Illinois",3,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",15414,12462,11950,11441,11466,11856,10873,11543,18036,37803
 "17000","Illinois",3,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",103228,105572,108150,120243,158688,183780,189262,189653,188802,209773
 "17000","Illinois",3,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",19242,20378,21542,22167,24428,22308,22506,28169,18989,18465
 "17000","Illinois",3,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",375708,372897,381487,390646,392008,398418,401839,413261,537798,413667
 "17000","Illinois",3,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",132682,136067,137904,134110,126849,128123,129894,140200,146536,206463
 "17000","Illinois",3,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",105411,112807,139438,145620,158279,177964,193375,183083,186819,211028
 "17000","Illinois",3,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",298328,332721,313185,331391,422419,433262,395328,403494,415487,432286
 "17000","Illinois",3,SAOACTVA,13,"...","    Hunting/Trapping ","Thousands of dollars",171555,183312,170142,181295,248690,260871,236977,253090,237458,232440
 "17000","Illinois",3,SAOACTVA,14,"...","    Shooting (includes Archery) ","Thousands of dollars",126773,149410,143044,150096,173729,172391,158351,150405,178030,199846
 "17000","Illinois",3,SAOACTVA,15,"...","   Motorcycling/ATVing ","Thousands of dollars",276148,257000,257271,254314,244566,214155,213525,208209,213777,236553
 "17000","Illinois",3,SAOACTVA,16,"...","   Recreational Flying ","Thousands of dollars",40082,40712,40262,37785,33223,32006,29832,32918,28496,26201
 "17000","Illinois",3,SAOACTVA,17,"...","   RVing ","Thousands of dollars",299179,299090,309222,316170,318684,322730,333744,331946,341608,407429
 "17000","Illinois",3,SAOACTVA,18,"...","   Snow Activities ","Thousands of dollars",69330,62678,64558,60397,50339,53868,58797,54444,49429,50629
 "17000","Illinois",3,SAOACTVA,19,"...","    Skiing/Snowboarding ","Thousands of dollars",15308,14566,16625,17216,15826,14091,13893,14409,11680,16716
 "17000","Illinois",3,SAOACTVA,20,"...","    Other Snow Activities (includes Snowmobiling) 2/","Thousands of dollars",54022,48112,47933,43181,34513,39777,44904,40035,37749,33913
 "17000","Illinois",3,SAOACTVA,21,"...","   Other Conventional Outdoor Recreation Activities ","Thousands of dollars",359610,356070,354532,363429,351128,392043,368776,401134,451285,534902
 "17000","Illinois",3,SAOACTVA,22,"...","    Other Conventional Air and Land Activities 3/","Thousands of dollars",289531,289812,286597,282266,267674,309882,283657,288478,306692,341183
 "17000","Illinois",3,SAOACTVA,23,"...","    Other Conventional Water Activities 4/","Thousands of dollars",70079,66258,67935,81163,83454,82161,85119,112656,144594,193719
 "17000","Illinois",3,SAOACTVA,24,"...","   Multi-use Apparel and Accessories (Conventional) 5/","Thousands of dollars",1945847,2004463,2005859,2090794,2052767,2195172,2161480,2199960,1872802,2172284
 "17000","Illinois",3,SAOACTVA,25,"...","  Other Outdoor Recreation ","Thousands of dollars",3112516,3170841,3256220,3308386,3399900,3624927,3829700,3866870,2888506,3544452
 "17000","Illinois",3,SAOACTVA,26,"...","   Amusement Parks/Water Parks ","Thousands of dollars",312387,293083,294324,307617,341868,411572,437606,432388,219214,297273
 "17000","Illinois",3,SAOACTVA,27,"...","   Festivals/Sporting Events/Concerts ","Thousands of dollars",469726,503277,539840,536790,598828,658717,672410,638912,321945,445841
 "17000","Illinois",3,SAOACTVA,28,"...","   Field Sports ","Thousands of dollars",127119,128132,134406,140446,141766,166392,164758,185707,167277,195511
 "17000","Illinois",3,SAOACTVA,29,"...","   Game Areas (includes Golfing and Tennis) ","Thousands of dollars",730485,747327,726033,721898,734951,683940,730951,781261,630393,712559
 "17000","Illinois",3,SAOACTVA,30,"...","   Guided Tours/Outfitted Travel ","Thousands of dollars",569558,552257,580903,564019,517390,614738,710093,719221,433539,571168
 "17000","Illinois",3,SAOACTVA,31,"...","    Air and Land Guided Tours/Outfitted Travel ","Thousands of dollars",242640,232508,261962,271504,269236,262803,289742,310315,166975,253228
 "17000","Illinois",3,SAOACTVA,32,"...","    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters) ","Thousands of dollars",326917,319749,318941,292515,248155,351935,420351,408906,266564,317940
 "17000","Illinois",3,SAOACTVA,33,"...","   Productive Activities (includes Gardening) ","Thousands of dollars",428147,455093,475676,494265,532597,544087,566433,548965,621282,754158
 "17000","Illinois",3,SAOACTVA,34,"...","   Other Outdoor Recreation Activities 6/","Thousands of dollars",315393,320115,334014,365137,355971,361847,367032,377884,326591,358110
 "17000","Illinois",3,SAOACTVA,35,"...","   Multi-use Apparel and Accessories (Other) 5/","Thousands of dollars",159701,171557,171024,178214,176529,183634,180415,182532,168265,209831
 "17000","Illinois",3,SAOACTVA,36,"..."," Supporting Outdoor Recreation ","Thousands of dollars",6590808,6467207,6592772,6811098,7054309,7287997,7704278,8016337,5789354,8024515
 "17000","Illinois",3,SAOACTVA,37,"...","   Construction ","Thousands of dollars",282991,237119,252514,251311,260386,291247,325999,355470,353255,333589
 "17000","Illinois",3,SAOACTVA,38,"...","   Local Trips 7/","Thousands of dollars",1318140,1287900,1307279,1266404,1165793,1197373,1250349,1269994,1145448,1372806
 "17000","Illinois",3,SAOACTVA,39,"...","   Travel and Tourism 8/","Thousands of dollars",3989432,3978094,4062704,4366081,4606371,4632222,4891278,5151643,3078264,5052346
 "17000","Illinois",3,SAOACTVA,40,"...","    Food and Beverages ","Thousands of dollars",557055,450157,446915,500585,581026,576632,602635,629146,383764,840084
 "17000","Illinois",3,SAOACTVA,41,"...","    Lodging ","Thousands of dollars",594152,641076,617585,707176,767600,756848,785313,811540,628339,1110424
 "17000","Illinois",3,SAOACTVA,42,"...","    Shopping and Souvenirs ","Thousands of dollars",876936,885564,910117,928727,932440,976399,1026011,1078145,1204374,1340720
 "17000","Illinois",3,SAOACTVA,43,"...","    Transportation ","Thousands of dollars",1961290,2001298,2088086,2229593,2325305,2322343,2477320,2632814,861787,1761118
 "17000","Illinois",3,SAOACTVA,44,"...","   Government Expenditures ","Thousands of dollars",1000244,964093,970276,927302,1021759,1167155,1236652,1239230,1212387,1265774
