GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",2948741,2915065,2973363,3051477,3037454,3219373,3429094,3341213,2861469,3563712
 "20000","Kansas",4,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",1711728,1717918,1743683,1768660,1781976,1898339,1947823,1876884,1742214,1947335
 "20000","Kansas",4,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",1187546,1191456,1212227,1242931,1247886,1330326,1329617,1309088,1268559,1380075
 "20000","Kansas",4,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",8972,9674,9824,10027,10063,11299,10993,11595,14067,15668
 "20000","Kansas",4,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",139666,140429,145788,157778,164344,180802,183570,188075,246890,196787
 "20000","Kansas",4,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",6609,4986,4696,4568,4312,3216,2946,3131,4906,9483
 "20000","Kansas",4,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",32245,32556,33575,37839,49333,59665,61149,59090,53855,58911
 "20000","Kansas",4,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",4228,4456,4743,4691,4699,4368,4206,5685,3967,3470
 "20000","Kansas",4,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",96584,98431,102775,110680,105999,113553,115269,120169,184162,124923
 "20000","Kansas",4,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",35729,36711,36841,35861,33969,34341,34680,36854,36846,51532
 "20000","Kansas",4,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",69718,75102,92422,98162,109817,122556,132182,124668,119668,135737
 "20000","Kansas",4,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",80119,92827,90452,96477,117577,120136,109482,107441,111934,117141
 "20000","Kansas",4,SAOACTVA,13,"...","    Hunting/Trapping ","Thousands of dollars",43509,50038,50053,55507,72245,71531,64103,64564,62627,61998
 "20000","Kansas",4,SAOACTVA,14,"...","    Shooting (includes Archery) ","Thousands of dollars",36610,42789,40399,40970,45332,48605,45379,42877,49307,55143
 "20000","Kansas",4,SAOACTVA,15,"...","   Motorcycling/ATVing ","Thousands of dollars",87521,79099,78617,79902,76320,66435,69792,64265,61121,70999
 "20000","Kansas",4,SAOACTVA,16,"...","   Recreational Flying ","Thousands of dollars",38786,34904,37956,35688,35506,31874,31008,23408,13291,15321
 "20000","Kansas",4,SAOACTVA,17,"...","   RVing ","Thousands of dollars",86516,86638,90030,91902,92051,95773,97424,91720,94627,121881
 "20000","Kansas",4,SAOACTVA,18,"...","   Snow Activities ","Thousands of dollars",20384,18300,19137,19359,16204,22107,26695,23574,22836,19205
 "20000","Kansas",4,SAOACTVA,19,"...","    Skiing/Snowboarding ","Thousands of dollars",3109,2965,3179,3163,2794,2490,2378,2378,1959,2684
 "20000","Kansas",4,SAOACTVA,20,"...","    Other Snow Activities (includes Snowmobiling) 2/","Thousands of dollars",17275,15335,15958,16196,13411,19617,24318,21196,20877,16521
 "20000","Kansas",4,SAOACTVA,21,"...","   Other Conventional Outdoor Recreation Activities ","Thousands of dollars",102576,100872,102820,106417,97145,108334,111880,113679,104470,135363
 "20000","Kansas",4,SAOACTVA,22,"...","    Other Conventional Air and Land Activities 3/","Thousands of dollars",90480,88553,89863,90215,80842,91916,94921,91625,77451,100835
 "20000","Kansas",4,SAOACTVA,23,"...","    Other Conventional Water Activities 4/","Thousands of dollars",12096,12320,12958,16202,16303,16418,16959,22054,27019,34528
 "20000","Kansas",4,SAOACTVA,24,"...","   Multi-use Apparel and Accessories (Conventional) 5/","Thousands of dollars",517559,516900,508338,511359,494890,536668,521912,523809,442809,500441
 "20000","Kansas",4,SAOACTVA,25,"...","  Other Outdoor Recreation ","Thousands of dollars",524181,526462,531457,525729,534091,568013,618207,567796,473655,567260
 "20000","Kansas",4,SAOACTVA,26,"...","   Amusement Parks/Water Parks ","Thousands of dollars",26055,27027,28163,30069,31544,35539,38187,39033,28255,38670
 "20000","Kansas",4,SAOACTVA,27,"...","   Festivals/Sporting Events/Concerts ","Thousands of dollars",22336,23188,23899,21339,21872,22107,22149,20786,12447,16182
 "20000","Kansas",4,SAOACTVA,28,"...","   Field Sports ","Thousands of dollars",22803,22798,23670,24901,25211,29844,29805,32524,29328,33865
 "20000","Kansas",4,SAOACTVA,29,"...","   Game Areas (includes Golfing and Tennis) ","Thousands of dollars",159862,159573,153056,149304,149584,143574,154106,160780,128459,143027
 "20000","Kansas",4,SAOACTVA,30,"...","   Guided Tours/Outfitted Travel ","Thousands of dollars",99336,92945,100176,93787,94128,120408,154439,104516,55349,78797
 "20000","Kansas",4,SAOACTVA,31,"...","    Air and Land Guided Tours/Outfitted Travel ","Thousands of dollars",68581,62875,69975,67176,73672,91707,122138,75131,32691,52541
 "20000","Kansas",4,SAOACTVA,32,"...","    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters) ","Thousands of dollars",30755,30070,30201,26611,20456,28700,32301,29385,22659,26256
 "20000","Kansas",4,SAOACTVA,33,"...","   Productive Activities (includes Gardening) ","Thousands of dollars",79698,84910,83874,85204,89655,95038,100580,96182,119649,143873
 "20000","Kansas",4,SAOACTVA,34,"...","   Other Outdoor Recreation Activities 6/","Thousands of dollars",80962,81873,85480,87972,88766,86584,85915,81539,68809,75734
 "20000","Kansas",4,SAOACTVA,35,"...","   Multi-use Apparel and Accessories (Other) 5/","Thousands of dollars",33128,34148,33138,33153,33332,34919,33026,32436,31359,37111
 "20000","Kansas",4,SAOACTVA,36,"..."," Supporting Outdoor Recreation ","Thousands of dollars",1237013,1197147,1229680,1282817,1255477,1321035,1481271,1464329,1119255,1616377
 "20000","Kansas",4,SAOACTVA,37,"...","   Construction ","Thousands of dollars",34491,31604,36888,39470,42738,47929,53477,57131,56114,52892
 "20000","Kansas",4,SAOACTVA,38,"...","   Local Trips 7/","Thousands of dollars",366031,345439,357171,362635,324992,360431,412861,390460,329309,434386
 "20000","Kansas",4,SAOACTVA,39,"...","   Travel and Tourism 8/","Thousands of dollars",687061,659582,665911,701134,704317,725282,823963,815476,521364,898545
 "20000","Kansas",4,SAOACTVA,40,"...","    Food and Beverages ","Thousands of dollars",115715,96793,96678,105687,120735,109261,112637,113348,69876,154745
 "20000","Kansas",4,SAOACTVA,41,"...","    Lodging ","Thousands of dollars",100615,111939,107498,125639,129240,126332,128201,130136,103574,173420
 "20000","Kansas",4,SAOACTVA,42,"...","    Shopping and Souvenirs ","Thousands of dollars",185438,186333,191995,195932,204299,215775,233360,238229,264257,307205
