GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "27000","Minnesota",4,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",8055580,8498077,8516991,8684191,8872136,8986313,9206603,9521169,8385826,9946563
 "27000","Minnesota",4,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",4781829,5097435,5037140,5115028,5206246,5204996,5277121,5342111,5194788,5854875
 "27000","Minnesota",4,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",3278446,3501452,3418271,3465604,3528020,3413312,3361771,3388358,3560202,3903252
 "27000","Minnesota",4,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",55204,57003,54989,53060,52302,59653,58059,60357,68058,80927
 "27000","Minnesota",4,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",511905,539133,542453,562056,574659,632118,606597,645612,843186,775110
 "27000","Minnesota",4,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",16516,13826,13542,13639,13346,12855,11914,13474,21806,43201
 "27000","Minnesota",4,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",114759,115229,117295,132176,178852,196880,202799,200905,214825,245434
 "27000","Minnesota",4,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",14200,15752,17106,17214,18390,18647,16990,21902,18417,15802
 "27000","Minnesota",4,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",366430,394326,394510,399027,364071,403736,374893,409331,588138,470673
 "27000","Minnesota",4,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",113347,117266,116499,113194,105414,103420,102928,108424,106802,141940
 "27000","Minnesota",4,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",109147,123958,150849,156355,162944,206579,268397,220462,238799,345146
 "27000","Minnesota",4,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",313613,354738,321159,330895,409755,416915,391466,420661,459660,486218
 "27000","Minnesota",4,SAOACTVA,13,"...","    Hunting/Trapping ","Thousands of dollars",170155,187053,168927,176937,237433,253200,242519,277908,278430,279992
 "27000","Minnesota",4,SAOACTVA,14,"...","    Shooting (includes Archery) ","Thousands of dollars",143458,167685,152232,153958,172323,163715,148947,142753,181229,206226
 "27000","Minnesota",4,SAOACTVA,15,"...","   Motorcycling/ATVing ","Thousands of dollars",560975,680176,610351,589077,598674,253737,229331,215931,220629,235168
 "27000","Minnesota",4,SAOACTVA,16,"...","   Recreational Flying ","Thousands of dollars",18242,18133,18272,18754,18194,16058,14574,15523,15995,16984
