GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",1165706,1230972,1264515,1320606,1258899,1240199,1282979,1283622,1153493,1378702
 "38000","North Dakota",4,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",568370,588702,607580,618198,605480,608052,603740,607602,617865,689225
 "38000","North Dakota",4,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",411644,430004,445046,456617,450512,450611,440012,441864,465208,512994
 "38000","North Dakota",4,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",2914,3029,3086,3045,2978,3235,3104,3250,4060,4587
 "38000","North Dakota",4,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",57385,57844,59449,62160,67307,70452,70049,71844,101594,83286
 "38000","North Dakota",4,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",2078,1737,1740,1742,1698,1743,1555,1645,2509,4730
 "38000","North Dakota",4,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",12718,13077,13516,15278,20960,23035,23482,23244,23674,26729
 "38000","North Dakota",4,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",1557,1670,1815,1876,2079,1801,1831,2470,1852,1762
 "38000","North Dakota",4,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",41032,41360,42377,43264,42570,43872,43181,44485,73558,50065
 "38000","North Dakota",4,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",8235,8483,8896,8810,8177,8232,7885,8402,8862,12861
 "38000","North Dakota",4,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",38903,42131,48382,49748,51778,54785,55815,54755,53218,61255
 "38000","North Dakota",4,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",18953,22175,21483,22203,24901,23731,22465,22151,25067,27380
 "38000","North Dakota",4,SAOACTVA,13,"...","    Hunting/Trapping ","Thousands of dollars",7493,8842,8647,9158,10727,9428,9130,8963,10199,10801
 "38000","North Dakota",4,SAOACTVA,14,"...","    Shooting (includes Archery) ","Thousands of dollars",11460,13333,12837,13045,14174,14304,13335,13188,14869,16578
 "38000","North Dakota",4,SAOACTVA,15,"...","   Motorcycling/ATVing ","Thousands of dollars",28061,27200,27650,29509,27084,23894,23111,20615,23133,26930
 "38000","North Dakota",4,SAOACTVA,16,"...","   Recreational Flying ","Thousands of dollars",3946,4429,4618,4513,3699,3301,3218,3602,2875,3570
 "38000","North Dakota",4,SAOACTVA,17,"...","   RVing ","Thousands of dollars",76915,83725,88203,91610,89179,80322,79200,80117,88337,109873
 "38000","North Dakota",4,SAOACTVA,18,"...","   Snow Activities ","Thousands of dollars",7111,6905,7481,7391,6509,6728,7370,7217,5989,6767
