GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "31000","Nebraska",4,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",2026657,2084107,2078241,2128256,2193350,2189534,2310650,2355772,2210171,2637821
 "31000","Nebraska",4,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",1169918,1224264,1212880,1221656,1261934,1266939,1313098,1319000,1355187,1524139
 "31000","Nebraska",4,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",761227,804410,794379,801039,840822,831362,850889,854902,920305,1007692
 "31000","Nebraska",4,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",9787,10678,9750,9067,9269,11035,10962,12516,15489,18362
 "31000","Nebraska",4,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",84768,86323,85878,87953,91209,107136,100423,109711,148432,120778
 "31000","Nebraska",4,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",3372,2791,2778,2742,2727,2880,2584,2837,4252,7959
 "31000","Nebraska",4,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",15720,16081,16430,18114,24260,28780,29436,28670,27756,31681
 "31000","Nebraska",4,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",2456,2666,2843,2912,3193,3499,3002,4743,3891,3149
 "31000","Nebraska",4,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",63220,64785,63827,64185,61030,71977,65402,73460,112534,77990
 "31000","Nebraska",4,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",14761,15683,15939,15779,15686,15082,15664,17188,17598,23626
 "31000","Nebraska",4,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",71434,74387,85530,85913,94047,109998,138120,123410,125464,179354
 "31000","Nebraska",4,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",44816,52633,53411,59576,71071,67617,67408,65620,93216,104843
