GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",9135933,9269765,9649481,10040216,10333151,10532990,10701306,11216440,8581707,10304737
 "34000","New Jersey",2,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",4709279,4792321,4924901,5107697,5201842,5481740,5504587,5639393,4807253,5432240
 "34000","New Jersey",2,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",2867408,2921494,2983840,3109330,3138166,3268981,3171018,3225640,3181772,3360910
 "34000","New Jersey",2,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",60112,59865,60421,58502,56424,63360,61688,63644,71909,84861
 "34000","New Jersey",2,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",470885,473619,500138,537149,583558,602331,592515,613363,778023,648190
 "34000","New Jersey",2,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",15152,12459,12229,12040,12366,10514,10479,11671,13281,19357
 "34000","New Jersey",2,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",51870,51522,51516,57360,80753,87477,87076,85272,93114,107170
 "34000","New Jersey",2,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",39758,41411,45369,48984,54725,53026,49176,52248,34458,33818
 "34000","New Jersey",2,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",364105,368227,391025,418766,435715,451314,445784,464173,637170,487844
 "34000","New Jersey",2,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",73881,78374,79108,79185,77666,74036,75514,81578,83587,111121
 "34000","New Jersey",2,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",41058,44019,53353,55604,60618,66285,73318,68031,69186,75892
 "34000","New Jersey",2,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",69666,78425,75137,80971,103559,112334,107304,113351,94765,88822
 "34000","New Jersey",2,SAOACTVA,13,"...","    Hunting/Trapping ","Thousands of dollars",37252,41703,38682,42270,59683,69151,66118,72167,57430,47986
 "34000","New Jersey",2,SAOACTVA,14,"...","    Shooting (includes Archery) ","Thousands of dollars",32415,36721,36455,38701,43876,43183,41187,41184,37335,40836
 "34000","New Jersey",2,SAOACTVA,15,"...","   Motorcycling/ATVing ","Thousands of dollars",137168,129769,138516,145880,144180,123051,123732,120311,124732,133754
 "34000","New Jersey",2,SAOACTVA,16,"...","   Recreational Flying ","Thousands of dollars",32015,31614,30269,32312,40175,43589,35503,38380,46055,27740
 "34000","New Jersey",2,SAOACTVA,17,"...","   RVing ","Thousands of dollars",218613,225075,232753,241091,234949,230746,233864,234612,240520,265046
 "34000","New Jersey",2,SAOACTVA,18,"...","   Snow Activities ","Thousands of dollars",105418,99256,107926,111192,107589,103700,103346,102102,93285,94081
 "34000","New Jersey",2,SAOACTVA,19,"...","    Skiing/Snowboarding ","Thousands of dollars",52855,51311,55799,57611,55078,48981,47910,48852,35640,43767
 "34000","New Jersey",2,SAOACTVA,20,"...","    Other Snow Activities (includes Snowmobiling) 2/","Thousands of dollars",52563,47945,52127,53581,52511,54720,55436,53250,57645,50314
 "34000","New Jersey",2,SAOACTVA,21,"...","   Other Conventional Outdoor Recreation Activities ","Thousands of dollars",238427,239685,244684,257973,253412,275953,267040,301695,323858,387673
