GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,SAOACTVA,1,"...","Total Outdoor Recreation ","Thousands of dollars",1286086,1335662,1364993,1428651,1405618,1519094,1578395,1574623,1155027,1485337
 "56000","Wyoming",7,SAOACTVA,2,"..."," Total Core Outdoor Recreation ","Thousands of dollars",494261,505098,519857,537841,550313,573877,577461,594389,546878,588614
 "56000","Wyoming",7,SAOACTVA,3,"...","  Conventional Outdoor Recreation ","Thousands of dollars",393686,400081,411320,427621,441520,458931,459666,474297,440917,464089
 "56000","Wyoming",7,SAOACTVA,4,"...","   Bicycling ","Thousands of dollars",2291,2374,2387,2342,2296,2460,2407,2517,3120,3650
 "56000","Wyoming",7,SAOACTVA,5,"...","   Boating/Fishing ","Thousands of dollars",35052,35306,36156,37359,39135,42250,43791,44159,63301,43728
 "56000","Wyoming",7,SAOACTVA,6,"...","    Canoeing/Kayaking ","Thousands of dollars",834,668,658,657,644,584,531,557,810,1439
 "56000","Wyoming",7,SAOACTVA,7,"...","    Fishing (excludes Boating) ","Thousands of dollars",6115,6283,6562,7618,10391,11477,11686,11586,11254,12732
 "56000","Wyoming",7,SAOACTVA,8,"...","    Sailing ","Thousands of dollars",1329,1428,1440,1480,1492,1639,1639,1844,1333,1449
 "56000","Wyoming",7,SAOACTVA,9,"...","    Other Boating ","Thousands of dollars",26774,26927,27496,27604,26608,28550,29934,30172,49903,28109
 "56000","Wyoming",7,SAOACTVA,10,"...","   Climbing/Hiking/Tent Camping ","Thousands of dollars",11581,11819,12154,12931,12305,12872,13798,15127,17557,19525
 "56000","Wyoming",7,SAOACTVA,11,"...","   Equestrian ","Thousands of dollars",26916,27940,30294,31526,37013,38791,41058,40159,30824,33820
 "56000","Wyoming",7,SAOACTVA,12,"...","   Hunting/Shooting/Trapping ","Thousands of dollars",49155,52416,51330,54371,71772,72687,59760,62940,50328,44556
 "56000","Wyoming",7,SAOACTVA,13,"...","    Hunting/Trapping ","Thousands of dollars",40842,42772,42121,44878,61245,62027,49739,52905,39209,31846
 "56000","Wyoming",7,SAOACTVA,14,"...","    Shooting (includes Archery) ","Thousands of dollars",8314,9644,9209,9493,10527,10661,10021,10034,11119,12710
 "56000","Wyoming",7,SAOACTVA,15,"...","   Motorcycling/ATVing ","Thousands of dollars",21101,19673,19601,20466,18248,17572,17728,15862,16380,20708
 "56000","Wyoming",7,SAOACTVA,16,"...","   Recreational Flying ","Thousands of dollars",4386,4059,3966,3454,2512,2625,2828,3015,2012,2773
 "56000","Wyoming",7,SAOACTVA,17,"...","   RVing ","Thousands of dollars",59667,60235,62008,65587,61394,62819,66947,70817,80429,85947
