GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,SAOCOMP,1,"...","All industries ","Thousands of dollars",838885,863904,884677,944191,967161,1003916,1046402,1141151,875847,1069211
 "02000","Alaska",8,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",700147,710652,724263,770954,782771,811400,833689,917309,705544,894855
 "02000","Alaska",8,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",4291,4608,4666,4900,5942,6582,6114,6573,(D),5645
 "02000","Alaska",8,SAOCOMP,4,"...","  Mining ","Thousands of dollars",1818,1678,1463,1144,1073,1405,1607,1429,1146,1646
 "02000","Alaska",8,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",19,21,18,24,17,20,12,11,18,14
 "02000","Alaska",8,SAOCOMP,6,"...","  Construction ","Thousands of dollars",20008,18032,18133,15829,14943,14984,15804,16345,16190,16134
 "02000","Alaska",8,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",12902,13010,12750,13401,12946,12280,12849,14341,(D),15569
 "02000","Alaska",8,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",2317,2202,2374,2286,2054,2061,2396,3078,(D),4068
 "02000","Alaska",8,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",10585,10809,10375,11115,10892,10219,10453,11263,10700,11501
 "02000","Alaska",8,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",12076,11833,12253,12847,12115,12289,13002,13119,13444,14303
 "02000","Alaska",8,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",141591,145492,150050,161831,162725,169608,166543,162978,178119,188329
 "02000","Alaska",8,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",207437,215277,216890,237587,249186,253929,278637,349630,229536,366340
 "02000","Alaska",8,SAOCOMP,13,"...","  Information ","Thousands of dollars",985,1052,1121,1165,1222,1248,1222,1216,1332,2107
 "02000","Alaska",8,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",8973,9325,8174,9205,9558,9872,9924,11547,10522,11360
 "02000","Alaska",8,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",4007,3792,3821,3983,3996,3974,3835,4069,3967,3943
 "02000","Alaska",8,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",4965,5533,4352,5221,5562,5898,6089,7478,6555,7417
 "02000","Alaska",8,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",7340,7003,7605,8565,8744,9768,10800,10867,5021,7364
 "02000","Alaska",8,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",4899,5064,5493,5902,6435,6827,7088,7015,5446,6493
 "02000","Alaska",8,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",4035,4191,4594,4905,5376,5737,5988,5858,4400,5271
 "02000","Alaska",8,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",864,873,899,998,1058,1090,1100,1157,1046,1222
 "02000","Alaska",8,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",271769,271862,279063,291469,290539,304942,302923,314868,217543,252138
 "02000","Alaska",8,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",90729,92039,97680,90981,91697,92530,92516,93367,68679,69619
 "02000","Alaska",8,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",181041,179823,181383,200488,198841,212412,210406,221501,148864,182519
 "02000","Alaska",8,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",6039,6395,6584,7085,7327,7647,7165,7370,7368,7415
 "02000","Alaska",8,SAOCOMP,25,"..."," Government ","Thousands of dollars",138738,153252,160414,173237,184391,192516,212713,223842,170303,174357
 "02000","Alaska",8,SAOCOMP,26,"...","  Federal ","Thousands of dollars",25248,24839,24461,24712,26012,26554,26846,20537,17739,18845
 "02000","Alaska",8,SAOCOMP,27,"...","  State and local ","Thousands of dollars",113489,128413,135953,148525,158378,165961,185868,203305,152564,155512
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
