GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,SAOCOMP,1,"...","All industries ","Thousands of dollars",806858,799193,804640,868592,870531,948562,932100,922893,667824,809879
 "11000","District of Columbia",2,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",655904,619148,627232,676903,662218,734378,716936,739814,494919,627629
 "11000","District of Columbia",2,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",0,0,0,0,0,0,0,0,0,(D)
 "11000","District of Columbia",2,SAOCOMP,4,"...","  Mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",1,1,1,1,1,1,1,1,(D),1
 "11000","District of Columbia",2,SAOCOMP,6,"...","  Construction ","Thousands of dollars",18402,17077,17301,17525,16871,(D),19319,22138,23427,23531
 "11000","District of Columbia",2,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",1620,1672,1665,1611,1550,(D),1495,1523,(D),(D)
 "11000","District of Columbia",2,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",493,491,391,389,483,(D),546,488,(D),(D)
 "11000","District of Columbia",2,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",1128,1181,1274,1222,1068,(D),949,1035,1124,1246
 "11000","District of Columbia",2,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",9480,8900,9417,10382,10004,10115,9564,9823,10566,10851
 "11000","District of Columbia",2,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",105203,106269,105582,114121,109856,124019,115115,113150,102500,97547
 "11000","District of Columbia",2,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",12894,13578,13636,14419,14878,17005,17105,19201,8607,10303
 "11000","District of Columbia",2,SAOCOMP,13,"...","  Information ","Thousands of dollars",4752,4968,4944,4744,4519,4612,4871,5055,5367,6369
 "11000","District of Columbia",2,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",2460,2668,2405,2766,2706,2894,2831,3049,2715,3040
 "11000","District of Columbia",2,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",1070,1113,1080,1205,1321,1451,1423,1543,1524,1668
 "11000","District of Columbia",2,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",1390,1555,1325,1561,1385,1443,1408,1506,1191,1373
 "11000","District of Columbia",2,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",20780,19544,20899,22960,23271,24942,26407,24961,10425,15546
 "11000","District of Columbia",2,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",25473,26675,28295,28698,28739,29308,30177,30294,28379,27855
 "11000","District of Columbia",2,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",23798,25133,26763,27027,27110,27511,28402,28434,26931,26333
 "11000","District of Columbia",2,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",1675,1542,1532,1671,1629,1796,1775,1860,1448,1522
 "11000","District of Columbia",2,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",444452,407724,412464,448279,438314,490055,477933,498086,291230,417739
 "11000","District of Columbia",2,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",93658,97283,110627,114988,125708,133486,134801,135731,75107,102471
 "11000","District of Columbia",2,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",350795,310441,301837,333291,312606,356569,343132,362356,216123,315268
 "11000","District of Columbia",2,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",10387,10074,10623,11400,11509,11622,12119,12535,9962,12877
 "11000","District of Columbia",2,SAOCOMP,25,"..."," Government ","Thousands of dollars",150954,180044,177409,191689,208313,214184,215164,183079,172905,182250
 "11000","District of Columbia",2,SAOCOMP,26,"...","  Federal ","Thousands of dollars",82320,92364,89178,94346,103896,109121,117929,81816,73942,76770
 "11000","District of Columbia",2,SAOCOMP,27,"...","  State and local ","Thousands of dollars",68634,87681,88231,97343,104417,105063,97235,101263,98963,105480
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
