GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "29000","Missouri",4,SAOCOMP,1,"...","All industries ","Thousands of dollars",3080700,3111286,3194608,3265316,3343568,3561211,3636401,3761731,3343384,3838631
 "29000","Missouri",4,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",2764173,2765321,2837514,2893155,2968217,3180902,3253477,3361454,2913254,3382635
 "29000","Missouri",4,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",26208,24236,27280,26529,40361,46614,45773,47789,35185,37927
 "29000","Missouri",4,SAOCOMP,4,"...","  Mining ","Thousands of dollars",601,495,377,243,202,426,583,476,297,489
 "29000","Missouri",4,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",13,14,11,14,11,12,7,7,11,9
 "29000","Missouri",4,SAOCOMP,6,"...","  Construction ","Thousands of dollars",42325,39675,43124,43070,49151,57547,63272,64468,62090,60775
 "29000","Missouri",4,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",383108,393013,406273,398784,410383,440574,482199,495770,527816,580160
 "29000","Missouri",4,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",264785,273931,286502,278203,278447,295525,337861,351121,356499,389006
 "29000","Missouri",4,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",118324,119082,119772,120582,131936,145049,144338,144649,171316,191154
 "29000","Missouri",4,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",192508,185257,194049,204733,203120,211022,216505,219334,206739,226106
 "29000","Missouri",4,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",873593,879298,866870,884293,864626,950228,926780,952093,991231,1086893
 "29000","Missouri",4,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",214210,200154,205105,202264,223310,213647,237197,266006,214886,261392
 "29000","Missouri",4,SAOCOMP,13,"...","  Information ","Thousands of dollars",10382,10575,10966,11058,10820,11082,11259,11297,12171,16202
 "29000","Missouri",4,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",48850,46724,41366,45415,45927,48215,50333,57263,50906,55609
 "29000","Missouri",4,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",23804,21964,20939,20657,20366,20858,20514,22833,22943,23584
 "29000","Missouri",4,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",25046,24760,20427,24758,25561,27357,29819,34431,27962,32025
 "29000","Missouri",4,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",73003,66721,74026,85387,91875,104047,109890,103607,50798,68444
 "29000","Missouri",4,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",36384,37770,40565,42005,44392,46155,48476,49718,46081,51422
 "29000","Missouri",4,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",31664,33015,35752,37040,39251,40514,42696,43460,39515,43812
 "29000","Missouri",4,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",4719,4755,4813,4965,5141,5640,5780,6257,6566,7610
 "29000","Missouri",4,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",819722,836584,880572,898082,930334,996069,1006965,1036537,655819,874539
 "29000","Missouri",4,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",494039,525533,573669,581458,620004,655687,654609,650137,365696,457711
 "29000","Missouri",4,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",325684,311051,306902,316625,310330,340382,352356,386400,290123,416828
 "29000","Missouri",4,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",43265,44806,46930,51277,53707,55265,54238,57089,59225,62668
 "29000","Missouri",4,SAOCOMP,25,"..."," Government ","Thousands of dollars",316527,345965,357095,372161,375350,380309,382923,400277,430130,455995
 "29000","Missouri",4,SAOCOMP,26,"...","  Federal ","Thousands of dollars",28039,28494,26047,24651,23617,22539,22587,17232,16516,17457
 "29000","Missouri",4,SAOCOMP,27,"...","  State and local ","Thousands of dollars",288488,317471,331048,347510,351733,357770,360336,383045,413614,438539
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
