GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "28000","Mississippi",5,SAOCOMP,1,"...","All industries ","Thousands of dollars",996130,996716,1019458,1043144,1082619,1140706,1151718,1188753,1118463,1290866
 "28000","Mississippi",5,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",878896,870405,892309,913112,950669,1008701,1015329,1057029,977601,1141019
 "28000","Mississippi",5,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",12577,12380,13044,13082,19759,23586,23147,26893,20164,19743
 "28000","Mississippi",5,SAOCOMP,4,"...","  Mining ","Thousands of dollars",340,321,283,224,210,275,324,287,216,307
 "28000","Mississippi",5,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",3,3,3,3,2,3,2,2,3,2
 "28000","Mississippi",5,SAOCOMP,6,"...","  Construction ","Thousands of dollars",38356,34374,37097,32710,34944,39349,45518,50131,50326,49609
 "28000","Mississippi",5,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",134941,134874,134252,142079,155108,167951,181929,185086,196056,221226
 "28000","Mississippi",5,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",70729,69543,68877,75099,85093,96539,108453,105277,117955,138095
 "28000","Mississippi",5,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",64212,65331,65375,66981,70014,71412,73476,79809,78101,83132
 "28000","Mississippi",5,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",46276,44952,47211,49683,48749,50104,51157,51755,48327,53411
 "28000","Mississippi",5,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",367583,375333,377719,390294,387604,417031,399884,402117,402138,454465
 "28000","Mississippi",5,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",41497,39390,39473,38822,43400,41532,46088,53496,50964,62271
 "28000","Mississippi",5,SAOCOMP,13,"...","  Information ","Thousands of dollars",1765,1873,1978,1996,2013,2032,2003,1922,1997,3120
 "28000","Mississippi",5,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",11908,11755,10205,11561,12152,12750,12097,13638,12234,13694
 "28000","Mississippi",5,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",4410,4177,4024,4109,4193,4342,4220,4580,4577,4906
 "28000","Mississippi",5,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",7498,7577,6181,7452,7959,8408,7877,9058,7657,8787
 "28000","Mississippi",5,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",8104,7253,9094,10259,10909,10859,11052,10192,8624,9485
 "28000","Mississippi",5,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",11814,11508,12376,12593,13173,12620,13502,14068,11308,13475
 "28000","Mississippi",5,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",10051,9744,10540,10687,11138,10424,11299,11715,8942,10671
 "28000","Mississippi",5,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",1763,1764,1836,1906,2036,2196,2202,2352,2367,2805
 "28000","Mississippi",5,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",188527,180572,193262,192548,204898,212509,210768,229003,156471,220968
 "28000","Mississippi",5,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",69839,70271,73969,70180,73645,77260,80630,84173,62111,64256
 "28000","Mississippi",5,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",118688,110301,119293,122368,131252,135249,130138,144830,94359,156713
 "28000","Mississippi",5,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",15205,15817,16313,17258,17747,18101,17858,18438,18775,19243
 "28000","Mississippi",5,SAOCOMP,25,"..."," Government ","Thousands of dollars",117234,126311,127148,130032,131950,132005,136389,131724,140861,149847
 "28000","Mississippi",5,SAOCOMP,26,"...","  Federal ","Thousands of dollars",39170,41845,38289,37966,38770,39107,41462,30198,29407,30688
 "28000","Mississippi",5,SAOCOMP,27,"...","  State and local ","Thousands of dollars",78064,84466,88859,92066,93180,92898,94927,101526,111454,119159
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
