GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,SAOCOMP,1,"...","All industries ","Thousands of dollars",11754349,12060741,12536720,13043476,13501313,13862817,14142521,14842954,12512891,14362331
 "36000","New York",2,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",10099551,10167409,10607764,10981556,11430744,11776612,12060142,12614085,10238769,11977635
 "36000","New York",2,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",76405,75622,79594,77856,98050,109829,100672,105205,82936,80564
 "36000","New York",2,SAOCOMP,4,"...","  Mining ","Thousands of dollars",222,203,220,198,209,283,279,228,255,243
 "36000","New York",2,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",19,20,18,22,17,19,13,13,20,15
 "36000","New York",2,SAOCOMP,6,"...","  Construction ","Thousands of dollars",323969,277828,279411,258001,249219,258459,252943,250224,233386,230439
 "36000","New York",2,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",687548,689104,722375,761679,682370,734705,709552,742699,652328,671678
 "36000","New York",2,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",176068,180976,185560,218290,187135,180800,184890,179177,173613,193074
 "36000","New York",2,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",511479,508129,536815,543390,495234,553905,524662,563521,478715,478604
 "36000","New York",2,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",661769,628844,652334,690467,675571,689792,684982,685764,631909,660370
 "36000","New York",2,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",2880999,2999930,3025090,3152617,3100095,3360353,3306716,3457520,3451329,3687909
 "36000","New York",2,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",940153,998870,1098304,1157348,1313452,1262499,1353675,1506857,932793,1206186
 "36000","New York",2,SAOCOMP,13,"...","  Information ","Thousands of dollars",51587,54991,57025,58231,59835,60484,61907,61357,63513,80009
 "36000","New York",2,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",204302,202995,187335,204211,206198,212403,215171,238787,224035,236485
 "36000","New York",2,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",143734,138167,135541,140084,139127,142380,137339,150693,148319,151144
 "36000","New York",2,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",60568,64828,51795,64126,67071,70023,77832,88094,75716,85341
 "36000","New York",2,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",233046,212679,224176,254296,253968,284692,295140,289447,123800,170874
 "36000","New York",2,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",247356,254215,277235,297194,331835,366524,395294,397835,345614,369685
 "36000","New York",2,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",229729,236547,258992,278173,311389,345017,372900,373698,321483,341490
 "36000","New York",2,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",17627,17667,18244,19021,20446,21507,22393,24137,24131,28195
 "36000","New York",2,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",3652146,3627588,3852918,3905375,4288223,4260856,4511221,4695941,3319126,4386312
 "36000","New York",2,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",1743473,1828255,1990212,2016041,2146982,2256507,2327697,2359638,1606499,1943022
 "36000","New York",2,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",1908673,1799332,1862705,1889335,2141241,2004349,2183524,2336303,1712627,2443290
 "36000","New York",2,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",140032,144521,151728,164060,171702,175715,172579,182208,177724,196866
 "36000","New York",2,SAOCOMP,25,"..."," Government ","Thousands of dollars",1654797,1893331,1928956,2061920,2070569,2086205,2082379,2228870,2274122,2384696
 "36000","New York",2,SAOCOMP,26,"...","  Federal ","Thousands of dollars",103287,101603,86372,83666,92524,101930,115994,84327,78949,81999
 "36000","New York",2,SAOCOMP,27,"...","  State and local ","Thousands of dollars",1551511,1791729,1842585,1978255,1978045,1984275,1966385,2144542,2195173,2302697
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
