GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,SAOCOMP,1,"...","All industries ","Thousands of dollars",5127657,5122425,5295016,5432021,5563985,5825643,5996281,6242046,5628126,6484047
 "39000","Ohio",3,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",4484153,4417795,4559312,4651748,4780706,5034120,5189304,5368257,4673000,5481653
 "39000","Ohio",3,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",75953,71097,74806,74566,98787,113876,108333,105490,88297,94089
 "39000","Ohio",3,SAOCOMP,4,"...","  Mining ","Thousands of dollars",1924,1643,1354,1073,934,1533,1792,1459,1050,1680
 "39000","Ohio",3,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",20,22,18,23,16,17,10,10,15,10
 "39000","Ohio",3,SAOCOMP,6,"...","  Construction ","Thousands of dollars",92297,84059,92946,91612,106708,133670,159099,180506,177089,175962
 "39000","Ohio",3,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",387734,400179,413463,438386,460131,503111,544880,541271,626370,748920
 "39000","Ohio",3,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",188100,190979,196606,209396,227964,257697,294716,286611,346348,441601
 "39000","Ohio",3,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",199634,209199,216857,228990,232167,245414,250164,254660,280022,307319
 "39000","Ohio",3,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",381977,373254,389223,412398,403114,412282,418764,422739,389831,431329
 "39000","Ohio",3,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",1569752,1568009,1545864,1552253,1509580,1618669,1582795,1607237,1624224,1826344
 "39000","Ohio",3,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",289656,277052,292545,293864,306153,308240,325553,386166,279081,341737
 "39000","Ohio",3,SAOCOMP,13,"...","  Information ","Thousands of dollars",15921,17065,17400,17942,17709,18428,18425,17542,18262,25598
 "39000","Ohio",3,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",143362,140984,136581,146129,148027,153858,162935,184463,176398,183987
 "39000","Ohio",3,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",112368,109874,110676,116656,117047,121819,125215,139489,141927,142619
 "39000","Ohio",3,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",30994,31110,25905,29473,30980,32038,37720,44975,34471,41368
 "39000","Ohio",3,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",60680,55075,62544,69814,72588,77527,81300,77357,46784,57208
 "39000","Ohio",3,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",56355,58165,63147,66491,72472,77682,82726,84663,74965,85858
 "39000","Ohio",3,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",46954,48742,53413,56380,61751,66393,71059,72306,62019,71127
 "39000","Ohio",3,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",9402,9424,9734,10111,10720,11290,11667,12357,12946,14731
 "39000","Ohio",3,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1333408,1293067,1387239,1397579,1490345,1518688,1607162,1657408,1065909,1399002
 "39000","Ohio",3,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",813967,836548,906210,897207,951549,1012159,1044898,1065106,638033,784247
 "39000","Ohio",3,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",519441,456519,481029,500372,538796,506529,562264,592302,427876,614754
 "39000","Ohio",3,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",75114,78125,82182,89618,94144,96538,95530,101946,104725,109928
 "39000","Ohio",3,SAOCOMP,25,"..."," Government ","Thousands of dollars",643504,704630,735704,780274,783279,791523,806977,873789,955126,1002393
 "39000","Ohio",3,SAOCOMP,26,"...","  Federal ","Thousands of dollars",19521,18894,17443,17006,17605,18318,19251,14419,13633,14385
 "39000","Ohio",3,SAOCOMP,27,"...","  State and local ","Thousands of dollars",623983,685735,718260,763268,765674,773205,787727,859370,941493,988008
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
