GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SAOCOMP,1,"...","All industries ","Thousands of dollars",2121677,2163946,2248843,2340300,2504299,2754424,2887571,3020259,2600437,3107203
 "49000","Utah",7,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",1881610,1909256,1986537,2067708,2207105,2438672,2550017,2696658,2265426,2758232
 "49000","Utah",7,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",21071,21699,23649,23343,30430,35494,35855,36587,30748,34131
 "49000","Utah",7,SAOCOMP,4,"...","  Mining ","Thousands of dollars",2025,1701,1344,960,834,1596,2167,1934,1399,2421
 "49000","Utah",7,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",2,2,2,2,1,2,1,1,1,1
 "49000","Utah",7,SAOCOMP,6,"...","  Construction ","Thousands of dollars",40701,35836,36489,33859,37109,45593,54993,64632,67557,66694
 "49000","Utah",7,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",206262,201048,195996,208279,227651,233364,249124,267400,289385,366519
 "49000","Utah",7,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",150964,144007,137665,147760,165546,167888,181205,195246,214268,283957
 "49000","Utah",7,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",55298,57042,58332,60519,62105,65477,67919,72155,75117,82562
 "49000","Utah",7,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",214478,212212,216604,228389,231889,236189,240031,243646,222968,261330
 "49000","Utah",7,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",436868,455761,466133,496779,507114,562477,578306,608991,676117,759609
 "49000","Utah",7,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",166693,176037,199408,213920,221375,276642,288290,314257,192073,281405
 "49000","Utah",7,SAOCOMP,13,"...","  Information ","Thousands of dollars",2962,3037,3237,3758,3782,4056,4236,4416,5232,9498
 "49000","Utah",7,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",39184,38480,36730,39801,43370,46807,50756,57861,58125,61413
 "49000","Utah",7,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",25266,24453,23521,23933,24003,25408,27489,31618,34374,36525
 "49000","Utah",7,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",13918,14027,13208,15868,19367,21400,23267,26243,23751,24888
 "49000","Utah",7,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",52231,47550,51431,58004,62093,70268,75020,69699,32526,44326
 "49000","Utah",7,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",32298,33607,36797,39477,47556,54047,61046,63400,53733,64274
 "49000","Utah",7,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",30191,31452,34570,37113,45012,51535,58411,60540,51056,60949
 "49000","Utah",7,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",2106,2155,2227,2365,2544,2512,2636,2860,2677,3324
 "49000","Utah",7,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",636041,650631,685902,686024,756085,830934,868292,918837,587206,754805
 "49000","Utah",7,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",336164,347567,370722,363737,413985,447670,474446,493596,335298,377179
 "49000","Utah",7,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",299876,303064,315180,322287,342100,383264,393847,425242,251909,377626
 "49000","Utah",7,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",30794,31653,32816,35113,37816,41204,41901,44997,48354,51806
 "49000","Utah",7,SAOCOMP,25,"..."," Government ","Thousands of dollars",240067,254690,262306,272592,297194,315752,337553,323601,335012,348971
 "49000","Utah",7,SAOCOMP,26,"...","  Federal ","Thousands of dollars",66140,71098,69128,70928,78590,85964,98195,74246,68978,71598
 "49000","Utah",7,SAOCOMP,27,"...","  State and local ","Thousands of dollars",173927,183592,193178,201664,218604,229788,239358,249355,266034,277373
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
