GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,SAOCOMP,1,"...","All industries ","Thousands of dollars",4901313,4904533,5212629,5498351,5781118,6192658,6522412,6666116,5453538,6272254
 "53000","Washington",8,SAOCOMP,2,"..."," Private industries ","Thousands of dollars",4340361,4299293,4584941,4837992,5076384,5458816,5796075,5957815,4752826,5548497
 "53000","Washington",8,SAOCOMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",91110,87648,93488,90266,106894,117025,110537,115730,114766,130289
 "53000","Washington",8,SAOCOMP,4,"...","  Mining ","Thousands of dollars",453,381,301,221,199,419,538,446,279,462
 "53000","Washington",8,SAOCOMP,5,"...","  Utilities ","Thousands of dollars",9,10,8,11,7,8,5,5,7,6
 "53000","Washington",8,SAOCOMP,6,"...","  Construction ","Thousands of dollars",94583,93556,103701,105687,125250,148825,189395,218485,230863,232854
 "53000","Washington",8,SAOCOMP,7,"...","  Manufacturing ","Thousands of dollars",494245,478217,491979,485019,507558,535427,635222,563251,433652,499000
 "53000","Washington",8,SAOCOMP,8,"...","   Durable goods ","Thousands of dollars",364389,346508,360029,349330,366673,386948,481694,397819,263037,307498
 "53000","Washington",8,SAOCOMP,9,"...","   Nondurable goods ","Thousands of dollars",129856,131709,131949,135689,140885,148479,153528,165432,170615,191502
 "53000","Washington",8,SAOCOMP,10,"...","  Wholesale trade ","Thousands of dollars",455320,437653,458140,487689,489155,505371,517010,531272,478210,536325
 "53000","Washington",8,SAOCOMP,11,"...","  Retail trade ","Thousands of dollars",1199582,1247572,1282606,1368572,1361205,1490370,1491523,1561993,1695522,1837984
 "53000","Washington",8,SAOCOMP,12,"...","  Transportation and warehousing ","Thousands of dollars",522068,547960,615141,684389,749979,793539,872787,922143,495119,647798
 "53000","Washington",8,SAOCOMP,13,"...","  Information ","Thousands of dollars",18387,17102,18261,21456,19915,22321,23365,26802,31710,45351
 "53000","Washington",8,SAOCOMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",70010,68735,63152,68107,70405,72237,72951,79807,74099,76757
 "53000","Washington",8,SAOCOMP,15,"...","   Finance and insurance ","Thousands of dollars",47602,45612,44409,45738,45681,45725,44026,46081,45552,44807
 "53000","Washington",8,SAOCOMP,16,"...","   Real estate and rental and leasing ","Thousands of dollars",22409,23122,18743,22370,24724,26512,28925,33726,28547,31949
 "53000","Washington",8,SAOCOMP,17,"...","  Professional and business services ","Thousands of dollars",187675,175032,191503,220898,239931,283536,317713,319721,138231,219951
 "53000","Washington",8,SAOCOMP,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",51704,51813,56600,58749,67293,74548,81929,84668,68752,80016
 "53000","Washington",8,SAOCOMP,19,"...","   Educational services ","Thousands of dollars",45402,45663,50116,51872,60030,66870,73854,75965,60403,70238
 "53000","Washington",8,SAOCOMP,20,"...","   Health care and social assistance ","Thousands of dollars",6302,6150,6484,6877,7264,7677,8075,8703,8349,9777
 "53000","Washington",8,SAOCOMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1087121,1021700,1135352,1166407,1254055,1328495,1399225,1445596,902529,1151414
 "53000","Washington",8,SAOCOMP,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",520763,543934,597491,589987,654019,689048,706031,712805,468020,533764
 "53000","Washington",8,SAOCOMP,23,"...","   Accommodation and food services ","Thousands of dollars",566357,477767,537860,576420,600036,639447,693194,732791,434509,617650
 "53000","Washington",8,SAOCOMP,24,"...","  Other services, except government ","Thousands of dollars",68094,71913,74710,80521,84539,86693,83873,87897,89088,90291
 "53000","Washington",8,SAOCOMP,25,"..."," Government ","Thousands of dollars",560952,605240,627688,660359,704733,733842,726337,708302,700712,723757
 "53000","Washington",8,SAOCOMP,26,"...","  Federal ","Thousands of dollars",70508,69648,66985,66374,69277,72417,75028,57901,51726,54528
 "53000","Washington",8,SAOCOMP,27,"...","  State and local ","Thousands of dollars",490444,535593,560702,593985,635456,661425,651309,650401,648986,669230
"Note: See the included footnote file."
"SAOCOMP: Outdoor recreation satellite account compensation 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
