GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,SAOEMP,1,"...","All industries ","Number of jobs",93971,96045,96161,97269,99836,102644,106328,104965,92304,107420
 "18000","Indiana",3,SAOEMP,2,"..."," Private industries ","Number of jobs",89912,92052,92076,93112,95578,98378,102217,100723,88018,103041
 "18000","Indiana",3,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",547,550,588,574,842,982,1067,1079,(D),975
 "18000","Indiana",3,SAOEMP,4,"...","  Mining ","Number of jobs",22,17,14,10,8,18,20,17,(D),19
 "18000","Indiana",3,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "18000","Indiana",3,SAOEMP,6,"...","  Construction ","Number of jobs",1702,1222,1288,1320,1343,1409,1443,1456,1413,1426
 "18000","Indiana",3,SAOEMP,7,"...","  Manufacturing ","Number of jobs",23138,25611,25203,25812,27451,31058,33917,32704,33820,41797
 "18000","Indiana",3,SAOEMP,8,"...","   Durable goods ","Number of jobs",21063,23580,23175,23779,25375,29005,31876,30581,31439,39185
 "18000","Indiana",3,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",2076,2030,2028,2032,2076,2053,2041,2123,2381,2612
 "18000","Indiana",3,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",2579,2537,2533,2562,2522,2527,2545,2628,2369,2542
 "18000","Indiana",3,SAOEMP,11,"...","  Retail trade ","Number of jobs",27265,27545,27356,27474,27333,26918,26624,25867,23060,24206
 "18000","Indiana",3,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",2881,2864,2888,2801,2799,2613,2737,2865,2293,2622
 "18000","Indiana",3,SAOEMP,13,"...","  Information ","Number of jobs",111,111,109,108,104,99,96,89,94,215
 "18000","Indiana",3,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",745,785,682,688,691,692,726,812,662,685
 "18000","Indiana",3,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",315,301,281,268,257,250,237,261,251,247
 "18000","Indiana",3,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",430,484,400,419,434,442,490,551,411,437
 "18000","Indiana",3,SAOEMP,17,"...","  Professional and business services ","Number of jobs",1036,1035,1054,1102,1168,1097,1081,991,715,686
 "18000","Indiana",3,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",1352,1457,1515,1575,1702,1767,1752,1780,1473,1627
 "18000","Indiana",3,SAOEMP,19,"...","   Educational services ","Number of jobs",1266,1369,1427,1485,1609,1668,1651,1675,1370,1513
 "18000","Indiana",3,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",86,87,88,90,93,99,101,105,103,115
 "18000","Indiana",3,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",27334,27128,27632,27876,28400,28016,28999,29222,20141,25101
 "18000","Indiana",3,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",12838,13518,14178,14122,14726,14993,15203,15549,10560,11615
 "18000","Indiana",3,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",14496,13610,13455,13754,13674,13023,13797,13673,9581,13485
 "18000","Indiana",3,SAOEMP,24,"...","  Other services, except government ","Number of jobs",1198,1191,1215,1211,1214,1182,1209,1213,1136,1140
 "18000","Indiana",3,SAOEMP,25,"..."," Government ","Number of jobs",4059,3993,4085,4157,4258,4266,4111,4241,4286,4379
 "18000","Indiana",3,SAOEMP,26,"...","  Federal ","Number of jobs",331,273,241,146,141,140,147,106,103,101
 "18000","Indiana",3,SAOEMP,27,"...","  State and local ","Number of jobs",3728,3720,3844,4010,4117,4126,3964,4136,4184,4278
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
