GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SAOEMP,1,"...","All industries ","Number of jobs",38523,38026,38101,38570,39807,39301,39565,39124,32785,37107
 "20000","Kansas",4,SAOEMP,2,"..."," Private industries ","Number of jobs",35291,34743,34792,35245,36580,36110,36427,35677,29112,33240
 "20000","Kansas",4,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",360,355,373,360,566,660,704,684,457,531
 "20000","Kansas",4,SAOEMP,4,"...","  Mining ","Number of jobs",4,4,4,3,3,3,3,3,3,3
 "20000","Kansas",4,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "20000","Kansas",4,SAOEMP,6,"...","  Construction ","Number of jobs",548,474,522,535,523,551,578,621,627,630
 "20000","Kansas",4,SAOEMP,7,"...","  Manufacturing ","Number of jobs",2912,2892,2843,2891,3023,3050,3244,3150,2896,3259
 "20000","Kansas",4,SAOEMP,8,"...","   Durable goods ","Number of jobs",1644,1636,1597,1635,1739,1780,1955,1849,1525,1809
 "20000","Kansas",4,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",1268,1256,1246,1256,1283,1270,1289,1300,1371,1451
 "20000","Kansas",4,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",1747,1729,1724,1749,1746,1752,1754,1721,1565,1653
 "20000","Kansas",4,SAOEMP,11,"...","  Retail trade ","Number of jobs",15617,15536,15332,15336,15366,15202,14872,14237,12279,13033
 "20000","Kansas",4,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",727,700,685,676,696,643,668,695,636,716
 "20000","Kansas",4,SAOEMP,13,"...","  Information ","Number of jobs",83,86,87,84,81,75,71,66,69,137
 "20000","Kansas",4,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",287,279,247,247,244,255,259,287,246,250
 "20000","Kansas",4,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",169,155,143,135,137,140,135,149,145,145
 "20000","Kansas",4,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",117,124,104,112,107,115,124,137,100,104
 "20000","Kansas",4,SAOEMP,17,"...","  Professional and business services ","Number of jobs",496,498,512,531,557,514,524,481,380,374
 "20000","Kansas",4,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",689,735,765,794,852,895,907,918,751,847
 "20000","Kansas",4,SAOEMP,19,"...","   Educational services ","Number of jobs",650,696,726,754,810,851,865,874,707,798
 "20000","Kansas",4,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",39,39,39,40,42,43,43,44,43,49
 "20000","Kansas",4,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",11378,11021,11260,11611,12504,12109,12434,12409,8822,11420
 "20000","Kansas",4,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",4965,5193,5518,5657,5982,6186,6409,6518,4472,4888
 "20000","Kansas",4,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",6412,5828,5741,5955,6522,5922,6025,5891,4349,6532
 "20000","Kansas",4,SAOEMP,24,"...","  Other services, except government ","Number of jobs",443,436,439,426,420,402,407,405,382,387
 "20000","Kansas",4,SAOEMP,25,"..."," Government ","Number of jobs",3233,3283,3309,3325,3227,3191,3138,3446,3673,3868
 "20000","Kansas",4,SAOEMP,26,"...","  Federal ","Number of jobs",15,12,12,8,8,8,9,6,5,6
 "20000","Kansas",4,SAOEMP,27,"...","  State and local ","Number of jobs",3218,3270,3297,3317,3219,3182,3129,3440,3668,3862
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
